t_epoch,elapsed_s,stage,n_procs,rss_tree_mb,rss_max_proc_mb,cpu_tree_pct,cpu_system_pct,mem_system_used_mb,mem_system_available_mb,tree_read_mb,tree_write_mb,sys_read_mb,sys_write_mb,net_recv_mb,net_sent_mb,outdir_mb,fs_used_gb,fs_free_gb
1788425550.776,0.0,pipeline,1,203.4,203.4,0.0,0.0,7165.7,58388.2,0.0,0.0,0.0,0.0,0.0,0.0,2.1,65.16,40.31
1788425551.29,0.52,pipeline,1,255.6,255.6,62.2,40.2,7185.1,58368.9,0.0,0.0,0.0,0.5,0.02,0.01,2.1,65.16,40.31
1788425551.791,1.02,pipeline,1,255.7,255.7,0.0,30.6,7152.7,58401.2,0.0,0.0,0.0,0.61,0.02,0.01,2.1,65.16,40.31
1788425552.292,1.52,pipeline,1,255.7,255.7,0.0,31.7,6928.3,58625.7,0.0,0.0,0.0,1.23,0.02,0.02,2.1,65.16,40.31
1788425552.794,2.02,pipeline,1,257.0,257.0,2.0,31.8,7021.3,58532.7,0.0,0.0,0.0,1.36,0.07,0.02,2.1,65.16,40.31
1788425553.295,2.52,pipeline,1,257.0,257.0,0.0,30.6,7220.2,58333.7,0.0,0.0,0.0,1.81,0.07,0.02,2.1,65.16,40.31
1788425553.796,3.02,pipeline,1,257.0,257.0,0.0,30.4,7125.6,58428.3,0.0,0.0,0.0,1.81,0.07,0.02,2.1,65.16,40.31
1788425554.297,3.52,pipeline,1,257.6,257.6,2.0,27.6,7190.2,58363.7,0.0,0.0,0.0,2.25,0.17,0.03,2.1,65.16,40.31
1788425554.799,4.02,static_acquire_gee,1,271.9,271.9,18.0,32.4,7246.2,58307.8,0.0,0.01,0.0,2.36,0.44,0.04,2.1,65.16,40.31
1788425555.3,4.53,static_acquire_gee,1,271.9,271.9,0.0,27.5,7222.8,58331.1,0.0,0.01,0.0,2.82,0.44,0.04,2.1,65.16,40.31
1788425555.801,5.03,static_acquire_gee,1,271.9,271.9,2.0,21.3,7192.6,58361.3,0.0,0.01,0.0,2.96,0.44,0.05,2.1,65.16,40.31
1788425556.303,5.53,static_acquire_gee,1,272.2,272.2,0.0,28.0,7236.3,58317.7,0.0,0.01,0.0,3.41,0.44,0.06,2.1,65.16,40.31
1788425556.804,6.03,static_acquire_gee,1,272.2,272.2,0.0,31.1,7222.0,58331.9,0.0,0.01,0.0,3.94,0.45,0.07,2.1,65.16,40.31
1788425557.305,6.53,static_acquire_gee,1,272.2,272.2,0.0,31.0,7230.6,58323.4,0.0,0.01,0.0,4.72,0.45,0.07,2.1,65.16,40.31
1788425557.807,7.03,static_acquire_gee,1,272.2,272.2,0.0,33.5,7330.5,58223.5,0.0,0.01,0.0,4.73,0.45,0.08,2.1,65.16,40.31
1788425558.308,7.53,static_acquire_gee,1,272.2,272.2,2.0,29.9,7151.5,58402.4,0.0,0.01,0.0,5.41,0.46,0.08,2.1,65.16,40.31
1788425558.809,8.03,static_acquire_gee,1,272.2,272.2,2.0,32.9,7085.0,58468.9,0.0,0.01,0.0,5.44,0.46,0.75,2.1,65.16,40.31
1788425559.31,8.54,static_acquire_gee,1,272.2,272.2,0.0,30.2,7141.8,58412.1,0.0,0.01,0.0,5.89,0.48,0.85,2.1,65.16,40.31
1788425559.811,9.04,static_acquire_gee,1,272.2,272.2,0.0,32.7,7137.9,58416.0,0.0,0.01,0.0,5.89,0.48,0.85,2.1,65.16,40.31
1788425560.313,9.54,static_acquire_gee,1,272.2,272.2,0.0,32.1,6982.0,58571.9,0.0,0.01,0.0,6.35,0.48,0.85,2.1,65.16,40.31
1788425560.815,10.04,static_acquire_gee,1,272.2,272.2,0.0,31.9,7062.3,58491.7,0.0,0.01,0.0,6.38,0.49,0.86,2.1,65.16,40.31
1788425561.316,10.54,static_acquire_gee,1,272.2,272.2,0.0,31.8,7124.7,58429.2,0.0,0.01,0.0,6.9,0.49,0.88,2.1,65.16,40.31
1788425561.818,11.04,static_acquire_gee,1,272.2,272.2,0.0,33.1,7104.2,58449.8,0.0,0.01,0.0,6.98,0.49,0.89,2.1,65.16,40.31
1788425562.319,11.54,static_acquire_gee,1,272.2,272.2,0.0,32.0,7153.5,58400.5,0.0,0.01,0.0,7.7,0.49,0.89,2.1,65.16,40.31
1788425562.82,12.05,static_acquire_gee,1,272.2,272.2,2.0,29.2,7145.4,58408.5,0.0,0.01,0.0,7.7,0.49,0.89,2.1,65.16,40.31
1788425563.321,12.55,static_acquire_gee,1,272.2,272.2,0.0,32.5,7149.3,58404.6,0.0,0.01,0.0,8.27,0.49,0.89,2.1,65.16,40.31
1788425563.822,13.05,static_acquire_gee,1,272.2,272.2,0.0,30.0,7051.8,58502.2,0.0,0.01,0.0,8.31,0.49,0.9,2.1,65.16,40.31
1788425564.324,13.55,static_acquire_gee,1,272.2,272.2,0.0,33.6,7244.7,58309.2,0.0,0.01,0.0,8.94,0.5,0.9,2.1,65.16,40.31
1788425564.825,14.05,static_acquire_gee,1,272.2,272.2,0.0,28.9,7051.8,58502.2,0.0,0.01,0.0,8.94,0.5,0.9,2.1,65.16,40.31
1788425565.326,14.55,static_acquire_gee,1,272.2,272.2,0.0,33.0,7251.7,58302.2,0.0,0.01,0.0,9.36,0.51,0.9,2.1,65.16,40.31
1788425565.827,15.05,static_acquire_gee,1,272.2,272.2,0.0,33.1,7069.7,58484.2,0.0,0.01,0.0,9.36,0.51,0.9,2.1,65.16,40.31
1788425566.329,15.55,static_acquire_gee,1,272.2,272.2,0.0,29.6,7241.4,58312.5,0.0,0.01,0.0,9.72,0.51,0.91,2.1,65.16,40.31
1788425566.83,16.06,static_acquire_gee,1,272.2,272.2,0.0,30.9,7331.3,58222.7,0.0,0.01,0.0,9.83,0.51,0.91,2.1,65.16,40.31
1788425567.331,16.56,static_acquire_gee,1,272.2,272.2,0.0,31.7,7408.0,58145.9,0.0,0.01,0.0,10.45,0.51,0.91,2.1,65.16,40.31
1788425567.833,17.06,static_acquire_gee,1,272.2,272.2,2.0,32.0,7409.1,58144.8,0.0,0.01,0.0,10.45,0.51,0.91,2.1,65.16,40.31
1788425568.334,17.56,static_acquire_gee,1,272.2,272.2,0.0,31.5,7420.8,58133.1,0.0,0.01,0.0,10.9,0.52,0.91,2.1,65.16,40.31
1788425568.835,18.06,static_acquire_gee,1,272.2,272.2,0.0,28.7,7102.4,58451.5,0.0,0.01,0.0,15.43,0.52,0.92,2.1,65.16,40.31
1788425569.336,18.56,static_acquire_gee,1,272.2,272.2,0.0,31.1,7164.9,58389.1,0.0,0.02,0.0,15.84,0.52,1.01,2.1,65.16,40.31
1788425569.837,19.06,static_acquire_gee,1,272.2,272.2,0.0,33.7,7167.5,58386.5,0.0,0.02,0.0,15.84,0.53,1.02,2.1,65.16,40.31
1788425570.339,19.56,static_acquire_gee,1,272.2,272.2,0.0,40.6,7255.5,58298.4,0.0,0.02,0.0,16.28,0.54,1.02,2.1,65.16,40.31
1788425570.84,20.07,static_acquire_gee,1,272.2,272.2,0.0,35.1,7278.8,58275.2,0.0,0.02,0.0,16.28,0.54,1.02,2.1,65.16,40.31
1788425571.341,20.57,static_acquire_gee,1,272.2,272.2,2.0,31.9,7264.4,58289.6,0.0,0.02,0.0,16.74,0.54,1.03,2.1,65.16,40.31
1788425571.843,21.07,static_acquire_gee,1,272.2,272.2,0.0,29.0,7193.3,58360.7,0.0,0.02,0.0,17.1,0.54,1.03,2.1,65.16,40.31
1788425572.344,21.57,static_acquire_gee,1,272.2,272.2,0.0,30.4,7293.5,58260.5,0.0,0.02,0.0,17.81,0.54,1.03,2.1,65.16,40.31
1788425572.845,22.07,static_acquire_gee,1,272.2,272.2,0.0,29.9,7330.8,58223.1,0.0,0.02,0.0,17.87,0.54,1.03,2.1,65.16,40.31
1788425573.346,22.57,static_acquire_gee,1,272.2,272.2,0.0,29.0,7263.9,58290.0,0.0,0.02,0.0,19.62,0.54,1.03,2.1,65.16,40.31
1788425573.847,23.07,static_acquire_gee,1,272.2,272.2,0.0,17.0,7293.8,58260.2,0.0,0.02,0.0,19.71,0.54,1.03,2.1,65.16,40.31
1788425574.348,23.57,static_acquire_gee,1,272.2,272.2,0.0,27.8,7338.2,58215.7,0.0,0.02,0.0,20.22,0.55,1.04,2.1,65.16,40.31
1788425574.85,24.08,static_acquire_gee,1,272.2,272.2,0.0,32.9,7283.7,58270.2,0.0,0.02,0.0,20.38,0.55,1.04,2.1,65.16,40.31
1788425575.351,24.58,static_acquire_gee,1,272.2,272.2,0.0,31.2,7354.5,58199.5,0.0,0.02,0.0,20.87,0.55,1.04,2.1,65.16,40.31
1788425575.852,25.08,static_acquire_gee,1,272.2,272.2,2.0,30.0,7350.6,58203.3,0.0,0.02,0.0,20.99,0.56,1.04,2.1,65.16,40.31
1788425576.354,25.58,static_acquire_gee,1,272.2,272.2,0.0,30.9,7402.2,58151.8,0.0,0.02,0.0,21.48,0.56,1.05,2.1,65.16,40.31
1788425576.856,26.08,static_acquire_gee,1,272.2,272.2,0.0,31.6,7426.9,58127.0,0.0,0.02,0.0,21.48,0.56,1.05,2.1,65.16,40.31
1788425577.357,26.58,static_acquire_gee,1,272.2,272.2,0.0,30.9,7397.9,58156.0,0.0,0.02,0.0,22.05,0.56,1.05,2.1,65.16,40.31
1788425577.859,27.08,static_acquire_gee,1,272.2,272.2,0.0,30.4,7242.5,58311.5,0.0,0.02,0.0,22.07,0.56,1.05,2.1,65.16,40.31
1788425578.36,27.59,static_acquire_gee,1,272.2,272.2,2.0,30.8,7159.3,58394.6,0.0,0.02,0.0,22.54,0.56,1.05,2.1,65.16,40.31
1788425578.862,28.09,static_acquire_gee,1,272.3,272.3,0.0,31.5,7143.8,58410.1,0.0,0.02,0.0,22.54,0.57,1.06,2.1,65.16,40.31
1788425579.363,28.59,static_acquire_gee,1,272.3,272.3,0.0,31.8,7106.9,58447.0,0.0,0.02,0.0,22.95,0.57,1.06,2.1,65.16,40.31
1788425579.864,29.09,static_acquire_gee,1,272.3,272.3,0.0,34.8,7119.5,58434.4,0.0,0.02,0.0,22.98,0.59,1.16,2.1,65.16,40.31
1788425580.365,29.59,static_acquire_gee,1,272.3,272.3,0.0,30.4,7105.9,58448.1,0.0,0.02,0.0,23.44,0.59,1.16,2.1,65.16,40.31
1788425580.866,30.09,static_acquire_gee,1,272.3,272.3,0.0,31.4,6927.4,58626.5,0.0,0.02,0.0,23.47,0.59,1.17,2.1,65.16,40.31
1788425581.368,30.59,static_acquire_gee,1,272.3,272.3,0.0,30.5,6839.0,58715.0,0.0,0.02,0.0,23.9,0.59,1.17,2.1,65.16,40.31
1788425581.869,31.1,static_acquire_gee,1,272.3,272.3,0.0,33.1,6975.2,58578.7,0.0,0.02,0.0,25.76,0.6,1.82,2.1,65.16,40.31
1788425582.371,31.6,static_acquire_gee,1,272.3,272.3,0.0,32.6,7094.8,58459.1,0.0,0.02,0.0,26.45,0.6,1.82,2.1,65.16,40.31
1788425582.872,32.1,static_acquire_gee,1,272.3,272.3,2.0,34.4,6980.6,58573.3,0.0,0.02,0.0,26.8,0.6,1.82,2.1,65.16,40.31
1788425583.373,32.6,static_acquire_gee,1,272.3,272.3,0.0,34.9,7133.1,58420.8,0.0,0.02,0.0,27.3,0.6,1.83,2.1,65.16,40.31
1788425583.874,33.1,static_acquire_gee,1,272.3,272.3,0.0,33.3,7101.9,58452.0,0.0,0.02,0.0,27.3,0.6,1.83,2.1,65.16,40.31
1788425584.376,33.6,static_acquire_gee,1,272.3,272.3,0.0,31.8,7161.7,58392.2,0.0,0.02,0.0,27.71,0.61,1.83,2.1,65.16,40.31
1788425584.877,34.1,static_acquire_gee,1,272.3,272.3,0.0,32.3,7225.2,58328.7,0.0,0.02,0.0,27.71,0.61,1.83,2.1,65.16,40.31
1788425585.378,34.6,static_acquire_gee,1,272.3,272.3,0.0,34.3,7329.1,58224.9,0.0,0.02,0.0,28.3,0.62,1.97,2.1,65.16,40.31
1788425585.879,35.11,static_acquire_gee,1,272.3,272.3,2.0,31.8,7114.3,58439.6,0.0,0.02,0.0,28.43,0.62,1.98,2.1,65.16,40.31
1788425586.381,35.61,static_acquire_gee,1,272.3,272.3,0.0,32.7,7223.5,58330.5,0.0,0.02,0.0,28.94,0.62,1.98,2.1,65.16,40.31
1788425586.882,36.11,static_acquire_gee,1,272.3,272.3,0.0,32.9,7068.4,58485.6,0.0,0.02,0.0,29.09,0.63,1.98,2.1,65.16,40.31
1788425587.383,36.61,static_acquire_gee,1,272.3,272.3,0.0,31.0,6976.9,58577.0,0.0,0.02,0.0,31.0,0.63,1.98,2.1,65.16,40.31
1788425587.885,37.11,static_acquire_gee,1,272.3,272.3,0.0,36.1,7024.2,58529.7,0.0,0.02,0.0,31.12,0.63,2.64,2.1,65.16,40.31
1788425588.386,37.61,static_acquire_gee,1,272.3,272.3,0.0,31.7,6984.5,58569.5,0.0,0.02,0.0,31.78,0.64,2.64,2.1,65.16,40.31
1788425588.887,38.11,static_acquire_gee,1,272.3,272.3,0.0,31.9,6953.7,58600.3,0.0,0.02,0.0,31.89,0.64,2.66,2.1,65.16,40.31
1788425589.388,38.61,static_acquire_gee,1,272.3,272.3,0.0,33.2,6879.8,58674.2,0.0,0.02,0.0,32.46,0.64,2.67,2.1,65.16,40.31
1788425589.889,39.12,static_acquire_gee,1,272.3,272.3,0.0,33.4,6884.0,58670.0,0.0,0.02,0.0,32.47,0.65,2.67,2.1,65.16,40.31
1788425590.391,39.62,static_acquire_gee,1,272.3,272.3,0.0,32.2,6962.2,58591.7,0.0,0.02,0.0,32.93,0.66,2.77,2.1,65.16,40.31
1788425590.892,40.12,static_acquire_gee,1,272.3,272.3,2.0,30.3,7060.0,58494.0,0.0,0.02,0.0,32.93,0.66,2.77,2.1,65.16,40.31
1788425591.394,40.62,static_acquire_gee,1,272.3,272.3,0.0,33.5,7140.6,58413.3,0.0,0.02,0.0,33.39,0.67,2.78,2.1,65.16,40.31
1788425591.895,41.12,static_acquire_gee,1,272.3,272.3,0.0,31.7,7093.4,58460.6,0.0,0.02,0.0,33.6,0.67,2.78,2.1,65.16,40.31
1788425592.396,41.62,static_acquire_gee,1,272.3,272.3,0.0,35.3,7081.3,58472.6,0.0,0.02,0.0,34.5,0.67,2.78,2.1,65.16,40.31
