t_epoch,elapsed_s,stage,n_procs,rss_tree_mb,rss_max_proc_mb,cpu_tree_pct,cpu_system_pct,mem_system_used_mb,mem_system_available_mb,tree_read_mb,tree_write_mb,sys_read_mb,sys_write_mb,net_recv_mb,net_sent_mb,outdir_mb,fs_used_gb,fs_free_gb
1788425190.936,0.0,pipeline,1,202.6,202.6,0.0,0.0,7348.3,58205.6,0.0,0.0,0.0,0.0,0.0,0.0,9.9,65.15,40.33
1788425191.439,0.5,pipeline,1,255.0,255.0,65.6,34.8,7571.0,57982.9,0.0,0.0,0.0,0.05,0.02,0.01,9.9,65.15,40.33
1788425191.94,1.01,pipeline,1,256.9,256.9,4.0,32.3,7592.0,57962.0,0.0,0.0,0.0,0.17,0.1,0.02,9.9,65.15,40.33
1788425192.446,1.51,pipeline,1,256.9,256.9,0.0,26.5,7704.8,57849.1,0.0,0.0,0.0,0.17,0.1,0.02,9.9,65.15,40.33
1788425192.947,2.01,pipeline,1,256.9,256.9,0.0,30.6,7634.0,57919.9,0.0,0.0,0.0,0.27,0.1,0.02,9.9,65.15,40.33
1788425193.448,2.51,pipeline,1,256.9,256.9,0.0,30.6,7799.6,57754.3,0.0,0.0,0.0,0.27,0.16,0.02,9.9,65.15,40.33
1788425193.95,3.01,static_acquire_gee,1,271.0,271.0,18.0,30.9,7833.6,57720.3,0.0,0.01,0.0,0.27,0.43,0.04,9.9,65.15,40.33
1788425194.451,3.52,static_acquire_gee,1,271.1,271.1,0.0,32.6,7835.9,57718.1,0.0,0.01,0.0,0.48,0.43,0.04,9.9,65.15,40.33
1788425194.962,4.03,static_acquire_gee,1,271.3,271.3,2.0,30.9,7682.0,57871.9,0.0,0.01,0.0,0.48,0.43,0.05,9.9,65.15,40.33
1788425195.463,4.53,static_acquire_gee,1,271.4,271.4,2.0,31.1,7663.4,57890.5,0.0,0.01,0.0,0.48,0.43,0.05,9.9,65.15,40.33
1788425195.965,5.03,static_acquire_gee,1,271.4,271.4,0.0,33.1,7647.4,57906.5,0.0,0.01,0.0,0.48,0.44,0.1,9.9,65.15,40.33
1788425196.469,5.53,static_acquire_gee,1,271.4,271.4,0.0,26.1,7643.3,57910.7,0.0,0.01,0.0,0.62,0.44,0.11,9.9,65.15,40.33
1788425196.97,6.04,static_acquire_gee,1,271.4,271.4,0.0,31.7,7628.1,57925.9,0.0,0.01,0.0,0.62,0.44,0.11,9.9,65.15,40.33
1788425197.471,6.54,static_acquire_gee,1,271.4,271.4,0.0,30.1,7528.1,58025.5,0.0,0.01,0.0,0.73,0.44,0.11,9.9,65.15,40.33
1788425197.972,7.04,static_acquire_gee,1,271.4,271.4,0.0,31.0,7472.8,58081.2,0.0,0.01,0.0,1.0,0.44,0.11,9.9,65.15,40.33
1788425198.474,7.54,static_acquire_gee,1,271.4,271.4,0.0,31.7,7388.3,58165.6,0.0,0.01,0.0,1.09,0.44,0.11,9.9,65.15,40.33
1788425198.975,8.04,static_acquire_gee,1,271.4,271.4,0.0,29.4,7528.3,58025.7,0.0,0.01,0.0,1.09,0.44,0.11,9.9,65.15,40.33
1788425199.476,8.54,static_acquire_gee,1,271.4,271.4,0.0,29.4,7478.3,58075.6,0.0,0.01,0.0,1.26,0.44,0.11,9.9,65.15,40.33
1788425199.977,9.04,static_acquire_gee,1,271.4,271.4,0.0,31.1,7493.6,58060.3,0.0,0.01,0.0,1.38,0.44,0.11,9.9,65.15,40.33
1788425200.479,9.54,static_acquire_gee,1,271.4,271.4,0.0,30.8,7621.3,57932.6,0.0,0.01,0.0,1.38,0.44,0.12,9.9,65.15,40.33
1788425200.98,10.04,static_acquire_gee,1,271.4,271.4,0.0,28.2,7482.0,58072.0,0.0,0.01,0.0,1.4,0.45,0.12,9.9,65.15,40.33
1788425201.481,10.55,static_acquire_gee,1,271.4,271.4,2.0,28.5,7450.0,58104.0,0.0,0.01,0.0,1.41,0.45,0.12,9.9,65.15,40.33
1788425201.983,11.05,static_acquire_gee,1,271.4,271.4,0.0,30.8,7488.3,58065.6,0.0,0.01,0.0,1.41,0.45,0.12,9.9,65.15,40.33
1788425202.484,11.55,static_acquire_gee,1,271.4,271.4,2.0,27.8,7300.9,58253.1,0.0,0.01,0.0,1.54,0.45,0.12,9.9,65.15,40.33
1788425202.986,12.05,static_acquire_gee,1,271.4,271.4,0.0,31.4,7341.9,58212.1,0.0,0.01,0.0,1.58,0.45,0.12,9.9,65.15,40.33
1788425203.487,12.55,static_acquire_gee,1,271.4,271.4,0.0,29.8,7335.1,58218.9,0.0,0.01,0.0,7.93,0.45,0.13,9.9,65.15,40.33
