t_epoch,elapsed_s,stage,n_procs,rss_tree_mb,rss_max_proc_mb,cpu_tree_pct,cpu_system_pct,mem_system_used_mb,mem_system_available_mb,tree_read_mb,tree_write_mb,sys_read_mb,sys_write_mb,net_recv_mb,net_sent_mb,outdir_mb,fs_used_gb,fs_free_gb
1788425926.928,0.0,pipeline,1,203.0,203.0,0.0,0.0,7281.3,58272.3,0.0,0.0,0.0,0.0,0.0,0.0,1.3,65.16,40.31
1788425927.442,0.51,pipeline,1,255.4,255.4,66.1,37.1,7461.0,58092.6,0.0,0.0,0.0,0.18,0.02,0.01,1.3,65.16,40.31
1788425927.944,1.02,pipeline,1,255.4,255.4,0.0,33.4,7366.9,58186.8,0.0,0.0,0.0,0.18,0.02,0.01,1.3,65.16,40.31
1788425928.445,1.52,pipeline,1,255.4,255.4,0.0,29.6,7413.3,58140.3,0.0,0.0,0.0,0.29,0.03,0.01,1.3,65.16,40.31
1788425928.947,2.02,pipeline,1,257.3,257.3,2.0,28.9,7486.8,58066.9,0.0,0.0,0.0,0.38,0.12,0.02,1.3,65.16,40.31
1788425929.448,2.52,pipeline,1,257.3,257.3,0.0,28.2,7438.5,58115.1,0.0,0.0,0.0,2.12,0.12,0.02,1.3,65.16,40.31
1788425929.95,3.02,pipeline,1,260.7,260.7,8.0,31.6,7256.9,58296.7,0.0,0.0,0.0,2.15,0.21,0.03,1.3,65.16,40.31
1788425930.451,3.52,static_acquire_gee,1,271.9,271.9,10.0,27.8,7318.9,58234.7,0.0,0.01,0.0,2.79,0.45,0.05,1.3,65.16,40.31
1788425930.952,4.03,static_acquire_gee,1,271.9,271.9,0.0,29.7,7389.8,58163.8,0.0,0.01,0.0,2.79,0.45,0.06,1.3,65.16,40.31
1788425931.454,4.53,static_acquire_gee,1,271.9,271.9,0.0,31.0,7399.0,58154.7,0.0,0.01,0.0,3.17,0.45,0.06,1.3,65.16,40.31
1788425931.955,5.03,static_acquire_gee,1,272.0,272.0,2.0,32.1,7339.1,58214.5,0.0,0.01,0.0,3.31,0.45,0.06,1.3,65.16,40.31
1788425932.457,5.53,static_acquire_gee,1,272.0,272.0,0.0,32.9,7395.1,58158.6,0.0,0.01,0.0,3.5,0.46,0.06,1.3,65.16,40.31
1788425932.958,6.03,static_acquire_gee,1,272.0,272.0,0.0,31.2,7464.3,58089.3,0.0,0.01,0.0,3.55,0.46,0.06,1.3,65.16,40.31
1788425933.459,6.53,static_acquire_gee,1,272.0,272.0,0.0,33.7,7536.3,58017.3,0.0,0.01,0.0,3.76,0.46,0.2,1.3,65.16,40.31
1788425933.96,7.03,static_acquire_gee,1,272.0,272.0,0.0,29.6,7357.7,58195.9,0.0,0.01,0.0,3.76,0.47,0.2,1.3,65.16,40.31
1788425934.462,7.53,static_acquire_gee,1,272.0,272.0,0.0,17.4,7389.6,58164.0,0.0,0.01,0.0,4.35,0.47,0.21,1.3,65.16,40.31
1788425934.963,8.04,static_acquire_gee,1,272.0,272.0,2.0,31.7,7399.7,58154.0,0.0,0.01,0.0,5.07,0.47,0.21,1.3,65.16,40.31
1788425935.465,8.54,static_acquire_gee,1,272.0,272.0,0.0,52.2,7485.5,58068.1,0.0,0.01,0.0,5.37,0.48,0.96,1.3,65.16,40.31
1788425935.966,9.04,static_acquire_gee,1,272.0,272.0,0.0,23.4,7354.5,58199.2,0.0,0.01,0.0,5.52,0.49,0.97,1.3,65.16,40.31
1788425936.467,9.54,static_acquire_gee,1,272.0,272.0,0.0,19.0,7445.3,58108.3,0.0,0.01,0.0,5.76,0.49,0.97,1.3,65.16,40.31
1788425936.968,10.04,static_acquire_gee,1,272.0,272.0,0.0,29.7,7362.5,58191.1,0.0,0.01,0.0,5.76,0.49,0.97,1.3,65.16,40.31
1788425937.47,10.54,static_acquire_gee,1,272.0,272.0,0.0,37.5,7292.4,58261.2,0.0,0.01,0.0,6.19,0.49,0.98,1.3,65.16,40.31
1788425937.971,11.04,static_acquire_gee,1,272.0,272.0,0.0,28.3,7285.6,58268.0,0.0,0.01,0.0,6.19,0.5,0.98,1.3,65.16,40.31
1788425938.472,11.54,static_acquire_gee,1,272.0,272.0,0.0,29.1,7329.0,58224.7,0.0,0.01,0.0,6.43,0.5,0.98,1.3,65.16,40.31
1788425938.973,12.05,static_acquire_gee,1,272.0,272.0,0.0,29.9,7249.7,58304.0,0.0,0.01,0.0,7.38,0.5,0.98,1.3,65.16,40.31
1788425939.474,12.55,static_acquire_gee,1,272.0,272.0,0.0,28.3,7199.4,58354.2,0.0,0.01,0.0,7.38,0.51,0.98,1.3,65.16,40.31
1788425939.976,13.05,static_acquire_gee,1,272.0,272.0,2.0,31.9,7207.8,58345.8,0.0,0.01,0.0,16.65,0.51,0.99,1.3,65.16,40.31
1788425940.477,13.55,static_acquire_gee,1,272.0,272.0,0.0,28.4,7197.5,58356.2,0.0,0.01,0.0,16.96,0.51,0.99,1.3,65.16,40.31
1788425940.979,14.05,static_acquire_gee,1,272.0,272.0,0.0,33.6,7302.4,58251.2,0.0,0.01,0.0,17.0,0.51,0.99,1.3,65.16,40.31
1788425941.48,14.55,static_acquire_gee,1,272.0,272.0,0.0,30.9,7141.2,58412.5,0.0,0.01,0.0,17.41,0.51,0.99,1.3,65.16,40.31
1788425941.981,15.05,static_acquire_gee,1,272.0,272.0,0.0,30.7,7075.5,58478.1,0.0,0.01,0.0,17.41,0.51,1.02,1.3,65.16,40.31
1788425942.483,15.56,static_acquire_gee,1,272.0,272.0,0.0,30.6,7210.3,58343.3,0.0,0.01,0.0,17.89,0.52,1.02,1.3,65.16,40.31
1788425942.984,16.06,static_acquire_gee,1,272.0,272.0,2.0,31.9,7219.5,58334.1,0.0,0.01,0.0,18.82,0.52,1.02,1.3,65.16,40.31
1788425943.486,16.56,static_acquire_gee,1,272.0,272.0,0.0,28.1,7176.1,58377.5,0.0,0.01,0.0,18.82,0.52,1.02,1.3,65.16,40.31
1788425943.987,17.06,static_acquire_gee,1,272.0,272.0,0.0,33.3,7303.4,58250.3,0.0,0.01,0.0,19.0,0.52,1.03,1.3,65.16,40.31
1788425944.488,17.56,static_acquire_gee,1,272.0,272.0,0.0,33.3,7362.8,58190.8,0.0,0.01,0.0,19.42,0.52,1.03,1.3,65.16,40.31
1788425944.989,18.06,static_acquire_gee,1,272.0,272.0,0.0,29.0,7102.9,58450.7,0.0,0.01,0.0,19.76,0.53,1.03,1.3,65.16,40.31
1788425945.491,18.56,static_acquire_gee,1,272.0,272.0,0.0,30.6,7206.9,58346.7,0.0,0.01,0.0,20.68,0.53,1.03,1.3,65.16,40.31
1788425945.992,19.06,static_acquire_gee,1,272.0,272.0,0.0,33.0,7101.3,58452.2,0.0,0.01,0.0,20.68,0.54,1.13,1.3,65.16,40.31
