t_epoch,elapsed_s,stage,n_procs,rss_tree_mb,rss_max_proc_mb,cpu_tree_pct,cpu_system_pct,mem_system_used_mb,mem_system_available_mb,tree_read_mb,tree_write_mb,sys_read_mb,sys_write_mb,net_recv_mb,net_sent_mb,outdir_mb,fs_used_gb,fs_free_gb
1788426431.206,0.0,pipeline,1,203.3,203.3,0.0,0.0,7247.1,58306.5,0.0,0.0,0.0,0.0,0.0,0.0,1.3,65.17,40.31
1788426431.71,0.5,pipeline,1,255.9,255.9,65.5,39.0,7148.1,58405.5,0.0,0.0,0.0,0.79,0.02,0.01,1.3,65.17,40.31
1788426432.211,1.01,pipeline,1,255.9,255.9,0.0,32.7,7307.1,58246.5,0.0,0.0,0.0,0.79,0.02,0.01,1.3,65.17,40.31
1788426432.713,1.51,pipeline,1,256.0,256.0,0.0,32.5,7244.9,58308.7,0.0,0.0,0.0,0.79,0.02,0.01,1.3,65.17,40.31
1788426433.214,2.01,pipeline,1,257.3,257.3,2.0,30.0,7182.5,58371.1,0.0,0.0,0.0,1.09,0.07,0.02,1.3,65.17,40.31
1788426433.715,2.51,pipeline,1,257.3,257.3,0.0,34.0,7093.7,58459.9,0.0,0.0,0.0,1.24,0.07,0.7,1.3,65.17,40.31
1788426434.216,3.01,pipeline,1,257.3,257.3,0.0,31.4,7010.4,58543.1,0.0,0.0,0.0,1.64,0.07,0.7,1.3,65.17,40.31
1788426434.718,3.51,pipeline,1,257.9,257.9,2.0,31.4,7103.0,58450.6,0.0,0.0,0.0,1.64,0.11,0.71,1.3,65.17,40.31
1788426435.219,4.01,pipeline,1,257.9,257.9,0.0,32.0,7158.7,58394.9,0.0,0.0,0.0,3.05,0.17,0.71,1.3,65.17,40.31
1788426435.721,4.52,static_acquire_gee,1,272.4,272.4,18.0,36.6,7193.2,58360.4,0.0,0.01,0.0,3.45,0.44,0.73,1.3,65.17,40.31
1788426436.222,5.02,static_acquire_gee,1,272.4,272.4,0.0,27.4,7115.4,58438.2,0.0,0.01,0.0,3.45,0.44,0.73,1.3,65.17,40.31
1788426436.724,5.52,static_acquire_gee,1,272.4,272.4,4.0,31.4,7159.2,58394.3,0.0,0.01,0.0,5.28,0.44,0.73,1.3,65.17,40.31
1788426437.225,6.02,static_acquire_gee,1,272.4,272.4,0.0,30.6,7248.2,58305.4,0.0,0.01,0.0,5.91,0.44,0.74,1.3,65.17,40.31
1788426437.726,6.52,static_acquire_gee,1,272.4,272.4,0.0,31.8,7284.3,58269.2,0.0,0.01,0.0,7.65,0.44,0.74,1.3,65.17,40.31
1788426438.228,7.02,static_acquire_gee,1,272.4,272.4,0.0,28.7,7180.9,58372.8,0.0,0.01,0.0,7.95,0.45,0.74,1.3,65.17,40.31
1788426438.729,7.52,static_acquire_gee,1,272.4,272.4,2.0,31.0,7271.3,58282.1,0.0,0.01,0.0,9.56,0.45,0.74,1.3,65.17,40.31
1788426439.23,8.02,static_acquire_gee,1,272.4,272.4,0.0,24.2,7187.2,58366.4,0.0,0.01,0.0,10.92,0.45,0.74,1.3,65.17,40.31
1788426439.732,8.53,static_acquire_gee,1,272.4,272.4,0.0,30.6,7270.5,58283.1,0.0,0.01,0.0,11.32,0.45,0.74,1.3,65.17,40.31
1788426440.233,9.03,static_acquire_gee,1,272.4,272.4,0.0,32.9,7279.0,58274.6,0.0,0.01,0.0,11.32,0.45,0.76,1.3,65.17,40.31
1788426440.735,9.53,static_acquire_gee,1,272.4,272.4,0.0,26.2,7140.0,58413.6,0.0,0.01,0.0,11.32,0.45,0.76,1.3,65.17,40.31
1788426441.236,10.03,static_acquire_gee,1,272.4,272.4,0.0,29.6,7041.5,58512.1,0.0,0.01,0.0,11.6,0.46,0.77,1.3,65.17,40.31
1788426441.737,10.53,static_acquire_gee,1,272.4,272.4,0.0,24.9,6999.7,58553.9,0.0,0.01,0.0,11.7,0.46,0.77,1.3,65.17,40.31
1788426442.239,11.03,static_acquire_gee,1,272.4,272.4,0.0,30.0,6998.1,58555.4,0.0,0.01,0.0,12.01,0.46,0.77,1.3,65.17,40.31
1788426442.74,11.53,static_acquire_gee,1,272.4,272.4,2.0,30.5,7105.6,58448.0,0.0,0.01,0.0,12.04,0.46,0.77,1.3,65.17,40.31
1788426443.242,12.04,static_acquire_gee,1,272.4,272.4,0.0,32.7,7289.4,58264.2,0.0,0.01,0.0,13.0,0.46,0.77,1.3,65.17,40.31
1788426443.743,12.54,static_acquire_gee,1,272.4,272.4,0.0,22.6,7192.1,58361.5,0.0,0.01,0.0,13.64,0.46,0.77,1.3,65.17,40.31
1788426444.244,13.04,static_acquire_gee,1,272.4,272.4,0.0,29.1,7153.6,58399.8,0.0,0.01,0.0,13.7,0.46,0.77,1.3,65.17,40.31
1788426444.745,13.54,static_acquire_gee,1,272.4,272.4,0.0,30.5,7321.3,58232.3,0.0,0.01,0.0,13.7,0.46,0.77,1.3,65.17,40.31
1788426445.247,14.04,static_acquire_gee,1,272.4,272.4,0.0,28.4,7155.4,58398.2,0.0,0.01,0.0,13.84,0.46,0.77,1.3,65.17,40.31
1788426445.748,14.54,static_acquire_gee,1,272.4,272.4,0.0,32.5,7192.2,58361.4,0.0,0.01,0.0,13.91,0.46,0.78,1.3,65.17,40.31
1788426446.25,15.04,static_acquire_gee,1,272.4,272.4,2.0,28.0,7091.8,58461.9,0.0,0.01,0.0,14.14,0.46,0.78,1.3,65.17,40.31
1788426446.752,15.55,static_acquire_gee,1,272.4,272.4,0.0,31.4,6983.4,58570.2,0.0,0.01,0.0,14.14,0.47,0.81,1.3,65.17,40.31
