t_epoch,elapsed_s,stage,n_procs,rss_tree_mb,rss_max_proc_mb,cpu_tree_pct,cpu_system_pct,mem_system_used_mb,mem_system_available_mb,tree_read_mb,tree_write_mb,sys_read_mb,sys_write_mb,net_recv_mb,net_sent_mb,outdir_mb,fs_used_gb,fs_free_gb
1788425182.414,0.0,init,1,202.4,202.4,0.0,0.0,7037.0,58517.0,0.0,0.0,0.0,0.0,0.0,0.0,100.6,65.15,40.33
1788425182.916,0.5,static_acquire_gee,1,233.9,233.9,37.9,19.9,7022.3,58531.7,0.0,0.01,0.0,0.17,0.02,0.01,100.6,65.15,40.33
1788425183.417,1.0,static_acquire_gee,1,238.0,238.0,8.0,29.1,6954.7,58599.3,0.0,0.01,0.0,4.36,0.13,0.65,100.6,65.15,40.33
1788425183.918,1.51,static_acquire_gee,1,238.7,238.7,2.0,34.1,7142.4,58411.6,0.0,0.01,0.0,4.58,0.76,0.66,100.6,65.15,40.33
1788425184.42,2.01,static_acquire_gee,1,243.1,243.1,8.0,28.1,7112.9,58441.1,0.0,0.01,0.0,4.58,4.26,0.73,100.6,65.15,40.33
1788425184.921,2.51,static_acquire_gee,1,253.4,253.4,27.9,33.9,7101.6,58452.3,0.0,13.21,0.0,4.74,24.11,0.89,100.6,65.16,40.31
1788425185.422,3.01,static_acquire_gee,1,247.3,247.3,14.0,33.6,7198.7,58355.2,0.0,29.99,0.0,5.21,35.01,0.97,100.6,65.18,40.3
1788425185.924,3.51,static_classify,3,402.0,286.5,175.6,49.4,6933.3,58620.6,0.0,38.45,0.0,5.35,39.14,1.01,100.6,65.19,40.29
1788425186.425,4.01,static_classify,3,510.7,286.5,193.5,54.6,7116.8,58437.1,0.0,38.45,0.0,5.51,39.14,1.14,100.6,65.19,40.29
1788425186.927,4.51,static_classify,3,755.5,455.8,99.7,41.5,7168.6,58385.3,0.0,38.45,0.0,5.7,39.14,1.14,100.6,65.19,40.29
1788425187.428,5.02,static_classify,3,860.9,561.2,133.6,46.3,7420.3,58133.7,0.0,38.45,0.0,5.84,39.14,1.14,139.0,65.19,40.29
1788425187.93,5.52,static_classify,3,861.5,561.8,99.6,41.6,7308.3,58245.6,0.0,38.45,0.0,5.99,39.14,1.14,139.0,65.19,40.29
1788425188.432,6.02,static_classify,3,861.5,561.8,99.7,49.3,7503.3,58050.7,0.0,38.45,0.0,5.99,39.15,1.14,139.0,65.19,40.29
1788425188.933,6.52,static_classify,3,861.5,561.8,101.7,51.7,7466.4,58087.5,0.0,38.45,0.0,6.52,39.15,1.14,139.0,65.19,40.29
1788425189.435,7.02,static_classify,3,862.8,561.9,99.7,53.6,7786.6,57767.3,0.0,38.45,0.0,6.52,39.15,1.14,139.0,65.19,40.29
1788425189.937,7.52,vector_stage,2,317.1,303.9,57.8,53.3,7858.8,57695.1,0.0,38.59,0.0,6.52,39.15,1.15,139.0,65.15,40.33
