t_epoch,elapsed_s,stage,n_procs,rss_tree_mb,rss_max_proc_mb,cpu_tree_pct,cpu_system_pct,mem_system_used_mb,mem_system_available_mb,tree_read_mb,tree_write_mb,sys_read_mb,sys_write_mb,net_recv_mb,net_sent_mb,outdir_mb,fs_used_gb,fs_free_gb
1788421955.667,0.0,resolve_models,1,202.7,202.7,0.0,0.0,7729.0,57825.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.34,41.14
1788421956.173,0.51,resolve_models,1,233.4,233.4,25.7,35.2,7761.8,57792.2,0.0,0.0,0.0,0.0,0.03,0.03,0.0,64.34,41.14
1788421956.674,1.01,resolve_models,1,233.4,233.4,2.0,31.2,7694.7,57859.3,0.0,0.0,0.0,0.18,0.03,0.03,0.0,64.34,41.14
1788421957.176,1.51,resolve_models,1,236.5,236.5,8.0,30.2,7618.4,57935.6,0.0,0.0,0.0,0.18,0.06,0.09,0.0,64.34,41.14
1788421957.677,2.01,resolve_models,1,236.9,236.9,0.0,33.5,7592.3,57961.7,0.0,0.0,0.0,0.83,0.4,0.1,0.0,64.34,41.14
1788421958.178,2.52,resolve_models,1,238.7,238.7,6.0,30.5,7216.4,58337.6,0.0,0.0,0.0,2.47,2.22,0.14,0.0,64.34,41.14
1788421958.68,3.02,resolve_models,1,254.2,254.2,15.9,29.6,7246.8,58307.1,0.0,0.0,0.0,2.94,14.15,0.26,0.0,64.34,41.14
1788421959.189,3.53,ndvi_acquire_stac,1,256.8,256.8,76.7,39.6,7366.4,58187.5,0.0,28.13,0.0,2.94,28.67,0.34,0.0,64.37,41.11
1788421960.04,4.38,ndvi_acquire_stac,1,278.1,278.1,83.4,42.5,7498.1,58055.8,0.0,28.13,0.0,3.12,28.68,0.35,0.0,64.37,41.11
1788421960.555,4.89,ndvi_acquire_stac,1,281.2,281.2,9.7,29.7,7273.9,58280.1,0.0,28.13,0.0,3.4,28.71,0.36,0.0,64.37,41.11
1788421961.057,5.39,ndvi_acquire_stac,1,300.4,300.4,33.9,37.8,7412.0,58141.9,0.0,28.13,0.0,3.56,28.72,0.37,0.0,64.37,41.11
1788421961.558,5.89,ndvi_acquire_stac,1,302.6,302.6,8.0,30.4,7300.9,58253.0,0.0,28.13,0.0,3.69,28.77,0.39,0.0,64.37,41.11
1788421962.06,6.4,ndvi_acquire_stac,1,331.6,331.6,21.9,37.6,7338.1,58215.8,0.0,28.13,0.0,3.69,28.78,0.4,0.0,64.37,41.11
1788421962.571,6.91,ndvi_acquire_stac,1,363.5,363.5,137.1,43.6,7133.8,58420.1,0.0,28.13,0.0,3.86,29.08,0.58,0.0,64.37,41.11
1788421963.187,7.52,ndvi_acquire_stac,1,660.7,660.7,251.4,36.3,7551.5,58002.4,0.0,28.13,0.0,10.38,29.09,0.58,0.0,64.37,41.11
1788421964.529,8.87,ndvi_acquire_stac,1,660.8,660.8,77.5,52.5,7699.9,57854.0,0.0,28.14,0.0,10.59,29.09,0.58,0.0,64.37,41.11
1788421965.077,9.41,ndvi_acquire_stac,1,664.7,664.7,184.5,51.0,7833.8,57720.2,0.0,28.14,0.0,10.59,29.09,0.59,0.0,64.37,41.11
1788421965.623,9.96,ndvi_acquire_stac,1,866.9,866.9,223.2,57.1,8006.9,57547.0,0.0,28.14,0.0,11.01,37.88,0.96,0.0,64.37,41.11
1788421966.192,10.53,ndvi_acquire_stac,1,1305.8,1305.8,386.4,83.0,8375.7,57178.3,0.0,28.14,0.0,11.1,56.7,1.06,0.0,64.37,41.11
1788421966.98,11.32,ndvi_acquire_stac,1,1240.2,1240.2,151.2,45.1,8472.8,57081.1,0.0,28.14,0.0,11.5,56.7,1.06,0.0,64.37,41.11
1788421967.823,12.16,ndvi_acquire_stac,1,1179.8,1179.8,122.2,46.8,8558.1,56995.9,0.0,28.14,0.0,11.87,56.71,1.07,0.0,64.37,41.11
1788421968.406,12.74,ndvi_acquire_stac,1,1181.3,1181.3,169.6,48.8,8422.8,57131.2,0.0,28.14,0.0,16.23,56.72,1.08,0.0,64.37,41.11
1788421968.943,13.28,ndvi_acquire_stac,1,1193.7,1193.7,190.2,52.9,8308.1,57245.8,0.0,28.14,0.0,16.55,58.67,1.12,0.0,64.37,41.11
