t_epoch,elapsed_s,stage,n_procs,rss_tree_mb,rss_max_proc_mb,cpu_tree_pct,cpu_system_pct,mem_system_used_mb,mem_system_available_mb,tree_read_mb,tree_write_mb,sys_read_mb,sys_write_mb,net_recv_mb,net_sent_mb,outdir_mb,fs_used_gb,fs_free_gb
1788421663.074,0.0,static_acquire_stac,1,202.4,202.4,224123.1,0.0,7363.1,58190.8,0.0,0.0,0.0,0.0,0.0,0.0,2.1,64.34,41.14
1788421663.582,0.51,static_acquire_stac,1,221.2,221.2,128.0,41.4,7288.1,58265.8,0.0,0.01,0.0,0.29,0.0,0.0,2.1,64.34,41.14
1788421664.351,1.28,static_acquire_stac,1,241.1,241.1,29.9,32.3,7420.9,58133.1,0.0,0.01,0.0,0.75,0.01,0.01,2.1,64.34,41.14
1788421664.852,1.78,static_acquire_stac,1,241.1,241.1,2.0,32.9,7390.3,58163.6,0.0,0.01,0.0,0.75,0.02,0.09,2.1,64.34,41.14
1788421665.354,2.28,static_acquire_stac,1,242.7,242.7,4.0,28.8,7463.7,58090.3,0.0,0.01,0.0,1.16,0.04,0.1,2.1,64.34,41.14
1788421665.933,2.86,static_acquire_stac,1,257.8,257.8,27.6,34.7,7593.5,57960.5,0.0,0.01,0.0,1.16,0.04,0.1,2.1,64.34,41.14
1788421666.445,3.37,static_acquire_stac,1,300.3,300.3,107.4,54.8,7624.3,57929.6,0.0,0.01,0.0,1.7,0.05,0.1,2.1,64.34,41.14
1788421666.946,3.87,static_acquire_stac,1,316.9,316.9,18.0,46.7,7639.1,57914.8,0.0,0.01,0.0,1.79,0.07,0.12,2.1,64.34,41.14
1788421667.448,4.37,static_acquire_stac,1,317.9,317.9,4.0,39.3,7617.8,57936.1,0.0,0.01,0.0,2.47,0.22,0.6,2.1,64.34,41.14
1788421667.949,4.88,static_acquire_stac,1,351.5,351.5,27.9,35.9,7679.3,57874.7,0.0,0.01,0.0,2.56,0.75,0.62,2.1,64.34,41.14
1788421668.45,5.38,static_acquire_stac,1,379.7,379.7,35.9,35.2,7695.5,57858.4,0.0,0.01,0.0,3.26,1.23,0.64,2.1,64.34,41.14
1788421668.952,5.88,static_acquire_stac,1,380.7,380.7,6.0,31.1,7574.3,57979.9,0.0,0.01,0.0,3.26,1.85,0.66,2.1,64.34,41.14
