t_epoch,elapsed_s,stage,n_procs,rss_tree_mb,rss_max_proc_mb,cpu_tree_pct,cpu_system_pct,mem_system_used_mb,mem_system_available_mb,tree_read_mb,tree_write_mb,sys_read_mb,sys_write_mb,net_recv_mb,net_sent_mb,outdir_mb,fs_used_gb,fs_free_gb
1788422293.345,0.0,ndvi_acquire_stac,1,202.6,202.6,0.0,0.0,7152.1,58401.8,0.0,0.0,0.0,0.0,0.0,0.0,5.5,64.37,41.1
1788422293.853,0.51,ndvi_acquire_stac,1,227.1,227.1,131.9,43.7,7087.7,58466.2,0.0,0.0,0.0,0.24,0.0,0.0,5.5,64.37,41.1
1788422294.701,1.36,ndvi_acquire_stac,1,255.5,255.5,53.0,35.8,6983.5,58570.4,0.0,0.0,0.0,0.33,0.04,0.02,5.5,64.37,41.1
1788422295.207,1.86,ndvi_acquire_stac,1,272.4,272.4,29.7,35.6,7087.7,58466.2,0.0,0.0,0.0,0.93,0.05,0.03,5.5,64.37,41.1
1788422295.708,2.36,ndvi_acquire_stac,1,275.5,275.5,8.0,31.6,7152.8,58400.8,0.0,0.0,0.0,0.93,0.1,0.07,5.5,64.37,41.1
1788422296.28,2.94,ndvi_acquire_stac,1,300.5,300.5,61.2,37.7,7212.7,58341.2,0.0,0.0,0.0,1.33,0.11,0.08,5.5,64.37,41.1
1788422296.862,3.52,ndvi_acquire_stac,1,442.6,442.6,152.8,43.4,7413.8,58140.1,0.0,0.0,0.0,1.51,0.25,0.17,5.5,64.37,41.1
1788422297.625,4.28,ndvi_acquire_stac,1,444.1,444.1,99.7,49.5,7487.1,58066.8,0.0,0.0,0.0,1.52,0.25,0.17,5.5,64.37,41.1
1788422298.153,4.81,ndvi_acquire_stac,1,543.4,543.4,151.4,48.9,7665.4,57888.5,0.0,0.0,0.0,1.76,12.28,0.33,5.5,64.37,41.1
1788422298.675,5.33,ndvi_acquire_stac,1,635.7,635.7,214.5,53.4,8060.9,57493.0,0.0,0.0,0.0,1.91,12.28,0.33,5.5,64.37,41.1
1788422299.284,5.94,ndvi_acquire_stac,1,555.2,555.2,129.8,45.3,7959.2,57594.7,0.0,0.0,0.0,2.34,12.28,0.33,5.5,64.37,41.1
1788422299.821,6.48,ndvi_acquire_stac,1,632.3,632.3,102.3,43.4,7938.5,57615.4,0.0,0.0,0.0,2.62,16.66,0.41,5.5,64.37,41.1
1788422300.323,6.98,ndvi_acquire_stac,1,812.4,812.4,213.3,55.8,8250.6,57303.3,0.0,0.0,0.0,3.08,24.72,0.45,5.5,64.37,41.1
1788422300.9,7.56,ndvi_acquire_stac,1,844.1,844.1,112.7,42.6,8335.0,57218.9,0.0,0.0,0.0,3.46,24.8,0.49,5.5,64.37,41.1
1788422301.422,8.08,ndvi_acquire_stac,1,891.5,891.5,166.6,47.3,8309.9,57244.1,0.0,0.0,0.0,3.51,27.82,0.56,5.5,64.37,41.1
1788422301.923,8.58,ndvi_acquire_stac,1,924.5,924.5,215.5,55.9,8341.3,57212.7,0.0,0.0,0.0,5.24,35.29,0.59,5.5,64.37,41.1
1788422302.429,9.08,ndvi_acquire_stac,1,958.6,958.6,156.1,46.7,8461.5,57092.5,0.0,0.0,0.0,7.38,36.32,0.61,5.5,64.37,41.1
1788422302.943,9.6,ndvi_acquire_stac,1,1012.2,1012.2,182.9,52.5,8464.9,57089.0,0.0,0.01,0.0,7.77,41.25,0.77,5.5,64.37,41.1
1788422303.556,10.21,ndvi_acquire_stac,1,1103.3,1103.3,184.5,49.0,8312.3,57241.6,0.0,0.01,0.0,7.88,46.12,0.84,5.5,64.37,41.1
1788422304.123,10.78,ndvi_acquire_stac,1,1123.2,1123.2,132.1,35.8,8325.2,57228.7,0.0,0.01,0.0,8.51,46.16,0.89,5.5,64.37,41.1
1788422304.716,11.37,ndvi_acquire_stac,1,1298.4,1298.4,224.4,40.5,8497.2,57056.8,0.0,0.01,0.0,9.11,46.16,0.9,5.5,64.37,41.1
1788422305.899,12.55,ndvi_acquire_stac,1,1300.5,1300.5,96.4,51.8,8396.2,57157.7,0.0,0.01,0.0,9.57,46.16,0.9,5.5,64.37,41.1
1788422306.446,13.1,ndvi_acquire_stac,1,1322.5,1322.5,191.9,50.4,8435.3,57118.6,0.0,0.01,0.0,9.57,48.4,0.97,5.5,64.37,41.1
1788422307.405,14.06,ndvi_acquire_stac,1,1512.4,1512.4,258.5,61.4,8681.3,56872.6,0.0,0.01,0.0,10.0,61.85,1.16,5.5,64.37,41.1
1788422308.33,14.99,ndvi_acquire_stac,1,1599.5,1599.5,231.4,55.6,8742.5,56811.4,0.0,0.01,0.0,10.13,68.94,1.29,5.5,64.37,41.1
1788422308.957,15.61,ndvi_acquire_stac,1,1683.2,1683.2,172.3,49.1,8963.9,56590.0,0.0,0.01,0.0,10.58,70.03,1.29,5.5,64.37,41.1
1788422309.651,16.31,ndvi_acquire_stac,1,1751.1,1751.1,170.0,48.7,9195.2,56358.7,0.0,0.01,0.0,10.67,70.03,1.3,5.5,64.37,41.1
1788422310.302,16.96,ndvi_acquire_stac,1,1752.3,1752.3,153.7,47.0,9051.5,56502.4,0.0,0.01,0.0,11.17,70.04,1.31,5.5,64.37,41.1
1788422310.841,17.5,ndvi_acquire_stac,1,1757.9,1757.9,220.8,55.8,9148.5,56405.4,0.0,0.01,0.0,11.59,85.76,1.48,5.5,64.37,41.1
1788422311.434,18.09,ndvi_acquire_stac,1,1831.8,1831.8,251.1,56.7,9175.7,56378.3,0.0,0.01,0.0,11.6,86.39,1.57,5.5,64.37,41.1
1788422312.031,18.69,ndvi_acquire_stac,1,2023.1,2023.1,348.4,75.3,9175.8,56378.4,0.0,0.01,0.0,11.88,98.83,1.67,5.5,64.37,41.1
1788422312.57,19.23,ndvi_acquire_stac,1,1969.8,1969.8,122.5,45.0,9247.4,56306.8,0.0,0.01,0.0,11.98,101.38,1.76,5.5,64.37,41.1
1788422313.234,19.89,ndvi_acquire_stac,1,1882.0,1882.0,144.6,47.0,9259.5,56294.4,0.0,0.01,0.0,12.45,103.24,1.88,5.5,64.37,41.1
1788422313.776,20.43,ndvi_acquire_stac,1,1908.1,1908.1,275.0,46.4,9329.0,56225.0,0.0,0.01,0.0,12.84,104.7,1.99,5.5,64.37,41.1
1788422315.233,21.89,ndvi_acquire_stac,1,1908.2,1908.2,78.9,46.7,9197.0,56356.9,0.0,0.01,0.0,13.29,106.56,2.02,5.5,64.37,41.1
1788422316.063,22.72,ndvi_acquire_stac,1,1938.6,1938.6,171.1,45.9,9110.7,56443.2,0.0,0.01,0.0,13.72,112.22,2.1,5.5,64.37,41.1
1788422316.591,23.25,ndvi_acquire_stac,1,2066.1,2066.1,289.7,55.4,9353.9,56200.0,0.0,0.01,0.0,14.63,114.07,2.13,5.5,64.37,41.1
1788422317.825,24.48,ndvi_acquire_stac,1,2135.7,2135.7,75.4,55.9,9501.8,56052.1,0.0,0.01,0.0,15.39,114.15,2.2,5.5,64.37,41.1
1788422318.656,25.31,ndvi_acquire_stac,1,2135.7,2135.7,86.6,51.3,9555.1,55998.9,0.0,0.02,0.0,15.53,114.16,2.66,5.5,64.37,41.1
1788422319.213,25.87,ndvi_acquire_stac,1,2135.7,2135.7,118.5,45.6,9624.9,55929.0,0.0,0.02,0.0,15.94,114.16,2.67,5.5,64.37,41.1
1788422319.748,26.4,ndvi_acquire_stac,1,2135.7,2135.7,162.5,48.5,9474.0,56079.9,0.0,0.02,0.0,15.95,114.18,2.68,5.5,64.37,41.1
1788422320.328,26.98,ndvi_acquire_stac,1,2147.8,2147.8,184.6,50.5,9599.9,55954.0,0.0,0.02,0.0,16.54,117.45,2.84,5.5,64.37,41.1
1788422320.832,27.49,ndvi_acquire_stac,1,2318.0,2318.0,347.2,70.0,9732.8,55821.1,0.0,0.02,0.0,16.75,130.44,2.93,5.5,64.37,41.1
1788422321.431,28.09,ndvi_acquire_stac,1,2305.4,2305.4,116.9,43.3,9512.4,56041.5,0.0,0.02,0.0,16.88,130.45,2.93,5.5,64.37,41.1
1788422321.957,28.61,ndvi_acquire_stac,1,2186.7,2186.7,258.7,44.1,9550.9,56003.0,0.0,0.02,0.0,18.21,130.45,2.93,5.5,64.37,41.1
1788422323.2,29.86,ndvi_acquire_stac,1,2186.7,2186.7,73.2,49.5,9557.4,55996.5,0.0,0.02,0.0,18.5,130.46,3.03,5.5,64.37,41.1
1788422323.731,30.39,ndvi_acquire_stac,1,2186.7,2186.7,195.8,47.8,9459.2,56094.7,0.0,0.02,0.0,18.5,130.63,3.11,5.5,64.37,41.1
1788422324.334,30.99,ndvi_acquire_stac,1,2236.1,2236.1,303.8,71.8,9512.5,56041.4,0.0,0.02,0.0,18.98,148.21,3.25,5.5,64.37,41.1
1788422324.844,31.5,ndvi_acquire_stac,1,2262.2,2262.2,160.6,42.9,9483.1,56070.8,0.0,0.02,0.0,19.51,148.28,3.29,5.5,64.37,41.1
1788422326.127,32.78,ndvi_acquire_stac,1,2251.8,2251.8,99.8,43.2,9506.1,56047.8,0.0,0.02,0.0,19.9,148.29,3.32,5.5,64.37,41.1
1788422326.681,33.34,ndvi_acquire_stac,1,2187.4,2187.4,149.9,48.3,9488.0,56065.9,0.0,0.02,0.0,19.9,148.3,3.32,5.5,64.37,41.1
