t_epoch,elapsed_s,stage,n_procs,rss_tree_mb,rss_max_proc_mb,cpu_tree_pct,cpu_system_pct,mem_system_used_mb,mem_system_available_mb,tree_read_mb,tree_write_mb,sys_read_mb,sys_write_mb,net_recv_mb,net_sent_mb,outdir_mb,fs_used_gb,fs_free_gb
1788434988.382,0.0,ndvi_acquire_stac,1,202.8,202.8,0.0,0.0,7690.4,57861.3,0.21,0.0,0.0,0.0,0.0,0.0,0.0,67.11,38.37
1788434988.925,0.54,ndvi_acquire_stac,1,226.5,226.5,119.7,42.3,7556.3,57995.4,0.7,0.0,0.34,0.29,0.0,0.0,0.0,67.11,38.37
1788434989.718,1.34,ndvi_acquire_stac,1,256.5,256.5,51.7,39.3,7749.0,57802.6,0.77,0.0,0.41,0.32,0.04,0.02,0.0,67.11,38.37
1788434990.225,1.84,ndvi_acquire_stac,1,272.6,272.6,33.5,32.7,7651.7,57900.0,1.28,0.0,0.93,0.48,0.05,0.03,0.0,67.11,38.37
1788434990.726,2.35,ndvi_acquire_stac,1,275.7,275.7,8.0,27.4,7699.1,57852.6,1.28,0.0,0.93,0.48,0.1,0.05,0.0,67.11,38.37
1788434991.228,2.85,ndvi_acquire_stac,1,288.5,288.5,27.9,27.4,7668.3,57883.4,1.28,0.0,0.93,1.06,0.1,0.05,0.0,67.11,38.37
1788434991.741,3.36,ndvi_acquire_stac,1,439.1,439.1,191.0,40.8,7706.7,57845.0,1.35,0.0,1.0,1.45,0.21,0.15,0.0,67.11,38.37
1788434992.656,4.28,ndvi_acquire_stac,1,443.3,443.3,81.9,42.5,7783.5,57768.2,1.35,0.0,1.0,1.56,0.22,0.16,0.0,67.11,38.37
1788434993.172,4.79,ndvi_acquire_stac,1,534.0,534.0,116.5,44.9,7913.2,57638.4,3.24,0.0,2.89,1.72,12.23,0.3,0.0,67.11,38.37
1788434993.714,5.33,ndvi_acquire_stac,1,587.5,587.5,228.7,55.6,7865.2,57686.5,3.24,0.0,2.89,1.75,12.24,0.3,0.0,67.11,38.37
1788434994.255,5.87,ndvi_acquire_stac,1,557.6,557.6,134.9,46.0,7919.1,57632.5,3.24,0.0,2.89,1.82,12.28,0.32,0.0,67.11,38.37
1788434994.773,6.39,ndvi_acquire_stac,1,693.0,693.0,206.5,54.5,7965.7,57586.0,3.24,0.0,2.89,1.84,23.14,0.44,0.0,67.11,38.37
1788434995.624,7.24,ndvi_acquire_stac,1,806.6,806.6,156.4,52.2,8211.4,57340.3,3.24,0.0,2.89,2.04,26.19,0.51,0.0,67.11,38.37
1788434996.205,7.82,ndvi_acquire_stac,1,780.9,780.9,123.9,43.7,7969.1,57582.5,3.24,0.0,2.89,2.13,26.19,0.51,0.0,67.11,38.37
1788434996.724,8.34,ndvi_acquire_stac,1,810.0,810.0,165.7,50.9,8004.2,57547.5,3.24,0.0,2.89,2.13,34.76,0.61,0.0,67.11,38.37
1788434997.357,8.98,ndvi_acquire_stac,1,963.2,963.2,195.8,52.4,8102.3,57449.3,3.24,0.0,2.89,2.93,36.72,0.71,0.0,67.11,38.37
1788434997.911,9.53,ndvi_acquire_stac,1,973.5,973.5,270.8,51.1,8128.2,57423.5,3.24,0.0,2.89,3.53,41.64,0.82,0.0,67.11,38.37
1788434998.746,10.36,ndvi_acquire_stac,1,1030.6,1030.6,176.1,49.3,8253.9,57297.7,3.24,0.0,2.89,3.62,43.72,0.91,0.0,67.11,38.37
1788434999.624,11.24,ndvi_acquire_stac,1,1132.4,1132.4,113.8,44.3,8485.5,57066.2,3.24,0.0,2.89,3.62,43.75,0.92,0.0,67.11,38.37
1788435000.487,12.11,ndvi_acquire_stac,1,1228.9,1228.9,112.5,50.9,8651.1,56900.6,3.24,0.0,2.89,3.94,44.4,0.99,0.0,67.11,38.37
1788435001.031,12.65,ndvi_acquire_stac,1,1386.7,1386.7,281.1,60.5,8667.0,56884.7,3.57,0.0,3.35,4.02,50.46,1.03,0.0,67.11,38.37
1788435001.626,13.24,ndvi_acquire_stac,1,1326.8,1326.8,124.4,45.2,8704.5,56847.2,3.57,0.0,3.35,4.27,50.46,1.03,0.0,67.11,38.37
1788435002.175,13.79,ndvi_acquire_stac,1,1503.7,1503.7,315.1,62.7,8693.2,56858.4,3.57,0.0,3.35,4.35,60.05,1.25,0.0,67.11,38.37
1788435003.411,15.03,ndvi_acquire_stac,1,1542.1,1542.1,204.6,57.6,8990.3,56561.4,3.57,0.0,3.35,4.89,70.97,1.38,0.0,67.11,38.37
1788435003.949,15.57,ndvi_acquire_stac,1,1714.6,1714.6,256.7,60.2,9014.4,56537.3,3.57,0.0,3.35,4.89,76.65,1.43,0.0,67.11,38.37
1788435004.602,16.22,ndvi_acquire_stac,1,1751.9,1751.9,114.8,45.9,9128.4,56423.2,3.57,0.0,3.35,4.98,76.71,1.43,0.0,67.11,38.37
1788435005.134,16.75,ndvi_acquire_stac,1,1801.6,1801.6,256.0,60.4,9164.3,56387.4,3.57,0.0,3.35,5.1,78.7,1.45,0.0,67.11,38.37
1788435005.66,17.28,ndvi_acquire_stac,1,1792.1,1792.1,212.7,50.8,9178.9,56372.7,3.57,0.0,3.35,5.1,83.41,1.62,0.0,67.11,38.37
1788435006.25,17.87,ndvi_acquire_stac,1,1899.3,1899.3,344.3,62.4,9201.7,56349.9,3.57,0.0,3.35,5.19,94.67,1.72,0.0,67.11,38.37
1788435006.763,18.38,ndvi_acquire_stac,1,1999.3,1999.3,161.7,41.6,9340.4,56211.2,3.57,0.0,3.35,5.23,96.48,1.74,0.0,67.11,38.37
