t_epoch,elapsed_s,stage,n_procs,rss_tree_mb,rss_max_proc_mb,cpu_tree_pct,cpu_system_pct,mem_system_used_mb,mem_system_available_mb,tree_read_mb,tree_write_mb,sys_read_mb,sys_write_mb,net_recv_mb,net_sent_mb,outdir_mb,fs_used_gb,fs_free_gb
1788435420.573,0.0,ndvi_acquire_stac,1,202.3,202.3,0.0,0.0,7273.4,58278.2,0.0,0.0,0.0,0.0,0.0,0.0,645.9,67.76,37.72
1788435421.075,0.5,ndvi_stage,4,491.8,210.3,268.7,61.1,7360.2,58191.4,0.0,0.01,0.0,0.07,0.0,0.09,645.9,67.76,37.72
1788435421.577,1.01,ndvi_stage,4,641.4,212.0,301.0,64.9,7301.5,58250.1,0.0,0.01,0.0,0.23,0.0,0.09,645.9,67.76,37.72
1788435422.079,1.51,ndvi_stage,4,1472.6,629.3,199.3,53.9,8215.2,57336.4,0.0,0.01,0.0,0.23,0.0,0.09,645.9,67.76,37.72
1788435422.58,2.01,ndvi_stage,4,1489.8,633.6,199.4,53.8,8072.6,57479.0,0.0,0.01,0.0,0.28,0.0,0.09,645.9,67.76,37.72
1788435423.082,2.51,ndvi_stage,4,1489.8,633.6,199.4,53.6,8133.4,57418.2,0.0,0.01,0.0,0.28,0.0,0.1,645.9,67.76,37.72
1788435423.583,3.01,ndvi_stage,4,1490.8,633.8,201.3,53.8,8116.0,57435.6,0.0,0.01,0.13,0.42,0.01,0.25,645.9,67.76,37.72
1788435424.085,3.51,ndvi_stage,4,1491.0,633.9,199.4,56.5,8131.5,57420.1,0.0,0.02,0.13,0.75,0.01,0.25,645.9,67.76,37.72
1788435424.586,4.02,ndvi_stage,4,1491.1,633.9,201.5,57.3,8250.6,57301.0,0.0,0.02,0.13,0.85,0.02,0.26,645.9,67.76,37.72
1788435425.088,4.52,ndvi_stage,4,1491.1,633.9,199.5,50.5,8330.8,57220.8,0.0,0.02,0.13,0.85,0.02,0.26,645.9,67.76,37.72
1788435425.589,5.02,ndvi_stage,4,1505.4,648.2,199.5,52.6,8307.6,57244.0,0.0,0.02,0.13,0.9,0.02,0.26,645.9,67.76,37.72
1788435426.09,5.52,ndvi_stage,4,1505.4,648.2,199.3,54.7,8307.8,57243.8,0.0,0.02,0.13,0.9,0.02,0.27,645.9,67.76,37.72
1788435426.592,6.02,ndvi_stage,4,1491.2,633.9,199.4,54.4,8232.7,57318.9,0.0,0.02,0.13,0.93,0.02,0.27,645.9,67.76,37.72
1788435427.094,6.52,ndvi_stage,4,1467.7,633.9,203.4,54.4,8330.1,57221.5,0.0,0.02,0.13,0.98,0.03,0.27,645.9,67.76,37.72
1788435427.595,7.02,ndvi_stage,4,1467.7,633.9,201.3,51.9,8103.1,57448.5,0.0,0.02,0.13,1.15,0.03,0.27,645.9,67.76,37.72
1788435428.097,7.53,ndvi_stage,4,1467.7,633.9,199.4,56.6,8122.7,57428.9,0.0,0.02,0.13,1.25,0.03,0.27,645.9,67.76,37.72
1788435428.598,8.03,ndvi_stage,4,1491.2,633.9,199.4,53.5,8192.7,57358.9,0.0,0.02,0.13,1.42,0.03,0.28,645.9,67.76,37.72
1788435429.099,8.53,ndvi_stage,4,1467.7,633.9,199.5,54.4,8191.7,57359.9,0.0,0.02,0.13,1.47,0.03,0.28,645.9,67.76,37.72
1788435429.601,9.03,ndvi_stage,4,1505.5,648.3,199.5,52.8,8398.5,57153.1,0.0,0.02,0.13,1.64,0.04,0.28,645.9,67.76,37.72
1788435430.102,9.53,ndvi_stage,4,1491.2,634.0,199.3,52.3,8400.9,57150.7,0.0,0.02,0.13,1.64,0.04,0.28,645.9,67.76,37.72
1788435430.604,10.03,ndvi_stage,4,1491.2,634.0,203.4,54.7,8379.0,57172.6,0.0,0.02,0.13,1.71,0.04,0.28,645.9,67.76,37.72
