t_epoch,elapsed_s,stage,n_procs,rss_tree_mb,rss_max_proc_mb,cpu_tree_pct,cpu_system_pct,mem_system_used_mb,mem_system_available_mb,tree_read_mb,tree_write_mb,sys_read_mb,sys_write_mb,net_recv_mb,net_sent_mb,outdir_mb,fs_used_gb,fs_free_gb
1788421687.414,0.0,static_acquire_stac,1,203.0,203.0,0.0,0.0,7510.1,58043.9,0.0,0.02,0.0,0.0,0.0,0.0,2.3,64.34,41.14
1788421687.922,0.51,static_acquire_stac,1,223.5,223.5,153.5,43.4,7474.4,58079.5,0.0,0.03,0.0,0.82,0.0,0.09,2.3,64.34,41.14
1788421688.702,1.29,static_acquire_stac,1,241.5,241.5,12.8,33.0,7369.9,58184.0,0.0,0.03,0.0,1.07,0.01,0.1,2.3,64.34,41.14
1788421689.204,1.79,static_acquire_stac,1,241.6,241.6,2.0,31.6,7384.7,58169.2,0.0,0.03,0.0,1.11,0.02,0.1,2.3,64.34,41.14
1788421689.705,2.29,static_acquire_stac,1,243.2,243.2,2.0,31.4,7243.5,58310.4,0.0,0.03,0.0,1.39,0.04,0.11,2.3,64.34,41.14
1788421690.207,2.79,static_acquire_stac,1,268.7,268.7,35.9,37.5,7219.7,58334.2,0.0,0.03,0.0,1.53,0.04,0.11,2.3,64.34,41.14
1788421690.714,3.3,static_acquire_stac,1,310.4,310.4,86.8,41.5,7395.4,58158.5,0.0,0.03,0.0,1.75,0.06,0.12,2.3,64.34,41.14
1788421691.215,3.8,static_acquire_stac,1,317.7,317.7,16.0,26.9,7307.8,58246.2,0.0,0.03,0.0,1.75,0.12,0.15,2.3,64.34,41.14
1788421691.725,4.31,static_acquire_stac,1,330.1,330.1,3.9,27.8,7307.3,58246.7,0.0,0.03,0.0,2.04,0.35,0.16,2.3,64.34,41.14
1788421692.233,4.82,static_acquire_stac,1,356.0,356.0,27.6,36.4,7414.5,58139.4,0.0,0.03,0.0,2.04,0.87,0.18,2.3,64.34,41.14
