t_epoch,elapsed_s,stage,n_procs,rss_tree_mb,rss_max_proc_mb,cpu_tree_pct,cpu_system_pct,mem_system_used_mb,mem_system_available_mb,tree_read_mb,tree_write_mb,sys_read_mb,sys_write_mb,net_recv_mb,net_sent_mb,outdir_mb,fs_used_gb,fs_free_gb
1788426485.085,0.0,ndvi_acquire_stac,1,201.3,201.3,0.0,0.0,6937.8,58615.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.17,40.31
1788426485.593,0.51,ndvi_acquire_stac,1,228.9,228.9,161.6,42.2,7049.8,58503.8,0.0,0.0,0.0,2.99,0.0,0.0,0.0,65.17,40.31
1788426486.41,1.33,ndvi_acquire_stac,1,266.2,266.2,42.8,37.8,7074.3,58479.3,0.0,0.0,0.0,3.42,0.04,0.02,0.0,65.17,40.31
1788426486.971,1.89,ndvi_acquire_stac,1,273.5,273.5,16.0,30.3,7078.7,58474.9,0.0,0.0,0.0,3.77,0.07,0.04,0.0,65.17,40.31
1788426487.472,2.39,ndvi_acquire_stac,1,303.7,303.7,69.8,37.7,7122.4,58431.2,0.0,0.0,0.0,4.77,0.2,0.1,0.0,65.17,40.31
1788426487.973,2.89,ndvi_acquire_stac,1,437.0,437.0,153.6,45.3,7264.5,58289.1,0.0,0.0,0.0,5.93,0.2,0.12,0.0,65.17,40.31
1788426488.722,3.64,ndvi_acquire_stac,1,443.8,443.8,96.1,43.1,7265.0,58288.6,0.0,0.0,0.0,6.52,0.29,0.15,0.0,65.17,40.31
1788426489.235,4.15,ndvi_acquire_stac,1,643.2,643.2,228.2,59.4,7585.8,57967.8,0.0,0.0,0.0,7.43,12.2,0.26,0.0,65.17,40.31
1788426489.738,4.65,ndvi_acquire_stac,1,631.8,631.8,153.0,41.9,7573.0,57980.6,0.0,0.0,0.0,8.03,12.2,0.27,0.0,65.17,40.31
1788426490.45,5.37,ndvi_acquire_stac,1,646.7,646.7,133.5,45.2,7545.0,58008.6,0.0,0.0,0.0,9.27,12.26,0.29,0.0,65.17,40.31
1788426490.969,5.88,ndvi_acquire_stac,1,847.5,847.5,200.2,54.4,7652.6,57901.1,0.0,0.0,0.0,9.66,24.58,0.38,0.0,65.17,40.31
1788426491.631,6.55,ndvi_acquire_stac,1,870.5,870.5,110.4,33.7,7575.0,57978.6,0.0,0.0,0.0,11.44,24.6,0.41,0.0,65.17,40.31
1788426492.149,7.06,ndvi_acquire_stac,1,870.5,870.5,133.3,34.4,7501.9,58051.8,0.0,0.0,0.0,11.88,24.6,0.41,0.0,65.17,40.31
1788426492.671,7.59,ndvi_acquire_stac,1,918.8,918.8,134.1,47.6,7715.5,57838.1,0.0,0.0,0.0,12.4,34.51,0.54,0.0,65.17,40.31
1788426493.192,8.11,ndvi_acquire_stac,1,974.9,974.9,207.2,50.2,7669.1,57884.5,0.0,0.0,0.0,13.19,36.79,0.55,0.0,65.17,40.31
1788426493.771,8.69,ndvi_acquire_stac,1,1003.9,1003.9,129.5,49.3,7823.9,57729.7,0.0,0.0,0.0,13.47,36.8,0.69,0.0,65.17,40.31
1788426494.296,9.21,ndvi_acquire_stac,1,1004.5,1004.5,125.8,44.0,7762.1,57791.5,0.0,0.0,0.0,14.41,43.19,0.78,0.0,65.17,40.31
1788426494.798,9.71,ndvi_acquire_stac,1,1002.7,1002.7,246.6,59.9,7992.8,57560.8,0.0,0.0,0.0,14.67,49.07,0.8,0.0,65.17,40.31
