t_epoch,elapsed_s,stage,n_procs,rss_tree_mb,rss_max_proc_mb,cpu_tree_pct,cpu_system_pct,mem_system_used_mb,mem_system_available_mb,tree_read_mb,tree_write_mb,sys_read_mb,sys_write_mb,net_recv_mb,net_sent_mb,outdir_mb,fs_used_gb,fs_free_gb
1788425953.394,0.0,init,1,201.9,201.9,0.0,0.0,7138.7,58414.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.16,40.31
1788425953.9,0.51,ndvi_acquire_stac,1,225.7,225.7,126.4,43.9,7064.3,58489.3,0.0,0.0,0.0,0.45,0.0,0.0,0.0,65.16,40.31
1788425954.514,1.12,ndvi_acquire_stac,1,250.1,250.1,57.0,39.7,7173.1,58380.5,0.0,0.0,0.0,1.25,0.03,0.02,0.0,65.16,40.31
1788425955.016,1.62,ndvi_acquire_stac,1,271.7,271.7,47.9,36.5,7230.2,58323.4,0.0,0.0,0.0,1.25,0.05,0.02,0.0,65.16,40.31
1788425955.518,2.13,ndvi_acquire_stac,1,289.0,289.0,21.9,31.9,7256.5,58297.1,0.0,0.0,0.0,1.45,0.09,0.04,0.0,65.16,40.31
1788425956.186,2.79,ndvi_acquire_stac,1,398.4,398.4,101.7,44.4,7368.1,58185.5,0.0,0.0,0.0,1.58,0.26,0.12,0.0,65.16,40.31
1788425956.719,3.33,ndvi_acquire_stac,1,503.2,503.2,163.2,51.0,7522.2,58031.4,0.0,0.0,0.0,1.58,3.12,0.17,0.0,65.16,40.31
1788425957.278,3.88,ndvi_acquire_stac,1,582.3,582.3,150.4,43.5,7506.4,58047.2,0.0,0.0,0.0,1.6,6.93,0.25,0.0,65.16,40.31
1788425957.844,4.45,ndvi_acquire_stac,1,699.0,699.0,199.6,56.0,7770.9,57782.8,0.0,0.0,0.0,1.6,13.64,0.28,0.0,65.16,40.31
1788425958.36,4.97,ndvi_acquire_stac,1,653.6,653.6,151.1,46.9,7775.7,57777.9,0.0,0.0,0.0,1.6,13.64,0.29,0.0,65.16,40.31
1788425958.885,5.49,ndvi_acquire_stac,1,690.3,690.3,169.5,60.8,7844.7,57708.9,0.0,0.0,0.0,2.42,16.93,0.37,0.0,65.16,40.31
1788425959.654,6.26,ndvi_acquire_stac,1,864.7,864.7,167.7,50.7,7841.0,57712.6,0.0,0.0,0.0,2.59,24.57,0.43,0.0,65.16,40.31
1788425960.179,6.79,ndvi_acquire_stac,1,840.6,840.6,127.5,37.1,7862.5,57691.1,0.0,0.0,0.0,4.26,24.59,0.44,0.0,65.16,40.31
1788425960.704,7.31,ndvi_acquire_stac,1,844.4,844.4,158.3,51.0,7911.4,57642.2,0.0,0.0,0.0,4.39,25.96,0.5,0.0,65.16,40.31
1788425961.326,7.93,ndvi_acquire_stac,1,957.5,957.5,180.0,51.5,8013.3,57540.3,0.0,0.0,0.0,4.73,35.11,0.55,0.0,65.16,40.31
1788425961.838,8.45,ndvi_acquire_stac,1,998.1,998.1,154.3,48.8,8107.7,57445.9,0.0,0.0,0.0,4.92,35.11,0.55,0.0,65.16,40.31
1788425962.51,9.12,ndvi_acquire_stac,1,1038.9,1038.9,154.7,48.9,8110.0,57443.6,0.0,0.0,0.0,5.64,38.02,0.61,0.0,65.16,40.31
1788425963.066,9.67,ndvi_acquire_stac,1,1081.9,1081.9,239.5,57.8,8144.6,57409.0,0.0,0.0,0.0,6.03,42.97,0.7,0.0,65.16,40.31
1788425963.629,10.24,ndvi_acquire_stac,1,1157.4,1157.4,129.5,45.3,8159.2,57394.4,0.0,0.0,0.0,6.03,43.13,0.73,0.0,65.16,40.31
1788425964.182,10.79,ndvi_acquire_stac,1,1246.0,1246.0,166.6,47.2,8198.9,57354.7,0.0,0.0,0.0,6.03,46.26,0.83,0.0,65.16,40.31
1788425965.242,11.85,ndvi_acquire_stac,1,1424.4,1424.4,181.1,61.0,8277.2,57276.4,0.0,0.0,0.0,6.71,49.8,0.86,0.0,65.16,40.31
1788425965.801,12.41,ndvi_acquire_stac,1,1401.5,1401.5,127.0,45.3,8233.7,57319.9,0.0,0.0,0.0,7.2,49.8,0.89,0.0,65.16,40.31
1788425966.376,12.98,ndvi_acquire_stac,1,1426.3,1426.3,186.3,52.2,8249.0,57304.6,0.0,0.0,0.0,7.25,49.95,0.93,0.0,65.16,40.31
1788425966.942,13.55,ndvi_acquire_stac,1,1610.4,1610.4,340.6,71.0,8062.5,57491.2,0.0,0.0,0.0,8.46,65.11,1.14,0.0,65.16,40.31
1788425968.157,14.76,ndvi_acquire_stac,1,1815.6,1815.6,242.9,49.3,8513.1,57040.5,0.0,0.0,0.0,8.64,73.82,1.22,0.0,65.16,40.31
1788425969.009,15.62,ndvi_acquire_stac,1,1774.0,1774.0,100.9,46.1,8653.9,56899.7,0.0,0.0,0.0,8.64,73.82,1.23,0.0,65.16,40.31
1788425969.558,16.16,ndvi_acquire_stac,1,1739.7,1739.7,195.2,49.2,8798.5,56755.1,0.0,0.0,0.0,9.17,73.83,1.24,0.0,65.16,40.31
1788425970.167,16.77,ndvi_acquire_stac,1,1739.9,1739.9,193.5,51.8,8664.0,56889.6,0.0,0.0,0.0,9.56,75.08,1.32,0.0,65.16,40.31
1788425970.761,17.37,ndvi_acquire_stac,1,1915.0,1915.0,362.1,82.1,8894.7,56658.9,0.0,0.0,0.0,10.75,93.88,1.5,0.0,65.16,40.31
1788425971.29,17.9,ndvi_acquire_stac,1,2006.4,2006.4,225.2,45.0,8993.2,56560.5,0.0,0.0,0.0,10.78,95.65,1.54,0.0,65.16,40.31
1788425972.651,19.26,ndvi_acquire_stac,1,1990.8,1990.8,95.5,43.0,9003.0,56550.6,0.0,0.0,0.0,11.01,95.65,1.54,0.0,65.16,40.31
1788425973.172,19.78,ndvi_acquire_stac,1,1989.8,1989.8,130.5,43.0,9058.4,56495.2,0.0,0.0,0.0,11.01,96.9,1.63,0.0,65.16,40.31
1788425973.686,20.29,ndvi_acquire_stac,1,2182.5,2182.5,317.1,48.9,9086.4,56467.2,0.0,0.01,0.0,11.24,103.32,1.67,0.0,65.16,40.31
1788425975.202,21.81,ndvi_acquire_stac,1,2037.2,2037.2,70.6,44.2,9039.7,56513.9,0.0,0.01,0.0,12.62,103.32,1.67,0.0,65.16,40.31
1788425975.757,22.36,ndvi_acquire_stac,1,2037.2,2037.2,122.7,54.3,8962.1,56591.5,0.0,0.01,0.0,12.64,104.28,2.39,0.0,65.16,40.31
1788425976.271,22.88,ndvi_acquire_stac,1,2094.6,2094.6,235.1,51.1,8934.3,56619.3,0.0,0.01,0.0,12.82,111.03,2.47,0.0,65.16,40.31
1788425976.923,23.53,ndvi_acquire_stac,1,2088.6,2088.6,171.8,33.9,9074.8,56478.8,0.0,0.01,0.0,12.99,111.04,2.48,0.0,65.16,40.31
1788425977.988,24.6,ndvi_acquire_stac,1,2092.7,2092.7,130.5,46.0,9112.7,56441.0,0.0,0.01,0.0,13.68,114.14,2.59,0.0,65.16,40.31
1788425979.335,25.94,ndvi_acquire_stac,1,2104.2,2104.2,115.1,57.0,9315.2,56238.5,0.0,0.01,0.0,14.33,116.07,2.76,0.0,65.16,40.31
1788425979.872,26.48,ndvi_acquire_stac,1,2149.5,2149.5,180.6,50.0,9257.9,56295.7,0.0,0.01,0.0,14.37,116.1,2.78,0.0,65.16,40.31
1788425980.737,27.34,ndvi_acquire_stac,1,2098.6,2098.6,241.6,60.3,9362.8,56190.8,0.0,0.01,0.0,16.13,129.31,2.97,0.0,65.16,40.31
1788425981.261,27.87,ndvi_acquire_stac,1,2088.8,2088.8,215.6,51.3,9171.2,56382.8,0.0,0.01,0.0,16.15,135.18,3.02,0.0,65.16,40.31
1788425982.116,28.72,ndvi_acquire_stac,1,2185.9,2185.9,113.5,47.8,9094.0,56459.6,0.0,0.01,0.0,16.67,135.19,3.69,0.0,65.16,40.31
1788425982.666,29.27,ndvi_acquire_stac,1,2137.1,2137.1,161.8,43.9,9229.3,56324.3,0.0,0.01,0.0,17.85,135.19,3.7,0.0,65.16,40.31
1788425983.837,30.44,ndvi_acquire_stac,1,2137.1,2137.1,117.8,46.3,9145.3,56408.3,0.0,0.01,0.0,17.85,135.2,3.71,0.0,65.16,40.31
1788425984.376,30.98,ndvi_acquire_stac,1,2137.1,2137.1,192.9,52.5,9102.7,56450.9,0.0,0.01,0.0,18.0,135.85,3.82,0.0,65.16,40.31
1788425984.902,31.51,ndvi_acquire_stac,1,2329.2,2329.2,424.1,57.0,9459.4,56094.2,0.0,0.01,0.0,19.16,152.92,3.94,0.0,65.16,40.31
1788425985.952,32.56,ndvi_acquire_stac,1,2288.2,2288.2,91.4,44.4,9120.5,56433.1,0.0,0.01,0.0,20.57,152.92,3.94,0.0,65.16,40.31
1788425987.268,33.88,ndvi_acquire_stac,1,2279.2,2279.2,101.0,43.2,8976.7,56576.9,0.0,0.01,0.0,20.79,152.98,4.0,0.0,65.16,40.31
1788425987.886,34.49,ndvi_acquire_stac,1,2279.2,2279.2,105.2,45.6,9089.5,56464.1,0.0,0.01,0.0,21.22,152.98,4.0,0.0,65.16,40.31
1788425988.416,35.02,ndvi_acquire_stac,1,2279.2,2279.2,166.2,47.4,9053.1,56500.5,0.0,0.01,0.0,21.22,152.98,4.0,0.0,65.16,40.31
1788425988.948,35.56,ndvi_acquire_stac,1,2289.1,2289.1,174.8,48.1,9186.8,56366.8,0.0,0.01,0.0,21.47,158.8,4.17,0.0,65.16,40.31
1788425989.455,36.06,ndvi_acquire_stac,1,2395.0,2395.0,382.3,68.4,9499.2,56054.4,0.0,0.01,0.0,22.32,170.95,4.24,0.0,65.16,40.31
1788425990.148,36.76,ndvi_acquire_stac,1,2324.9,2324.9,103.9,46.3,9540.4,56013.2,0.0,0.01,0.0,22.97,170.96,4.25,0.0,65.16,40.31
1788425991.028,37.64,ndvi_acquire_stac,1,2283.8,2283.8,114.8,43.4,9286.4,56267.1,0.0,0.01,0.0,22.99,170.96,4.3,0.0,65.16,40.31
1788425991.588,38.2,ndvi_acquire_stac,1,2283.8,2283.8,171.3,49.3,9058.1,56495.5,0.0,0.01,0.0,24.32,170.97,4.3,0.0,65.16,40.31
1788425992.138,38.75,ndvi_acquire_stac,1,2283.8,2283.8,185.4,51.4,9197.9,56355.7,0.0,0.02,0.0,24.62,172.74,4.4,0.0,65.16,40.31
1788425992.677,39.28,ndvi_acquire_stac,1,2333.7,2333.7,308.0,65.0,9145.2,56408.5,0.0,0.02,0.0,24.71,193.2,4.56,0.0,65.16,40.31
1788425993.426,40.03,ndvi_acquire_stac,1,2379.3,2379.3,154.8,47.9,9376.1,56177.5,0.0,0.02,0.0,24.84,193.21,4.72,0.0,65.16,40.31
1788425993.989,40.6,ndvi_acquire_stac,1,2316.9,2316.9,111.9,42.5,9295.0,56258.6,0.0,0.02,0.0,24.92,193.25,4.77,0.0,65.16,40.31
1788425994.534,41.14,ndvi_acquire_stac,1,2331.4,2331.4,215.0,43.3,9417.4,56136.2,0.0,0.02,0.0,26.46,193.26,4.77,0.0,65.16,40.31
1788425995.554,42.16,ndvi_acquire_stac,1,2334.1,2334.1,100.0,51.0,9536.3,56017.3,0.0,0.02,0.0,26.47,193.26,5.44,0.0,65.16,40.31
1788425996.1,42.71,ndvi_acquire_stac,1,2337.0,2337.0,199.4,52.8,9681.2,55872.5,0.0,0.02,0.0,26.47,197.53,5.5,0.0,65.16,40.31
1788425996.642,43.25,ndvi_acquire_stac,1,2378.6,2378.6,315.6,69.2,9646.5,55907.1,0.0,0.02,0.0,27.0,213.35,5.78,0.0,65.16,40.31
1788425997.565,44.17,ndvi_acquire_stac,1,2462.3,2462.3,202.6,53.1,9680.5,55873.1,0.0,0.02,0.0,27.51,218.45,5.83,0.0,65.16,40.31
1788425998.295,44.9,ndvi_acquire_stac,1,2416.8,2416.8,310.9,46.2,9751.2,55802.8,0.0,0.02,0.0,28.81,218.46,5.83,0.0,65.16,40.31
1788425999.845,46.45,ndvi_acquire_stac,1,2416.8,2416.8,72.9,54.8,9758.8,55794.9,0.0,0.02,0.0,28.81,220.35,5.85,0.0,65.16,40.31
1788426000.385,46.99,ndvi_acquire_stac,1,2431.5,2431.5,227.7,40.6,9589.2,55964.4,0.0,0.02,0.0,28.83,222.47,5.89,0.0,65.16,40.31
1788426001.49,48.1,ndvi_acquire_stac,1,2437.7,2437.7,154.8,55.1,9684.3,55869.3,0.0,0.02,0.0,29.61,235.2,6.13,0.0,65.16,40.31
1788426002.026,48.63,ndvi_acquire_stac,1,2484.4,2484.4,487.1,70.1,9410.8,56142.9,0.0,0.02,0.0,29.81,249.71,6.24,0.0,65.16,40.31
1788426002.669,49.28,ndvi_acquire_stac,1,2490.6,2490.6,272.0,41.5,9622.7,55931.0,0.0,0.02,0.0,30.77,249.77,6.32,0.0,65.16,40.31
