t_epoch,elapsed_s,stage,n_procs,rss_tree_mb,rss_max_proc_mb,cpu_tree_pct,cpu_system_pct,mem_system_used_mb,mem_system_available_mb,tree_read_mb,tree_write_mb,sys_read_mb,sys_write_mb,net_recv_mb,net_sent_mb,outdir_mb,fs_used_gb,fs_free_gb
1788440099.926,0.0,pipeline,1,203.6,203.6,0.0,0.0,7052.9,58498.6,0.05,0.14,0.05,0.03,0.0,0.0,0.0,67.76,37.72
1788440100.432,0.51,pipeline,1,254.9,254.9,61.3,40.9,7121.4,58430.1,0.05,0.19,0.05,0.2,0.02,0.01,0.0,67.76,37.72
1788440100.933,1.01,pipeline,1,256.3,256.3,2.0,28.5,7018.5,58533.3,0.05,0.19,0.05,0.29,0.06,0.02,0.0,67.76,37.72
1788440101.434,1.51,pipeline,1,256.3,256.3,0.0,31.6,7005.3,58546.2,0.05,0.19,0.05,0.29,0.07,0.03,0.0,67.76,37.72
1788440101.935,2.01,pipeline,1,256.3,256.3,0.0,31.9,6751.5,58800.0,0.05,0.19,0.05,0.29,0.07,0.03,0.0,67.76,37.72
1788440102.436,2.51,pipeline,1,256.9,256.9,0.0,26.9,6749.8,58801.7,0.05,0.19,0.05,0.29,0.12,0.12,0.0,67.76,37.72
1788440102.938,3.01,pipeline,1,256.9,256.9,2.0,31.4,6891.9,58659.6,0.05,0.19,0.05,0.29,0.12,0.12,0.0,67.76,37.72
1788440103.439,3.51,pipeline,1,256.9,256.9,0.0,30.8,6815.6,58735.9,0.05,0.19,0.05,0.29,0.12,0.12,0.0,67.76,37.72
1788440103.94,4.01,pipeline,1,256.9,256.9,0.0,29.4,6983.5,58568.0,0.05,0.19,0.05,0.3,0.17,0.13,0.0,67.76,37.72
1788440104.441,4.52,pipeline,1,257.0,257.0,0.0,31.9,7180.4,58371.1,0.05,0.19,0.05,0.54,0.22,0.33,0.0,67.76,37.72
1788440104.942,5.02,ndvi_acquire_gee,1,277.7,277.7,21.9,35.8,7177.2,58374.3,0.06,0.5,0.07,0.54,0.46,0.35,0.1,67.76,37.72
1788440105.443,5.52,ndvi_acquire_gee,1,278.2,278.2,2.0,29.9,7068.6,58482.9,0.06,0.5,0.07,0.54,0.47,0.36,0.1,67.76,37.72
1788440105.944,6.02,ndvi_acquire_gee,1,278.2,278.2,0.0,32.0,7140.6,58410.8,0.06,0.5,0.07,0.84,0.48,0.36,0.1,67.76,37.72
1788440106.445,6.52,ndvi_acquire_gee,1,278.2,278.2,2.0,30.7,7244.3,58307.2,0.06,0.5,0.07,0.84,0.49,0.47,0.1,67.76,37.72
1788440106.946,7.02,ndvi_acquire_gee,1,278.6,278.6,0.0,29.3,7049.7,58501.8,0.06,0.5,0.07,1.11,0.5,0.47,0.1,67.76,37.72
1788440107.448,7.52,ndvi_acquire_gee,1,278.6,278.6,0.0,31.0,7036.7,58514.7,0.06,0.5,0.07,1.11,0.5,0.48,0.1,67.76,37.72
1788440107.949,8.02,ndvi_acquire_gee,1,278.6,278.6,2.0,34.1,6984.5,58567.0,0.06,0.5,0.07,1.11,0.5,0.48,0.1,67.76,37.72
1788440108.45,8.52,ndvi_acquire_gee,1,278.6,278.6,0.0,30.4,6926.7,58624.8,0.06,0.5,0.07,1.31,0.5,0.48,0.1,67.76,37.72
1788440108.951,9.03,ndvi_acquire_gee,1,278.6,278.6,0.0,30.4,7137.4,58414.0,0.06,0.5,0.07,1.31,0.5,0.49,0.1,67.76,37.72
1788440109.452,9.53,ndvi_acquire_gee,1,278.6,278.6,0.0,28.0,7205.5,58346.0,0.06,0.5,0.07,1.51,0.51,0.49,0.1,67.76,37.72
1788440109.953,10.03,ndvi_acquire_gee,1,278.8,278.8,4.0,35.8,7327.2,58224.3,0.06,0.5,0.07,1.6,0.51,0.71,0.1,67.76,37.72
1788440110.455,10.53,ndvi_acquire_gee,1,278.8,278.8,0.0,32.6,7432.0,58119.5,0.06,0.5,0.07,1.6,0.52,0.71,0.1,67.76,37.72
1788440110.956,11.03,ndvi_acquire_gee,1,278.8,278.8,0.0,28.0,7274.7,58276.8,0.06,0.5,0.07,1.7,0.52,0.71,0.1,67.76,37.72
1788440111.457,11.53,ndvi_acquire_gee,1,278.8,278.8,0.0,32.9,7316.2,58235.3,0.06,0.5,0.07,1.78,0.52,0.71,0.1,67.76,37.72
1788440111.958,12.03,ndvi_acquire_gee,1,278.8,278.8,0.0,30.1,7027.0,58524.5,0.06,0.5,0.07,1.78,0.53,0.72,0.1,67.76,37.72
1788440112.459,12.53,ndvi_acquire_gee,1,278.8,278.8,2.0,32.5,7179.3,58372.2,0.06,0.5,0.07,1.86,0.53,0.72,0.1,67.76,37.72
1788440112.961,13.04,ndvi_acquire_gee,1,278.8,278.8,0.0,28.5,7048.2,58503.3,0.06,0.5,0.07,1.86,0.53,0.78,0.1,67.76,37.72
1788440113.462,13.54,ndvi_acquire_gee,1,278.8,278.8,0.0,32.2,7248.9,58302.6,0.06,0.5,0.07,2.09,0.53,0.78,0.1,67.76,37.72
1788440113.963,14.04,ndvi_acquire_gee,1,278.8,278.8,0.0,30.6,7215.9,58335.6,0.06,0.5,0.07,2.15,0.54,0.78,0.1,67.76,37.72
1788440114.464,14.54,ndvi_acquire_gee,1,278.8,278.8,0.0,31.5,7311.8,58239.7,0.06,0.5,0.07,2.23,0.54,0.79,0.1,67.76,37.72
1788440114.966,15.04,ndvi_acquire_gee,1,278.8,278.8,0.0,30.4,6966.6,58584.8,0.06,0.5,0.07,2.23,0.54,0.79,0.1,67.76,37.72
1788440115.467,15.54,ndvi_acquire_gee,1,278.8,278.8,0.0,32.1,6978.3,58573.2,0.06,0.5,0.07,2.25,0.54,0.79,0.1,67.76,37.72
1788440115.968,16.04,ndvi_acquire_gee,1,278.8,278.8,0.0,29.6,6975.1,58576.4,0.06,0.5,0.07,2.26,0.54,0.8,0.1,67.76,37.72
1788440116.469,16.54,ndvi_acquire_gee,1,278.9,278.9,0.0,32.2,7055.1,58496.3,0.06,0.5,0.07,2.26,0.55,0.9,0.1,67.76,37.72
1788440116.97,17.04,ndvi_acquire_gee,1,278.9,278.9,2.0,34.1,7084.8,58466.7,0.06,0.5,0.07,2.32,0.56,0.9,0.1,67.76,37.72
1788440117.471,17.55,ndvi_acquire_gee,1,278.9,278.9,0.0,26.2,7018.6,58532.9,0.06,0.5,0.07,2.32,0.56,0.9,0.1,67.76,37.72
1788440117.972,18.05,ndvi_acquire_gee,1,278.9,278.9,0.0,33.9,7091.5,58460.0,0.06,0.5,0.07,2.48,0.56,0.91,0.1,67.76,37.72
1788440118.474,18.55,ndvi_acquire_gee,1,278.9,278.9,0.0,32.0,7197.0,58354.5,0.06,0.5,0.07,2.48,0.56,0.91,0.1,67.76,37.72
