t_epoch,elapsed_s,stage,n_procs,rss_tree_mb,rss_max_proc_mb,cpu_tree_pct,cpu_system_pct,mem_system_used_mb,mem_system_available_mb,tree_read_mb,tree_write_mb,sys_read_mb,sys_write_mb,net_recv_mb,net_sent_mb,outdir_mb,fs_used_gb,fs_free_gb
1788440330.728,0.0,pipeline,1,203.4,203.4,0.0,0.0,7407.6,58144.1,0.0,0.0,0.0,0.0,1.18,0.03,0.0,67.77,37.7
1788440331.235,0.51,pipeline,1,254.9,254.9,65.1,38.7,7467.1,58084.6,0.0,0.0,0.0,0.0,27.19,22.42,0.0,67.77,37.7
1788440331.736,1.01,pipeline,1,256.9,256.9,2.0,52.9,7557.0,57994.7,0.0,0.0,0.0,0.07,51.49,50.61,0.0,67.77,37.7
1788440332.238,1.51,pipeline,1,256.9,256.9,2.0,33.9,7739.6,57812.0,0.0,0.0,0.0,0.07,79.43,65.17,0.0,67.77,37.7
1788440332.739,2.01,pipeline,1,260.2,260.2,8.0,37.4,7674.9,57876.8,0.0,0.0,0.0,0.1,102.27,99.04,0.0,67.77,37.7
1788440333.24,2.51,pipeline,1,260.2,260.2,0.0,35.3,7626.5,57925.2,0.0,0.0,0.0,0.1,126.38,124.51,0.0,67.77,37.7
1788440333.741,3.01,ndvi_acquire_gee,1,277.4,277.4,14.0,35.1,7701.5,57850.2,0.0,0.3,0.0,0.14,151.92,142.35,0.0,67.77,37.7
1788440334.243,3.52,ndvi_acquire_gee,1,278.0,278.0,2.0,32.9,7692.3,57859.4,0.0,0.3,0.0,0.14,177.97,175.43,0.0,67.77,37.7
1788440334.744,4.02,ndvi_acquire_gee,1,278.0,278.0,0.0,31.2,7708.1,57843.5,0.0,0.3,0.0,0.4,202.24,192.4,0.0,67.77,37.7
1788440335.245,4.52,ndvi_acquire_gee,1,278.0,278.0,0.0,36.2,7703.2,57848.4,0.0,0.3,0.0,0.4,227.38,234.86,0.0,67.77,37.7
1788440335.747,5.02,ndvi_acquire_gee,1,278.0,278.0,2.0,31.2,7549.7,58001.9,0.0,0.3,0.0,0.41,252.68,237.03,0.1,67.77,37.7
1788440336.248,5.52,ndvi_acquire_gee,1,278.0,278.0,0.0,37.3,7624.4,57927.2,0.0,0.3,0.0,0.51,278.64,285.79,0.1,67.77,37.7
1788440336.749,6.02,ndvi_acquire_gee,1,278.0,278.0,0.0,30.8,7574.5,57977.2,0.0,0.3,0.0,0.51,302.32,302.8,0.1,67.77,37.7
1788440337.25,6.52,ndvi_acquire_gee,1,278.0,278.0,0.0,33.5,7674.0,57877.7,0.0,0.3,0.0,0.51,329.69,328.2,0.1,67.77,37.7
1788440337.751,7.02,ndvi_acquire_gee,1,278.4,278.4,2.0,35.4,7733.7,57818.0,0.0,0.3,0.0,0.51,352.89,353.67,0.1,67.77,37.7
1788440338.252,7.52,ndvi_acquire_gee,1,278.4,278.4,0.0,31.7,7681.1,57870.6,0.0,0.3,0.0,0.51,376.29,367.66,0.1,67.77,37.7
1788440338.753,8.03,ndvi_acquire_gee,1,278.6,278.6,2.0,33.5,7728.7,57822.9,0.0,0.3,0.0,0.59,399.78,396.09,0.1,67.77,37.7
1788440339.254,8.53,ndvi_acquire_gee,1,278.6,278.6,2.0,31.4,7699.6,57852.1,0.0,0.3,0.0,0.59,424.78,413.11,0.1,67.77,37.7
1788440339.756,9.03,ndvi_acquire_gee,1,278.6,278.6,0.0,35.9,7587.4,57964.3,0.0,0.3,0.0,1.76,446.91,446.99,0.1,67.77,37.7
1788440340.257,9.53,ndvi_acquire_gee,1,278.6,278.6,0.0,33.6,7607.4,57944.3,0.0,0.31,0.0,1.76,468.68,472.52,0.1,67.77,37.7
1788440340.758,10.03,ndvi_acquire_gee,1,278.6,278.6,0.0,28.3,7353.9,58197.7,0.0,0.31,0.0,1.77,495.24,489.48,0.1,67.77,37.7
1788440341.26,10.53,ndvi_acquire_gee,1,278.6,278.6,0.0,31.6,7442.6,58109.1,0.0,0.31,0.0,1.77,514.26,514.92,0.1,67.77,37.7
1788440341.761,11.03,ndvi_acquire_gee,1,278.6,278.6,0.0,32.8,7513.9,58037.7,0.0,0.31,0.0,1.77,536.3,534.21,0.1,67.77,37.7
1788440342.262,11.54,ndvi_acquire_gee,1,278.6,278.6,0.0,50.6,7606.1,57945.6,0.0,0.31,0.0,2.81,559.71,557.47,0.1,67.77,37.7
1788440342.764,12.04,ndvi_acquire_gee,1,278.6,278.6,0.0,36.3,7443.8,58107.7,0.0,0.31,0.0,6.57,583.2,574.47,0.1,67.77,37.7
1788440343.265,12.54,ndvi_acquire_gee,1,278.6,278.6,0.0,39.3,7484.1,58067.5,0.0,0.31,0.0,6.57,604.74,599.91,0.1,67.77,37.7
1788440343.766,13.04,ndvi_acquire_gee,1,278.6,278.6,0.0,29.6,7469.2,58082.5,0.0,0.31,0.0,6.95,627.17,625.53,0.1,67.77,37.7
1788440344.267,13.54,ndvi_acquire_gee,1,278.6,278.6,2.0,31.6,7437.4,58114.3,0.0,0.31,0.0,6.95,651.61,651.05,0.1,67.77,37.7
1788440344.768,14.04,ndvi_acquire_gee,1,278.6,278.6,0.0,32.7,7606.1,57945.5,0.0,0.31,0.0,6.95,676.42,668.09,0.1,67.77,37.7
1788440345.269,14.54,ndvi_acquire_gee,1,278.6,278.6,0.0,36.2,7491.5,58060.2,0.0,0.31,0.0,7.1,700.57,705.4,0.1,67.77,37.7
1788440345.771,15.04,ndvi_acquire_gee,1,278.6,278.6,0.0,35.2,7593.2,57958.5,0.0,0.31,0.0,7.2,727.57,727.39,0.1,67.77,37.7
1788440346.272,15.54,ndvi_acquire_gee,1,278.7,278.7,0.0,31.9,7349.6,58202.1,0.0,0.31,0.0,7.2,753.07,737.5,0.1,67.77,37.7
1788440346.774,16.05,ndvi_acquire_gee,1,278.7,278.7,2.0,36.6,7514.1,58037.6,0.0,0.31,0.0,7.2,776.19,790.14,0.1,67.77,37.7
1788440347.275,16.55,ndvi_acquire_gee,1,278.7,278.7,2.0,31.6,7680.6,57871.1,0.0,0.31,0.0,7.2,800.05,795.33,0.1,67.77,37.7
1788440347.776,17.05,ndvi_acquire_gee,1,278.7,278.7,0.0,34.9,7753.8,57797.8,0.0,0.31,0.0,7.28,821.52,820.74,0.1,67.77,37.7
1788440348.277,17.55,ndvi_acquire_gee,1,278.7,278.7,0.0,32.9,7736.8,57814.9,0.0,0.31,0.0,7.39,846.37,854.66,0.1,67.77,37.7
1788440348.778,18.05,ndvi_acquire_gee,1,278.7,278.7,0.0,31.6,7845.7,57706.0,0.0,0.31,0.0,7.48,868.6,871.65,0.1,67.77,37.7
1788440349.279,18.55,ndvi_acquire_gee,1,278.7,278.7,0.0,30.2,7740.8,57810.9,0.0,0.31,0.0,7.48,890.74,888.56,0.1,67.77,37.7
1788440349.78,19.05,ndvi_acquire_gee,1,278.7,278.7,0.0,35.2,7880.7,57671.0,0.0,0.31,0.0,7.48,915.3,922.53,0.1,67.77,37.7
