t_epoch,elapsed_s,stage,n_procs,rss_tree_mb,rss_max_proc_mb,cpu_tree_pct,cpu_system_pct,mem_system_used_mb,mem_system_available_mb,tree_read_mb,tree_write_mb,sys_read_mb,sys_write_mb,net_recv_mb,net_sent_mb,outdir_mb,fs_used_gb,fs_free_gb
1788441251.24,0.0,pipeline,1,202.6,202.6,0.0,0.0,10842.7,54709.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,67.79,37.69
1788441251.745,0.51,pipeline,1,254.6,254.6,89.0,59.3,10936.8,54614.9,0.0,0.0,0.0,0.29,0.02,0.01,0.3,67.79,37.69
1788441252.246,1.01,pipeline,1,254.8,254.8,0.0,44.3,10822.4,54729.3,0.0,0.0,0.0,0.29,0.03,0.02,0.3,67.79,37.69
1788441252.747,1.51,pipeline,1,254.8,254.8,0.0,44.1,10956.3,54595.4,0.0,0.0,0.0,0.4,0.04,0.02,0.3,67.79,37.69
1788441253.249,2.01,pipeline,1,256.2,256.2,0.0,43.1,10978.3,54573.4,0.0,0.0,0.0,0.4,0.08,0.04,0.3,67.79,37.69
1788441253.75,2.51,pipeline,1,256.8,256.8,2.0,42.1,11038.9,54512.8,0.0,0.0,0.0,0.57,0.15,0.07,0.3,67.79,37.69
1788441254.251,3.01,pipeline,1,256.8,256.8,2.0,53.7,11088.3,54463.4,0.0,0.0,0.0,0.57,0.15,0.08,0.3,67.79,37.69
1788441254.752,3.51,pipeline,1,256.8,256.8,0.0,53.3,10976.4,54575.4,0.0,0.0,0.0,0.68,3.12,0.14,0.3,67.79,37.69
1788441255.254,4.02,pipeline,1,256.8,256.8,0.0,61.7,10862.8,54689.0,0.0,0.0,0.0,0.68,16.28,0.38,0.3,67.79,37.69
1788441255.755,4.52,pipeline,1,256.8,256.8,0.0,67.0,10884.9,54666.8,0.0,0.0,0.0,0.73,26.19,0.43,0.3,67.79,37.69
1788441256.256,5.02,pipeline,1,256.8,256.8,0.0,41.2,10809.6,54742.2,0.0,0.0,0.0,0.85,26.27,0.53,0.3,67.79,37.69
1788441256.76,5.52,static_acquire_gee,1,270.8,270.8,17.9,55.6,10909.7,54642.0,0.0,0.01,0.0,1.16,26.53,0.55,0.3,67.79,37.69
