t_epoch,elapsed_s,stage,n_procs,rss_tree_mb,rss_max_proc_mb,cpu_tree_pct,cpu_system_pct,mem_system_used_mb,mem_system_available_mb,tree_read_mb,tree_write_mb,sys_read_mb,sys_write_mb,net_recv_mb,net_sent_mb,outdir_mb,fs_used_gb,fs_free_gb
1788428382.591,0.0,pipeline,1,203.0,203.0,0.0,0.0,7388.9,58164.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.11,38.37
1788428383.1,0.51,pipeline,1,255.3,255.3,62.9,40.2,7372.2,58180.9,0.0,0.0,0.0,0.0,0.02,0.11,0.0,67.11,38.37
1788428383.601,1.01,pipeline,1,255.3,255.3,0.0,30.9,7436.9,58116.2,0.0,0.0,0.0,0.0,0.03,0.11,0.0,67.11,38.37
1788428384.103,1.51,pipeline,1,255.3,255.3,0.0,32.1,7465.5,58087.5,0.0,0.0,0.0,0.99,0.03,0.11,0.0,67.11,38.37
1788428384.604,2.01,pipeline,1,257.2,257.2,2.0,31.8,7492.5,58060.5,0.0,0.0,0.0,1.1,0.11,0.11,0.0,67.11,38.37
1788428385.105,2.51,pipeline,1,257.2,257.2,0.0,30.9,7539.2,58013.9,0.0,0.0,0.0,1.29,0.12,0.12,0.0,67.11,38.37
1788428385.606,3.02,pipeline,1,257.2,257.2,2.0,23.6,7514.6,58038.4,0.0,0.0,0.0,1.42,0.12,0.12,0.0,67.11,38.37
1788428386.108,3.52,pipeline,1,257.2,257.2,0.0,29.2,7534.8,58018.3,0.0,0.0,0.0,1.66,0.17,0.12,0.0,67.11,38.37
1788428386.609,4.02,ndvi_acquire_gee,1,277.6,277.6,27.9,35.2,7451.3,58101.8,0.0,0.3,0.0,1.79,0.44,0.13,0.0,67.11,38.37
1788428387.11,4.52,ndvi_acquire_gee,1,278.6,278.6,4.0,33.3,7495.9,58057.1,0.0,0.3,0.0,2.11,0.45,0.14,0.0,67.11,38.37
1788428387.611,5.02,ndvi_acquire_gee,1,278.6,278.6,0.0,30.8,7379.4,58173.7,0.0,0.3,0.0,2.16,0.45,0.14,0.1,67.11,38.37
1788428388.113,5.52,ndvi_acquire_gee,1,278.6,278.6,0.0,31.1,7318.6,58234.5,0.0,0.3,0.0,2.61,0.46,0.14,0.1,67.11,38.37
1788428388.614,6.02,ndvi_acquire_gee,1,278.6,278.6,2.0,30.6,7145.8,58407.3,0.0,0.3,0.0,3.16,0.46,0.14,0.1,67.11,38.37
1788428389.115,6.52,ndvi_acquire_gee,1,278.6,278.6,0.0,31.6,7131.9,58421.1,0.0,0.3,0.0,13.29,0.46,0.15,0.1,67.11,38.37
1788428389.617,7.03,ndvi_acquire_gee,1,278.6,278.6,0.0,30.2,7107.4,58445.7,0.0,0.31,0.0,13.33,0.47,0.15,0.1,67.11,38.37
1788428390.118,7.53,ndvi_acquire_gee,1,278.6,278.6,0.0,30.3,7261.9,58291.1,0.0,0.31,0.0,13.85,0.47,0.15,0.1,67.11,38.37
1788428390.619,8.03,ndvi_acquire_gee,1,279.0,279.0,2.0,30.2,7134.8,58418.3,0.0,0.31,0.0,13.85,0.48,0.16,0.1,67.11,38.37
1788428391.12,8.53,ndvi_acquire_gee,1,279.0,279.0,0.0,29.9,7323.3,58229.8,0.0,0.31,0.0,14.24,0.48,0.16,0.1,67.11,38.37
1788428391.621,9.03,ndvi_acquire_gee,1,279.0,279.0,0.0,29.7,7067.8,58485.2,0.0,0.31,0.0,14.24,0.48,0.16,0.1,67.11,38.37
1788428392.123,9.53,ndvi_acquire_gee,1,279.0,279.0,2.0,37.3,7200.1,58352.9,0.0,0.31,0.0,15.13,0.48,0.16,0.1,67.11,38.37
1788428392.624,10.03,ndvi_acquire_gee,1,279.0,279.0,0.0,29.2,7193.7,58359.3,0.0,0.31,0.0,15.13,0.48,0.16,0.1,67.11,38.37
1788428393.125,10.53,ndvi_acquire_gee,1,279.0,279.0,0.0,31.3,7171.1,58381.9,0.0,0.31,0.0,15.42,0.48,0.16,0.1,67.11,38.37
1788428393.626,11.04,ndvi_acquire_gee,1,279.2,279.2,0.0,31.8,7181.4,58371.6,0.0,0.31,0.0,15.49,0.49,0.26,0.1,67.11,38.37
1788428394.127,11.54,ndvi_acquire_gee,1,279.2,279.2,0.0,32.6,7311.2,58241.8,0.0,0.31,0.0,25.27,0.49,0.26,0.1,67.11,38.37
1788428394.629,12.04,ndvi_acquire_gee,1,279.2,279.2,2.0,31.1,7429.5,58123.6,0.0,0.31,0.0,25.27,0.49,0.26,0.1,67.11,38.37
1788428395.13,12.54,ndvi_acquire_gee,1,279.2,279.2,0.0,30.8,7299.0,58254.1,0.0,0.31,0.0,25.65,0.49,0.26,0.1,67.11,38.37
1788428395.631,13.04,ndvi_acquire_gee,1,279.2,279.2,0.0,28.6,7264.7,58288.4,0.0,0.31,0.0,25.67,0.49,0.26,0.1,67.11,38.37
1788428396.133,13.54,ndvi_acquire_gee,1,279.2,279.2,0.0,30.6,7141.5,58411.5,0.0,0.31,0.0,26.38,0.5,0.27,0.1,67.11,38.37
1788428396.634,14.04,ndvi_acquire_gee,1,279.2,279.2,2.0,32.5,7143.5,58409.6,0.0,0.31,0.0,27.42,0.5,0.27,0.1,67.11,38.37
1788428397.136,14.55,ndvi_acquire_gee,1,279.2,279.2,0.0,31.3,7136.8,58416.2,0.0,0.31,0.0,27.43,0.5,0.27,0.1,67.11,38.37
1788428397.637,15.05,ndvi_acquire_gee,1,279.2,279.2,0.0,31.5,7221.0,58332.0,0.0,0.31,0.0,27.47,0.5,0.27,0.1,67.11,38.37
1788428398.139,15.55,ndvi_acquire_gee,1,279.2,279.2,0.0,28.5,7199.0,58354.1,0.0,0.31,0.0,28.11,0.5,0.27,0.1,67.11,38.37
1788428398.64,16.05,ndvi_acquire_gee,1,279.2,279.2,0.0,32.3,7192.5,58360.5,0.0,0.31,0.0,28.58,0.51,0.27,0.1,67.11,38.37
1788428399.141,16.55,ndvi_acquire_gee,1,279.2,279.2,0.0,32.5,7193.2,58359.8,0.0,0.31,0.0,28.58,0.51,0.27,0.1,67.11,38.37
1788428399.643,17.05,ndvi_acquire_gee,1,279.2,279.2,0.0,33.2,7097.6,58455.4,0.0,0.31,0.0,28.63,0.51,0.27,0.1,67.11,38.37
1788428400.144,17.55,ndvi_acquire_gee,1,279.2,279.2,0.0,31.2,7185.4,58367.6,0.0,0.31,0.0,29.13,0.51,0.27,0.1,67.11,38.37
1788428400.645,18.05,ndvi_acquire_gee,1,279.2,279.2,2.0,31.1,7274.2,58278.8,0.0,0.31,0.0,30.42,0.51,0.27,0.1,67.11,38.37
1788428401.146,18.56,ndvi_acquire_gee,1,279.2,279.2,0.0,30.3,7228.1,58324.9,0.0,0.31,0.0,30.42,0.52,0.28,0.1,67.11,38.37
1788428401.648,19.06,ndvi_acquire_gee,1,279.3,279.3,0.0,32.0,7252.9,58300.1,0.0,0.31,0.0,30.43,0.52,0.28,0.1,67.11,38.37
1788428402.149,19.56,ndvi_acquire_gee,1,279.3,279.3,0.0,29.5,7127.2,58425.9,0.0,0.31,0.0,31.02,0.52,0.28,0.1,67.11,38.37
1788428402.65,20.06,ndvi_acquire_gee,1,279.3,279.3,0.0,32.0,7201.8,58351.2,0.0,0.31,0.0,31.02,0.52,0.28,0.1,67.11,38.37
1788428403.151,20.56,ndvi_acquire_gee,1,279.3,279.3,2.0,31.5,7153.6,58399.4,0.0,0.31,0.0,31.45,0.52,0.28,0.1,67.11,38.37
1788428403.653,21.06,ndvi_acquire_gee,1,279.3,279.3,0.0,32.4,7273.1,58279.9,0.0,0.31,0.0,31.45,0.52,0.28,0.1,67.11,38.37
1788428404.154,21.56,ndvi_acquire_gee,1,279.3,279.3,2.0,29.7,7156.1,58397.0,0.0,0.31,0.0,32.12,0.53,0.38,0.1,67.11,38.37
1788428404.655,22.07,ndvi_acquire_gee,1,279.3,279.3,0.0,31.5,7352.7,58200.3,0.0,0.31,0.0,33.07,0.53,0.38,0.1,67.11,38.37
1788428405.157,22.57,ndvi_acquire_gee,1,279.3,279.3,0.0,30.1,7423.0,58130.1,0.0,0.31,0.0,33.07,0.53,0.38,0.1,67.11,38.37
1788428405.658,23.07,ndvi_acquire_gee,1,279.3,279.3,0.0,35.2,7570.1,57983.0,0.0,0.31,0.0,33.08,0.53,0.38,0.1,67.11,38.37
1788428406.16,23.57,ndvi_acquire_gee,1,279.3,279.3,0.0,27.0,7629.1,57923.9,0.0,0.31,0.0,33.58,0.53,0.38,0.1,67.11,38.37
1788428406.661,24.07,ndvi_acquire_gee,1,279.3,279.3,0.0,33.0,7569.7,57983.4,0.0,0.31,0.0,33.6,0.54,0.38,0.1,67.11,38.37
1788428407.162,24.57,ndvi_acquire_gee,1,279.3,279.3,0.0,32.0,7637.4,57915.6,0.0,0.31,0.0,34.13,0.54,0.39,0.1,67.11,38.37
1788428407.663,25.07,ndvi_acquire_gee,1,279.3,279.3,0.0,33.3,7618.4,57934.6,0.0,0.31,0.0,34.13,0.54,0.39,0.1,67.11,38.37
1788428408.165,25.57,ndvi_acquire_gee,1,279.3,279.3,2.0,30.0,7619.2,57933.8,0.0,0.31,0.0,34.88,0.54,0.39,0.1,67.11,38.37
1788428408.666,26.08,ndvi_acquire_gee,1,279.3,279.3,0.0,30.0,7500.6,58052.5,0.0,0.31,0.0,35.06,0.54,0.39,0.1,67.11,38.37
1788428409.167,26.58,ndvi_acquire_gee,1,279.3,279.3,0.0,30.7,7415.8,58137.2,0.0,0.31,0.0,35.13,0.55,0.39,0.1,67.11,38.37
1788428409.668,27.08,ndvi_acquire_gee,1,279.3,279.3,0.0,30.8,7437.2,58115.8,0.0,0.31,0.0,35.13,0.55,0.39,0.1,67.11,38.37
1788428410.17,27.58,ndvi_acquire_gee,1,279.3,279.3,0.0,33.7,7472.5,58080.5,0.0,0.31,0.0,35.67,0.55,0.4,0.1,67.11,38.37
1788428410.671,28.08,ndvi_acquire_gee,1,279.3,279.3,0.0,30.2,7332.0,58221.1,0.0,0.31,0.0,35.78,0.55,0.4,0.1,67.11,38.37
1788428411.172,28.58,ndvi_acquire_gee,1,279.3,279.3,0.0,33.4,7280.8,58272.3,0.0,0.31,0.0,36.05,0.55,0.4,0.1,67.11,38.37
1788428411.673,29.08,ndvi_acquire_gee,1,279.3,279.3,2.0,30.3,7082.5,58470.6,0.0,0.31,0.0,36.05,0.55,0.4,0.1,67.11,38.37
1788428412.175,29.58,ndvi_acquire_gee,1,279.3,279.3,0.0,34.6,7119.0,58434.1,0.0,0.31,0.0,36.4,0.56,0.4,0.1,67.11,38.37
1788428412.676,30.09,ndvi_acquire_gee,1,279.3,279.3,0.0,29.6,7080.6,58472.4,0.0,0.31,0.0,36.46,0.56,0.4,0.1,67.11,38.37
1788428413.177,30.59,ndvi_acquire_gee,1,279.3,279.3,0.0,31.3,7132.1,58421.0,0.0,0.31,0.0,36.62,0.56,0.4,0.1,67.11,38.37
1788428413.678,31.09,ndvi_acquire_gee,1,279.3,279.3,0.0,29.6,7191.7,58361.3,0.0,0.31,0.0,36.62,0.56,0.4,0.1,67.11,38.37
1788428414.179,31.59,ndvi_acquire_gee,1,279.3,279.3,0.0,33.5,7241.1,58311.9,0.0,0.31,0.0,45.88,0.56,0.4,0.1,67.11,38.37
1788428414.681,32.09,ndvi_acquire_gee,1,279.3,279.3,0.0,28.6,7247.0,58306.0,0.0,0.32,0.0,45.88,0.57,0.5,0.1,67.11,38.37
