t_epoch,elapsed_s,stage,n_procs,rss_tree_mb,rss_max_proc_mb,cpu_tree_pct,cpu_system_pct,mem_system_used_mb,mem_system_available_mb,tree_read_mb,tree_write_mb,sys_read_mb,sys_write_mb,net_recv_mb,net_sent_mb,outdir_mb,fs_used_gb,fs_free_gb
1788505431.47,0.0,init,1,202.6,202.6,0.0,0.0,6959.8,58654.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,68.08,37.39
1788505431.976,0.51,static_acquire_stac,1,233.2,233.2,158.0,16.2,6765.0,58848.8,0.0,0.01,0.0,0.05,0.01,0.01,55.0,68.08,37.39
1788505432.8,1.33,static_acquire_stac,1,250.7,250.7,25.5,6.0,6781.5,58832.3,0.0,0.01,0.0,0.14,0.02,0.01,55.0,68.08,37.39
1788505433.301,1.83,static_acquire_stac,1,250.7,250.7,0.0,1.3,6750.3,58863.5,0.0,0.01,0.0,0.14,0.03,0.02,55.0,68.08,37.39
1788505433.802,2.33,static_acquire_stac,1,251.7,251.7,2.0,3.5,6739.5,58874.4,0.0,0.01,0.0,0.14,0.05,0.02,55.0,68.08,37.39
1788505434.305,2.84,static_acquire_stac,1,276.7,276.7,33.8,12.1,6716.2,58897.6,0.0,0.01,0.0,0.14,0.05,0.03,55.0,68.08,37.39
1788505434.808,3.34,static_acquire_stac,1,314.5,314.5,63.6,9.5,6747.1,58866.8,0.0,0.01,0.0,0.14,0.06,0.04,55.0,68.08,37.39
1788505435.309,3.84,static_acquire_stac,1,314.9,314.9,2.0,3.5,6723.3,58890.6,0.0,0.01,0.0,0.14,0.08,0.04,55.0,68.08,37.39
1788505435.811,4.34,static_acquire_stac,1,334.7,334.7,16.0,5.6,6723.5,58890.3,0.0,0.01,0.0,0.14,0.19,0.05,55.0,68.08,37.39
1788505436.312,4.84,static_acquire_stac,1,345.1,345.1,8.0,4.5,6701.3,58912.5,0.0,0.01,0.0,0.14,0.39,0.06,55.0,68.08,37.39
1788505436.813,5.34,static_acquire_stac,1,345.1,345.1,4.0,2.2,6701.6,58912.3,0.0,0.01,0.0,0.14,0.43,0.16,55.0,68.08,37.39
1788505437.314,5.85,static_acquire_stac,1,345.5,345.5,0.0,1.3,6682.8,58931.0,0.0,0.01,0.0,0.16,0.55,0.17,55.0,68.08,37.39
1788505437.815,6.35,static_acquire_stac,1,350.7,350.7,4.0,2.2,6682.8,58931.0,0.0,0.01,0.0,0.2,0.59,0.17,55.0,68.08,37.39
1788505438.316,6.85,static_acquire_stac,1,350.8,350.8,2.0,2.8,6662.9,58950.9,0.0,0.01,0.0,0.22,0.6,0.18,55.0,68.08,37.39
1788505438.817,7.35,static_acquire_stac,1,364.2,364.2,31.9,7.4,6667.8,58946.1,0.0,0.01,0.0,0.22,0.62,0.19,55.0,68.08,37.39
