t_epoch,elapsed_s,stage,n_procs,rss_tree_mb,rss_max_proc_mb,cpu_tree_pct,cpu_system_pct,mem_system_used_mb,mem_system_available_mb,tree_read_mb,tree_write_mb,sys_read_mb,sys_write_mb,net_recv_mb,net_sent_mb,outdir_mb,fs_used_gb,fs_free_gb
1788505376.743,0.0,static_acquire_stac,1,202.7,202.7,0.0,0.0,5917.5,59696.1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,68.03,37.45
1788505377.251,0.51,static_acquire_stac,1,233.3,233.3,159.4,16.9,5941.2,59672.4,0.0,0.01,0.0,0.01,0.01,0.03,0.5,68.03,37.45
1788505378.087,1.34,static_acquire_stac,1,250.6,250.6,22.7,5.0,5946.4,59667.3,0.0,0.01,0.0,0.01,0.02,0.04,0.5,68.03,37.45
1788505378.588,1.85,static_acquire_stac,1,250.7,250.7,2.0,1.8,5946.5,59667.1,0.0,0.01,0.0,0.01,0.03,0.04,0.5,68.03,37.45
1788505379.089,2.35,static_acquire_stac,1,250.7,250.7,4.0,2.2,5948.6,59665.1,0.0,0.01,0.0,0.01,0.04,0.08,0.5,68.03,37.45
1788505379.59,2.85,static_acquire_stac,1,251.7,251.7,2.0,6.3,5952.5,59661.1,0.0,0.01,0.0,0.01,0.06,0.1,0.5,68.03,37.45
1788505380.091,3.35,static_acquire_stac,1,251.7,251.7,0.0,2.8,5953.6,59660.1,0.0,0.01,0.0,0.01,0.06,0.1,0.5,68.03,37.45
1788505380.593,3.85,static_acquire_stac,1,294.1,294.1,79.8,13.9,5976.2,59637.5,0.0,0.01,0.0,0.01,0.07,0.1,0.5,68.03,37.45
1788505381.16,4.42,static_acquire_stac,1,320.1,320.1,26.4,5.7,5995.2,59618.4,0.0,0.01,0.0,0.03,0.08,0.11,0.5,68.03,37.45
1788505381.661,4.92,static_acquire_stac,1,320.6,320.6,4.0,3.7,5996.0,59617.6,0.0,0.01,0.0,0.17,0.13,0.13,0.5,68.03,37.45
1788505382.163,5.42,static_acquire_stac,1,346.6,346.6,27.9,7.4,6013.4,59600.3,0.0,0.01,0.0,0.19,0.4,0.13,0.5,68.03,37.45
1788505382.664,5.92,static_acquire_stac,1,355.7,355.7,6.0,3.9,6027.4,59586.3,0.0,0.01,0.0,2.21,0.91,0.14,0.5,68.03,37.45
1788505383.165,6.42,static_acquire_stac,1,365.8,365.8,8.0,4.9,6040.7,59573.0,0.0,0.01,0.0,2.21,1.02,0.15,0.5,68.03,37.45
1788505383.666,6.92,static_acquire_stac,1,365.8,365.8,2.0,4.0,6035.7,59577.9,0.0,0.01,0.0,2.24,1.03,0.15,0.5,68.03,37.45
1788505384.167,7.43,static_acquire_stac,1,380.5,380.5,55.9,9.7,6044.0,59569.6,0.0,0.01,0.0,2.35,1.05,0.16,0.5,68.03,37.45
1788505384.668,7.93,static_acquire_stac,1,381.0,381.0,2.0,3.0,6044.7,59568.9,0.0,0.01,0.0,2.48,1.09,0.18,0.5,68.03,37.45
1788505385.17,8.43,static_acquire_stac,1,395.9,395.9,27.9,6.1,6061.4,59552.2,0.0,0.01,0.0,2.48,1.3,0.18,0.5,68.03,37.45
1788505385.671,8.93,static_acquire_stac,1,418.7,418.7,12.0,4.7,6080.4,59533.3,0.0,0.01,0.0,2.48,1.68,0.29,0.5,68.03,37.45
1788505386.172,9.43,static_acquire_stac,1,424.1,424.1,10.0,3.3,6090.9,59522.7,0.0,0.01,0.0,2.49,1.82,0.32,0.5,68.03,37.45
1788505386.673,9.93,static_acquire_stac,1,523.3,523.3,6.0,4.7,6209.6,59404.0,0.0,0.01,0.0,2.49,1.82,0.32,0.5,68.03,37.45
1788505387.176,10.43,static_acquire_stac,1,560.7,560.7,71.5,11.2,6230.7,59382.9,0.0,0.01,0.0,2.55,2.06,0.46,0.5,68.03,37.45
