t_epoch,elapsed_s,stage,n_procs,rss_tree_mb,rss_max_proc_mb,cpu_tree_pct,cpu_system_pct,mem_system_used_mb,mem_system_available_mb,tree_read_mb,tree_write_mb,sys_read_mb,sys_write_mb,net_recv_mb,net_sent_mb,outdir_mb,fs_used_gb,fs_free_gb
1788505595.388,0.0,static_acquire_stac,1,202.6,202.6,0.0,0.0,5888.1,59725.8,0.0,0.0,0.0,0.0,0.0,0.0,0.5,68.03,37.45
1788505595.896,0.51,static_acquire_stac,1,239.4,239.4,153.6,17.0,5914.0,59699.8,0.0,0.01,0.0,0.01,0.02,0.01,0.5,68.03,37.45
1788505596.726,1.34,static_acquire_stac,1,276.1,276.1,49.3,10.0,5945.5,59668.4,0.0,0.01,0.0,0.01,0.05,0.03,0.5,68.03,37.45
1788505597.24,1.85,static_acquire_stac,1,382.4,382.4,21.4,5.7,6061.5,59552.3,0.0,0.01,0.0,1.91,0.07,0.03,0.5,68.03,37.45
1788505597.741,2.35,static_acquire_stac,1,385.4,385.4,6.0,3.4,6061.8,59552.1,0.0,0.01,0.0,1.96,0.11,0.05,0.5,68.03,37.45
1788505598.243,2.86,static_acquire_stac,1,433.8,433.8,57.8,12.8,6086.7,59527.2,0.0,0.01,0.0,1.98,0.23,0.14,0.5,68.03,37.45
1788505598.751,3.36,static_acquire_stac,1,509.5,509.5,88.5,15.0,6159.2,59454.6,0.0,0.01,0.0,2.06,0.62,0.19,0.5,68.03,37.45
1788505599.253,3.87,static_acquire_stac,1,589.9,589.9,143.7,22.8,6241.0,59372.8,0.0,0.01,0.0,2.06,14.28,0.27,0.5,68.03,37.45
1788505599.754,4.37,static_acquire_stac,1,633.5,633.5,153.6,24.1,6276.4,59337.4,0.0,0.01,0.0,2.1,30.95,0.36,0.5,68.03,37.45
1788505600.255,4.87,static_acquire_stac,1,641.1,641.1,193.5,29.5,6301.8,59312.0,0.0,0.01,0.0,2.8,39.66,0.52,0.5,68.03,37.45
1788505601.742,6.36,static_acquire_stac,1,692.2,692.2,130.4,21.3,6416.4,59197.3,0.0,13.62,0.0,2.81,51.65,0.62,14.1,68.04,37.43
1788505603.022,7.64,static_acquire_stac,1,816.2,816.2,111.7,17.4,6549.1,59064.8,0.0,27.2,0.0,2.81,51.65,0.63,14.1,68.06,37.42
