t_epoch,elapsed_s,stage,n_procs,rss_tree_mb,rss_max_proc_mb,cpu_tree_pct,cpu_system_pct,mem_system_used_mb,mem_system_available_mb,tree_read_mb,tree_write_mb,sys_read_mb,sys_write_mb,net_recv_mb,net_sent_mb,outdir_mb,fs_used_gb,fs_free_gb
1788505639.22,0.0,static_acquire_stac,1,202.3,202.3,0.0,0.0,7316.0,58297.9,0.0,0.0,0.0,0.0,0.0,0.0,57.1,68.09,37.39
1788505639.723,0.5,static_classify,6,441.3,267.7,254.1,37.5,7093.1,58520.8,0.0,0.15,0.0,0.02,0.02,0.01,57.1,68.09,37.39
1788505640.231,1.01,static_classify,6,991.4,267.7,528.3,70.0,7261.6,58352.3,0.0,0.15,0.0,0.02,0.02,0.01,57.1,68.09,37.39
1788505640.732,1.51,static_classify,6,1950.4,661.4,492.7,65.7,7398.4,58214.8,0.0,0.15,0.0,0.25,0.02,0.01,57.1,68.09,37.39
1788505641.234,2.01,static_classify,6,4203.4,1039.4,398.6,53.3,9525.9,56087.9,0.0,0.15,0.0,0.31,0.03,0.11,57.1,68.09,37.39
1788505641.736,2.52,static_classify,6,5478.8,1363.0,398.6,52.0,10655.5,54958.3,0.0,0.15,0.0,0.32,0.03,0.12,57.1,68.09,37.39
1788505642.237,3.02,static_classify,6,6726.2,1672.3,396.7,52.7,11921.3,53692.6,0.0,0.15,0.0,0.32,0.03,0.12,57.1,68.09,37.39
1788505642.739,3.52,static_classify,6,8027.1,1994.2,406.6,53.3,13233.6,52380.3,0.0,0.15,0.0,0.32,0.03,0.12,57.1,68.09,37.39
1788505643.241,4.02,static_classify,6,9247.6,2300.8,400.7,52.4,14465.9,51147.9,0.0,0.15,0.0,0.44,0.03,0.12,57.1,68.09,37.39
1788505643.742,4.52,static_classify,6,10351.1,2589.6,384.8,53.7,15549.2,50064.6,0.0,0.15,0.0,0.45,0.04,0.12,57.1,68.09,37.39
1788505644.244,5.02,static_classify,6,11667.9,2917.2,396.7,53.0,16866.5,48747.3,0.0,0.15,0.0,0.45,0.04,0.13,57.2,68.09,37.39
1788505644.745,5.53,static_classify,6,12968.5,3242.0,398.6,52.2,18177.3,47436.5,0.0,0.15,0.0,0.45,0.04,0.13,57.2,68.09,37.39
1788505645.247,6.03,static_classify,6,14216.8,3550.6,398.6,53.3,19411.9,46201.9,0.0,0.15,0.0,0.45,0.04,0.13,57.2,68.09,37.39
1788505645.749,6.53,static_classify,6,15411.3,3848.4,404.7,52.9,20600.3,45013.5,0.0,0.15,0.0,0.45,0.04,0.13,57.2,68.09,37.39
1788505646.25,7.03,static_classify,6,16483.7,4143.8,400.7,53.2,21688.1,43925.8,0.0,0.15,0.0,0.45,0.04,0.13,57.2,68.09,37.39
1788505646.752,7.53,static_classify,6,17682.9,4457.2,398.8,52.0,22889.4,42724.5,0.0,0.15,0.0,0.45,0.04,0.13,57.2,68.09,37.39
1788505647.254,8.03,static_classify,6,18898.1,4758.8,398.7,52.4,24121.7,41492.1,0.0,0.15,0.0,0.52,0.05,0.13,57.2,68.09,37.39
