t_epoch,elapsed_s,stage,n_procs,rss_tree_mb,rss_max_proc_mb,cpu_tree_pct,cpu_system_pct,mem_system_used_mb,mem_system_available_mb,tree_read_mb,tree_write_mb,sys_read_mb,sys_write_mb,net_recv_mb,net_sent_mb,outdir_mb,fs_used_gb,fs_free_gb
1788440367.178,0.0,ndvi_acquire_stac,1,201.9,201.9,0.0,0.0,8215.3,57336.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.79,37.69
1788440367.685,0.51,ndvi_acquire_stac,1,229.2,229.2,161.5,54.8,8356.2,57195.3,0.0,0.0,0.0,0.08,0.0,0.0,0.0,67.8,37.68
1788440368.509,1.33,ndvi_acquire_stac,1,262.1,262.1,32.8,45.8,8428.3,57123.4,0.0,0.0,0.0,0.24,4.51,0.06,0.0,67.8,37.68
1788440369.017,1.84,ndvi_acquire_stac,1,270.1,270.1,25.6,48.5,8510.6,57040.9,0.0,0.0,0.0,0.39,4.52,0.06,0.0,67.8,37.67
1788440369.519,2.34,ndvi_acquire_stac,1,287.8,287.8,17.9,43.9,8538.7,57013.0,0.0,0.0,0.0,0.39,4.55,0.08,0.0,67.81,37.67
1788440370.134,2.96,ndvi_acquire_stac,1,395.3,395.3,108.9,54.7,8675.0,56876.7,0.0,0.0,0.0,0.39,4.7,0.13,0.0,67.81,37.66
1788440370.671,3.49,ndvi_acquire_stac,1,466.5,466.5,111.8,58.7,8572.9,56978.7,0.0,0.0,0.0,0.45,11.29,0.18,0.0,67.82,37.66
1788440371.175,4.0,ndvi_acquire_stac,1,535.7,535.7,118.9,53.1,8759.6,56792.0,0.0,0.0,0.0,0.46,11.37,0.21,0.0,67.82,37.65
1788440371.676,4.5,ndvi_acquire_stac,1,597.4,597.4,117.8,57.1,8803.1,56748.3,0.0,0.0,0.0,0.49,18.24,0.24,0.0,67.83,37.65
1788440372.426,5.25,ndvi_acquire_stac,1,606.1,606.1,72.0,86.5,8848.6,56703.1,0.0,0.0,0.0,0.49,18.27,0.26,0.0,67.83,37.65
1788440372.94,5.76,ndvi_acquire_stac,1,619.6,619.6,58.4,94.3,8997.5,56554.2,0.0,0.0,0.0,0.49,25.16,0.34,0.0,67.83,37.65
1788440373.444,6.27,ndvi_acquire_stac,1,664.0,664.0,136.9,94.1,11051.6,54500.1,0.0,0.0,0.0,0.66,25.17,0.34,0.0,67.83,37.65
1788440373.952,6.77,ndvi_acquire_stac,1,664.7,664.7,88.6,86.4,11956.4,53595.2,0.0,0.0,0.0,0.72,32.09,0.4,0.0,67.83,37.65
1788440374.733,7.56,ndvi_acquire_stac,1,756.5,756.5,125.4,87.5,13982.2,51569.5,0.0,0.0,0.0,0.82,32.16,0.46,0.0,67.83,37.65
1788440375.472,8.29,ndvi_acquire_stac,1,829.6,829.6,79.9,89.8,15142.8,50408.9,0.0,0.0,0.0,0.82,32.27,0.5,0.0,67.83,37.65
1788440375.993,8.82,ndvi_acquire_stac,1,930.2,930.2,199.6,96.4,16088.9,49462.8,0.0,0.0,0.0,0.91,47.85,0.7,0.0,67.83,37.65
1788440376.822,9.64,ndvi_acquire_stac,1,1014.1,1014.1,179.7,91.5,18119.4,47432.3,0.0,0.0,0.0,0.91,47.85,0.71,0.0,67.83,37.65
1788440377.583,10.41,ndvi_acquire_stac,1,966.2,966.2,77.5,90.2,19076.8,46474.9,0.0,0.0,0.0,0.91,47.89,0.74,0.0,67.83,37.65
1788440378.134,10.96,ndvi_acquire_stac,1,1018.9,1018.9,186.9,96.7,20050.8,45500.9,0.0,0.0,0.0,1.1,63.62,0.89,0.0,67.83,37.65
1788440378.635,11.46,ndvi_acquire_stac,1,1072.0,1072.0,149.5,92.1,21065.7,44486.0,0.0,0.0,0.0,1.26,63.62,0.89,0.0,67.83,37.65
1788440379.404,12.23,ndvi_acquire_stac,1,1090.7,1090.7,92.3,87.7,22549.5,43002.2,0.0,0.0,0.0,1.29,63.69,0.93,0.0,67.83,37.65
1788440379.917,12.74,ndvi_acquire_stac,1,1170.6,1170.6,109.3,91.3,23509.8,42041.8,0.0,0.0,0.0,1.29,67.96,0.98,0.0,67.83,37.65
1788440380.419,13.24,ndvi_acquire_stac,1,1174.4,1174.4,123.4,91.3,24368.3,41183.4,0.0,0.0,0.0,1.29,67.97,0.99,0.0,67.83,37.65
