t_epoch,elapsed_s,stage,n_procs,rss_tree_mb,rss_max_proc_mb,cpu_tree_pct,cpu_system_pct,mem_system_used_mb,mem_system_available_mb,tree_read_mb,tree_write_mb,sys_read_mb,sys_write_mb,net_recv_mb,net_sent_mb,outdir_mb,fs_used_gb,fs_free_gb
1788440182.32,0.0,static_acquire_stac,1,203.0,203.0,0.0,0.0,7448.3,58103.1,0.0,0.0,0.0,0.0,0.0,0.0,0.3,67.76,37.71
1788440182.827,0.51,static_acquire_stac,1,223.2,223.2,161.4,42.7,7336.0,58215.5,0.0,0.01,0.0,0.25,0.0,0.0,0.3,67.76,37.71
1788440183.591,1.27,static_acquire_stac,1,241.5,241.5,14.4,35.9,7370.8,58180.7,0.0,0.01,0.0,0.3,0.03,0.02,0.3,67.76,37.71
1788440184.092,1.77,static_acquire_stac,1,242.5,242.5,2.0,39.2,7445.2,58106.3,0.0,0.01,0.0,0.3,0.05,0.02,0.3,67.76,37.71
1788440184.594,2.27,static_acquire_stac,1,242.5,242.5,0.0,40.5,7442.0,58109.5,0.0,0.01,0.0,0.3,0.09,0.39,0.3,67.76,37.71
1788440185.097,2.78,static_acquire_stac,1,292.6,292.6,97.3,41.2,7394.5,58157.0,0.0,0.01,0.0,0.36,0.09,0.4,0.3,67.76,37.71
1788440185.603,3.28,static_acquire_stac,1,306.5,306.5,9.9,34.6,7492.7,58058.8,0.0,0.01,0.0,0.36,0.1,0.5,0.3,67.76,37.71
1788440186.104,3.78,static_acquire_stac,1,307.2,307.2,4.0,38.1,7500.5,58051.0,0.0,0.01,0.0,0.57,0.19,0.6,0.3,67.76,37.71
1788440186.605,4.29,static_acquire_stac,1,329.1,329.1,12.0,33.5,7310.2,58241.3,0.0,0.01,0.0,0.67,0.45,0.6,0.3,67.76,37.71
1788440187.106,4.79,static_acquire_stac,1,340.3,340.3,8.0,38.4,7350.2,58201.3,0.0,0.01,0.0,0.68,0.71,0.79,0.3,67.76,37.71
1788440187.609,5.29,static_acquire_stac,1,418.6,418.6,13.9,28.7,7473.1,58078.4,0.0,0.01,0.0,0.79,0.79,0.81,0.3,67.76,37.71
1788440188.11,5.79,static_acquire_stac,1,504.0,504.0,91.7,42.4,7593.8,57957.7,0.0,0.01,0.0,0.79,0.95,0.9,0.3,67.76,37.71
1788440188.624,6.3,static_acquire_stac,1,547.7,547.7,114.9,42.0,7572.9,57978.6,0.0,0.01,0.0,0.79,1.08,0.98,0.3,67.76,37.71
1788440189.125,6.81,static_acquire_stac,1,579.1,579.1,115.7,41.8,7681.8,57869.7,0.0,0.01,0.0,0.79,1.35,1.0,0.3,67.76,37.71
