t_epoch,elapsed_s,stage,n_procs,rss_tree_mb,rss_max_proc_mb,cpu_tree_pct,cpu_system_pct,mem_system_used_mb,mem_system_available_mb,tree_read_mb,tree_write_mb,sys_read_mb,sys_write_mb,net_recv_mb,net_sent_mb,outdir_mb,fs_used_gb,fs_free_gb
1788440203.951,0.0,static_acquire_stac,1,202.8,202.8,0.0,0.0,8034.1,57517.4,0.0,0.0,0.0,0.0,0.0,0.0,0.7,67.76,37.71
1788440204.46,0.51,static_acquire_stac,1,223.3,223.3,167.3,43.1,8003.3,57548.2,0.0,0.01,0.0,0.21,0.0,0.0,0.7,67.76,37.71
1788440205.201,1.25,static_acquire_stac,1,241.3,241.3,13.5,31.4,7951.6,57599.8,0.0,0.01,0.0,0.21,0.01,0.01,0.7,67.76,37.71
1788440205.703,1.75,static_acquire_stac,1,241.3,241.3,0.0,35.1,7956.9,57594.6,0.0,0.01,0.0,0.24,0.02,0.01,0.7,67.76,37.71
1788440206.205,2.25,static_acquire_stac,1,242.4,242.4,2.0,32.1,7936.6,57614.9,0.0,0.01,0.0,0.24,0.03,0.02,0.7,67.76,37.71
1788440206.718,2.77,static_acquire_stac,1,259.2,259.2,31.1,34.8,7771.9,57779.6,0.0,0.01,0.0,0.24,0.03,0.02,0.7,67.76,37.71
1788440207.228,3.28,static_acquire_stac,1,304.5,304.5,84.3,39.6,7810.6,57740.9,0.0,0.01,0.0,0.24,0.05,0.24,0.7,67.76,37.71
1788440207.729,3.78,static_acquire_stac,1,309.5,309.5,14.0,33.7,7781.6,57769.9,0.0,0.01,0.0,0.45,0.09,0.25,0.7,67.76,37.71
1788440208.231,4.28,static_acquire_stac,1,322.9,322.9,4.0,29.2,7684.3,57867.1,0.0,0.01,0.0,0.45,0.23,0.26,0.7,67.76,37.71
1788440208.732,4.78,static_acquire_stac,1,338.0,338.0,14.0,34.2,7732.9,57818.6,0.0,0.01,0.0,0.45,0.58,0.27,0.7,67.76,37.71
1788440209.233,5.28,static_acquire_stac,1,352.8,352.8,10.0,31.3,7798.9,57752.5,0.0,0.01,0.0,0.45,1.05,0.28,0.7,67.76,37.71
1788440209.734,5.78,static_acquire_stac,1,357.8,357.8,6.0,31.8,7630.1,57921.4,0.0,0.01,0.0,0.45,1.17,0.29,0.7,67.76,37.71
1788440210.235,6.28,static_acquire_stac,1,382.7,382.7,8.0,31.3,7630.1,57921.4,0.0,0.01,0.0,0.58,1.19,0.3,0.7,67.76,37.71
1788440210.736,6.79,static_acquire_stac,1,479.7,479.7,49.9,36.4,7639.7,57911.8,0.0,0.01,0.0,0.61,1.3,0.37,0.7,67.76,37.71
1788440211.237,7.29,static_acquire_stac,1,489.2,489.2,22.0,31.1,7602.1,57949.4,0.0,0.01,0.0,0.61,1.36,0.43,0.7,67.76,37.71
1788440211.738,7.79,static_acquire_stac,1,491.0,491.0,4.0,31.1,7592.9,57958.6,0.0,0.01,0.0,0.65,1.83,0.45,0.7,67.76,37.71
1788440212.239,8.29,static_acquire_stac,1,493.4,493.4,2.0,29.4,7499.4,58052.1,0.0,0.01,0.0,0.65,4.14,0.46,0.7,67.76,37.71
1788440212.74,8.79,static_acquire_stac,1,500.1,500.1,4.0,31.4,7545.7,58005.8,0.0,0.01,0.0,1.5,10.94,0.5,0.7,67.76,37.71
1788440213.242,9.29,static_acquire_stac,1,517.2,517.2,2.0,29.9,7586.8,57964.7,0.0,0.01,0.0,1.5,30.23,0.62,0.7,67.76,37.71
1788440213.743,9.79,static_acquire_stac,1,535.9,535.9,21.9,32.9,7620.4,57931.1,0.0,0.01,0.0,1.56,58.87,17.59,0.7,67.76,37.71
1788440214.244,10.29,static_acquire_stac,1,573.4,573.4,33.9,33.4,7377.1,58174.4,0.0,0.01,0.0,1.57,99.95,50.09,0.7,67.76,37.71
1788440214.749,10.8,static_acquire_stac,1,591.2,591.2,33.7,27.9,7251.9,58299.5,0.0,0.01,0.0,1.57,143.08,82.24,0.7,67.76,37.71
1788440215.256,11.3,static_acquire_stac,1,589.1,589.1,55.3,35.6,7223.5,58327.9,0.0,0.01,0.0,1.57,185.67,136.51,0.7,67.76,37.71
1788440215.757,11.81,static_acquire_stac,1,643.0,643.0,26.0,32.1,7329.5,58222.0,0.0,0.01,0.0,1.59,227.4,162.01,0.7,67.76,37.71
1788440216.258,12.31,static_acquire_stac,1,684.8,684.8,69.8,42.2,7443.7,58107.8,0.0,0.01,0.0,1.69,261.06,229.93,0.7,67.76,37.71
1788440216.759,12.81,static_acquire_stac,1,720.9,720.9,21.9,30.1,7432.3,58119.2,0.0,0.01,0.0,1.72,301.57,246.98,0.7,67.76,37.71
1788440217.261,13.31,static_acquire_stac,1,738.9,738.9,39.9,37.2,7495.6,58055.9,0.0,0.01,0.0,1.72,336.85,289.37,0.7,67.76,37.71
1788440217.764,13.81,static_acquire_stac,1,747.2,747.2,37.8,38.7,7556.0,57995.5,0.0,0.01,0.0,1.79,374.22,323.39,0.7,67.76,37.71
1788440218.266,14.32,static_acquire_stac,1,747.2,747.2,31.8,34.6,7494.7,58056.8,0.0,0.01,0.0,1.97,414.49,358.46,0.7,67.76,37.71
1788440218.769,14.82,static_acquire_stac,1,748.4,748.4,33.8,34.6,7549.3,58002.2,0.0,0.01,0.0,1.97,452.41,399.9,0.7,67.76,37.71
