t_epoch,elapsed_s,stage,n_procs,rss_tree_mb,rss_max_proc_mb,cpu_tree_pct,cpu_system_pct,mem_system_used_mb,mem_system_available_mb,tree_read_mb,tree_write_mb,sys_read_mb,sys_write_mb,net_recv_mb,net_sent_mb,outdir_mb,fs_used_gb,fs_free_gb
1788440273.394,0.0,static_acquire_stac,1,202.7,202.7,0.0,0.0,7362.8,58188.8,0.0,0.0,0.0,0.0,0.0,0.0,0.7,67.77,37.71
1788440273.911,0.52,static_acquire_stac,1,221.1,221.1,123.8,40.5,7259.9,58291.8,0.0,0.01,0.0,0.14,0.0,0.0,0.7,67.77,37.71
1788440274.641,1.25,static_acquire_stac,1,241.1,241.1,31.5,28.1,7181.4,58370.3,0.0,0.01,0.0,0.14,0.01,0.01,0.7,67.77,37.71
1788440275.142,1.75,static_acquire_stac,1,241.2,241.2,2.0,29.4,7272.8,58278.8,0.0,0.01,0.0,0.14,0.02,0.01,0.7,67.77,37.71
1788440275.643,2.25,static_acquire_stac,1,242.3,242.3,2.0,33.0,7341.9,58209.8,0.0,0.01,0.0,0.16,0.03,0.09,0.7,67.77,37.71
1788440276.145,2.75,static_acquire_stac,1,245.5,245.5,6.0,27.6,7382.2,58169.5,0.0,0.01,0.0,0.48,0.04,0.1,0.7,67.77,37.71
1788440276.648,3.25,static_acquire_stac,1,306.3,306.3,101.4,33.9,7285.0,58266.7,0.0,0.01,0.0,0.48,0.05,0.1,0.7,67.77,37.71
1788440277.149,3.76,static_acquire_stac,1,311.6,311.6,10.0,18.7,7231.0,58320.7,0.0,0.01,0.0,0.48,0.05,0.11,0.7,67.77,37.71
1788440277.65,4.26,static_acquire_stac,1,312.5,312.5,4.0,29.9,7211.4,58340.3,0.0,0.01,0.0,0.72,0.25,0.12,0.7,67.77,37.71
1788440278.151,4.76,static_acquire_stac,1,343.1,343.1,22.0,39.7,7228.4,58323.2,0.0,0.01,0.05,0.72,0.65,0.14,0.7,67.77,37.71
1788440278.652,5.26,static_acquire_stac,1,361.5,361.5,16.0,49.0,7285.9,58265.8,0.0,0.01,0.05,2.59,1.2,0.15,0.7,67.77,37.71
1788440279.154,5.76,static_acquire_stac,1,360.7,360.7,10.0,42.7,7369.7,58181.9,0.0,0.01,0.07,2.59,1.34,0.39,0.7,67.77,37.71
1788440279.655,6.26,static_acquire_stac,1,435.1,435.1,6.0,30.8,7241.7,58309.9,0.0,0.01,0.07,2.7,1.35,0.4,0.7,67.77,37.71
1788440280.159,6.77,static_acquire_stac,1,529.7,529.7,115.1,41.0,7359.5,58192.2,0.0,0.01,0.07,2.7,1.56,0.51,0.7,67.77,37.71
1788440280.675,7.28,static_acquire_stac,1,572.7,572.7,106.5,42.6,7297.9,58253.7,0.0,0.01,0.07,2.71,1.73,0.62,0.7,67.77,37.71
1788440281.204,7.81,static_acquire_stac,1,598.1,598.1,119.1,45.5,7415.2,58136.5,0.0,0.01,0.07,2.71,2.08,0.64,0.7,67.77,37.71
1788440281.707,8.31,static_acquire_stac,1,687.3,687.3,127.4,44.6,7587.8,57963.9,0.0,0.01,0.07,2.71,13.64,0.73,0.7,67.77,37.71
1788440282.208,8.81,static_acquire_stac,1,712.0,712.0,115.7,44.7,7497.3,58054.3,0.0,0.01,0.07,2.71,21.5,0.78,0.7,67.77,37.71
1788440282.709,9.32,static_acquire_stac,1,734.6,734.6,209.4,53.4,7644.9,57906.7,0.0,0.01,0.07,2.73,32.17,0.86,0.7,67.77,37.71
1788440283.22,9.83,static_acquire_stac,1,726.0,726.0,209.6,48.6,7694.3,57857.3,0.0,0.01,0.07,3.01,39.74,0.91,0.7,67.77,37.71
1788440283.866,10.47,static_acquire_stac,1,761.5,761.5,88.2,42.4,7669.2,57882.4,0.0,0.01,0.07,3.1,47.8,1.0,0.7,67.77,37.71
1788440285.244,11.85,static_acquire_stac,1,817.5,817.5,141.6,46.8,7870.7,57680.9,0.0,13.62,0.07,3.3,53.59,1.04,0.7,67.78,37.7
1788440286.553,13.16,static_acquire_stac,1,936.0,936.0,113.0,43.9,8081.1,57470.6,0.0,27.14,0.07,3.38,53.6,1.04,0.7,67.79,37.68
1788440287.805,14.41,static_acquire_stac,1,930.2,930.2,198.1,37.1,7947.4,57604.2,0.0,54.27,0.07,3.83,53.6,1.05,0.7,67.82,37.65
1788440289.526,16.13,static_classify,6,1229.2,832.2,101.1,73.4,8179.0,57372.7,0.0,54.46,0.07,3.95,53.6,1.05,0.7,67.82,37.65
1788440290.042,16.65,static_classify,6,1587.0,832.2,495.3,87.0,8198.5,57353.2,0.0,54.46,0.07,3.95,53.6,1.05,0.7,67.82,37.65
1788440290.548,17.15,static_classify,6,1870.8,832.2,441.2,82.2,8231.0,57320.6,0.0,54.47,0.07,3.98,53.6,1.05,0.7,67.82,37.65
1788440291.05,17.66,static_classify,6,2204.9,832.2,195.3,49.8,8205.3,57346.3,0.0,54.47,0.07,4.05,53.6,1.05,0.7,67.82,37.65
1788440291.551,18.16,static_classify,6,2204.9,832.2,97.7,44.8,8440.2,57111.4,0.0,54.47,0.07,4.09,53.6,1.05,0.7,67.82,37.65
1788440292.053,18.66,static_classify,6,2204.9,832.2,99.7,43.9,8616.8,56934.8,0.0,54.47,0.07,4.18,53.61,1.05,0.7,67.82,37.65
1788440292.555,19.16,static_classify,6,2204.9,832.2,101.6,45.6,8682.5,56869.2,0.0,54.47,0.07,4.18,53.61,1.05,55.1,67.82,37.65
1788440293.057,19.66,static_classify,6,1848.6,843.7,215.1,52.9,8249.0,57302.7,0.0,54.6,0.07,4.27,53.61,1.06,55.1,67.82,37.65
1788440293.643,20.25,vector_stage,2,849.6,836.7,92.1,42.6,7707.0,57844.6,0.0,54.84,0.07,4.27,53.61,1.06,55.1,67.77,37.71
1788440294.164,20.77,vector_stage,2,851.4,838.5,99.9,40.6,7763.7,57787.9,0.0,60.64,0.07,4.4,53.61,1.06,55.1,67.77,37.71
