t_epoch,elapsed_s,stage,n_procs,rss_tree_mb,rss_max_proc_mb,cpu_tree_pct,cpu_system_pct,mem_system_used_mb,mem_system_available_mb,tree_read_mb,tree_write_mb,sys_read_mb,sys_write_mb,net_recv_mb,net_sent_mb,outdir_mb,fs_used_gb,fs_free_gb
1788440295.171,0.0,static_acquire_stac,1,203.0,203.0,0.0,0.0,7159.1,58392.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,67.77,37.71
1788440295.679,0.51,static_acquire_stac,1,223.4,223.4,157.5,43.8,7097.8,58453.9,0.0,0.01,0.0,0.25,0.0,0.02,0.5,67.77,37.71
1788440296.414,1.24,static_acquire_stac,1,241.4,241.4,13.6,30.6,7139.1,58412.5,0.0,0.01,0.0,0.25,0.01,0.03,0.5,67.77,37.71
1788440296.916,1.75,static_acquire_stac,1,242.4,242.4,2.0,28.9,7251.7,58300.0,0.0,0.01,0.0,0.37,0.03,0.03,0.5,67.77,37.71
1788440297.417,2.25,static_acquire_stac,1,242.4,242.4,0.0,46.2,7378.6,58173.0,0.0,0.01,0.0,0.38,0.03,0.03,0.5,67.77,37.71
1788440297.919,2.75,static_acquire_stac,1,285.3,285.3,83.7,44.0,7457.6,58093.9,0.0,0.01,0.0,5.48,0.03,0.03,0.5,67.77,37.71
1788440298.448,3.28,static_acquire_stac,1,304.2,304.2,22.7,43.6,7609.8,57941.7,0.0,0.01,0.0,5.73,0.04,0.04,0.5,67.77,37.71
1788440298.949,3.78,static_acquire_stac,1,304.8,304.8,0.0,32.6,7270.4,58281.3,0.0,0.01,0.0,5.73,0.1,0.28,0.5,67.77,37.71
1788440299.451,4.28,static_acquire_stac,1,323.3,323.3,10.0,31.9,7394.8,58156.9,0.0,0.01,0.0,6.85,0.23,0.29,0.5,67.77,37.71
1788440299.952,4.78,static_acquire_stac,1,333.6,333.6,8.0,31.4,7294.8,58256.8,0.0,0.01,0.0,6.85,0.37,0.29,0.5,67.77,37.71
1788440300.453,5.28,static_acquire_stac,1,333.9,333.9,2.0,31.8,7365.6,58186.0,0.0,0.01,0.0,6.86,0.52,0.29,0.5,67.77,37.71
1788440300.955,5.78,static_acquire_stac,1,333.5,333.5,6.0,29.2,7311.0,58240.7,0.0,0.01,0.0,6.98,0.57,0.3,0.5,67.77,37.71
1788440301.456,6.29,static_acquire_stac,1,337.0,337.0,4.0,32.6,7428.9,58122.7,0.0,0.01,0.0,6.98,0.58,0.31,0.5,67.77,37.71
1788440301.958,6.79,static_acquire_stac,1,340.7,340.7,14.0,31.6,7346.0,58205.7,0.0,0.01,0.0,7.05,0.6,0.31,0.5,67.77,37.71
1788440302.466,7.3,static_acquire_stac,1,342.9,342.9,7.9,34.8,7410.8,58140.8,0.0,0.01,0.0,7.07,0.61,0.32,0.5,67.77,37.71
1788440302.968,7.8,static_acquire_stac,1,344.6,344.6,2.0,29.0,7283.1,58268.5,0.0,0.01,0.0,7.07,0.73,0.33,0.5,67.77,37.71
1788440303.469,8.3,static_acquire_stac,1,344.6,344.6,2.0,31.9,7373.6,58178.1,0.0,0.01,0.0,7.16,1.06,0.33,0.5,67.77,37.71
1788440303.97,8.8,static_acquire_stac,1,345.1,345.1,0.0,34.2,7512.4,58039.2,0.0,0.01,0.0,7.16,2.79,0.36,0.5,67.77,37.71
1788440304.471,9.3,static_acquire_stac,1,348.8,348.8,2.0,27.5,7635.5,57916.2,0.0,0.01,0.0,10.97,7.26,0.41,0.5,67.77,37.71
1788440304.972,9.8,static_acquire_stac,1,359.1,359.1,18.0,33.6,7493.6,58058.0,0.0,0.01,0.0,10.97,10.7,0.45,0.5,67.78,37.7
