t_epoch,elapsed_s,stage,n_procs,rss_tree_mb,rss_max_proc_mb,cpu_tree_pct,cpu_system_pct,mem_system_used_mb,mem_system_available_mb,tree_read_mb,tree_write_mb,sys_read_mb,sys_write_mb,net_recv_mb,net_sent_mb,outdir_mb,fs_used_gb,fs_free_gb
1788440561.432,0.0,init,1,202.4,202.4,0.0,0.0,7877.0,57674.7,0.0,0.0,0.0,0.0,0.3,0.0,0.3,67.77,37.7
1788440561.938,0.51,static_acquire_stac,1,220.8,220.8,140.3,47.0,7652.9,57898.8,0.0,0.01,0.0,0.0,64.86,25.81,0.3,67.77,37.7
1788440562.7,1.27,static_acquire_stac,1,240.9,240.9,31.5,44.5,7814.6,57737.1,0.0,0.01,0.0,0.08,107.1,96.59,0.3,67.77,37.7
1788440563.201,1.77,static_acquire_stac,1,240.9,240.9,2.0,35.2,7724.2,57827.5,0.0,0.01,0.0,0.08,149.63,153.15,0.3,67.77,37.7
1788440563.702,2.27,static_acquire_stac,1,241.9,241.9,6.0,35.5,7938.3,57613.4,0.0,0.01,0.0,0.08,188.66,178.67,0.3,67.77,37.7
1788440564.204,2.77,static_acquire_stac,1,241.9,241.9,0.0,31.0,8016.4,57535.3,0.0,0.01,0.0,0.08,230.89,212.72,0.3,67.77,37.7
1788440564.705,3.27,static_acquire_stac,1,241.9,241.9,0.0,41.9,8087.5,57464.2,0.0,0.01,0.0,0.08,271.93,280.68,0.3,67.77,37.7
1788440565.206,3.77,static_acquire_stac,1,241.9,241.9,0.0,31.8,7838.2,57713.5,0.0,0.01,0.0,0.28,313.63,297.77,0.3,67.77,37.7
1788440565.707,4.28,static_acquire_stac,1,241.9,241.9,0.0,37.3,7880.8,57670.9,0.0,0.01,0.0,0.8,350.11,340.19,0.3,67.77,37.7
1788440566.208,4.78,static_acquire_stac,1,241.9,241.9,0.0,36.6,7756.3,57795.4,0.0,0.01,0.0,1.18,395.29,382.71,0.3,67.77,37.7
1788440566.71,5.28,static_acquire_stac,1,241.9,241.9,0.0,37.6,7713.7,57838.0,0.0,0.01,0.0,1.18,437.23,421.3,0.3,67.77,37.7
1788440567.211,5.78,static_acquire_stac,1,241.9,241.9,0.0,35.7,7816.5,57735.2,0.0,0.01,0.0,1.18,474.14,476.56,0.3,67.77,37.7
1788440567.712,6.28,static_acquire_stac,1,241.9,241.9,0.0,35.5,7928.9,57622.8,0.0,0.01,0.0,1.18,507.61,515.66,0.3,67.77,37.7
1788440568.213,6.78,static_acquire_stac,1,241.9,241.9,2.0,35.3,7895.4,57656.3,0.0,0.01,0.0,1.18,541.19,554.54,0.3,67.77,37.7
1788440568.714,7.28,static_acquire_stac,1,241.9,241.9,0.0,34.0,8061.9,57489.8,0.0,0.01,0.0,1.18,571.44,577.28,0.3,67.77,37.7
1788440569.216,7.78,static_acquire_stac,1,241.9,241.9,0.0,35.1,8227.7,57324.0,0.0,0.01,0.0,1.18,596.39,613.36,0.3,67.77,37.7
1788440569.717,8.29,static_acquire_stac,1,241.9,241.9,0.0,35.2,8252.8,57298.9,0.0,0.01,0.0,1.18,621.38,656.04,0.3,67.77,37.7
1788440570.219,8.79,static_acquire_stac,1,241.9,241.9,0.0,31.5,8387.3,57164.4,0.0,0.01,0.0,1.18,642.41,656.09,0.3,67.77,37.7
1788440570.72,9.29,static_acquire_stac,1,241.9,241.9,0.0,32.1,7984.5,57567.2,0.0,0.01,0.0,1.52,666.52,681.58,0.3,67.77,37.7
1788440571.222,9.79,static_acquire_stac,1,241.9,241.9,0.0,34.2,8143.2,57408.5,0.0,0.01,0.0,1.57,687.61,718.61,0.3,67.77,37.7
1788440571.723,10.29,static_acquire_stac,1,241.9,241.9,0.0,28.8,7884.7,57667.0,0.0,0.01,0.0,1.62,706.59,741.64,0.3,67.77,37.7
1788440572.224,10.79,static_acquire_stac,1,241.9,241.9,0.0,24.4,7899.1,57652.6,0.0,0.02,0.0,1.72,726.37,750.21,0.3,67.77,37.7
1788440572.726,11.29,static_acquire_stac,1,242.0,242.0,0.0,40.1,7892.1,57659.6,0.0,0.02,0.0,1.85,740.0,773.23,0.3,67.77,37.7
1788440573.227,11.79,static_acquire_stac,1,242.0,242.0,0.0,36.8,7843.5,57708.2,0.0,0.02,0.0,1.85,760.66,781.8,0.3,67.77,37.7
1788440573.728,12.3,static_acquire_stac,1,242.0,242.0,0.0,32.4,7884.1,57667.6,0.0,0.02,0.0,1.96,772.62,790.34,0.3,67.77,37.7
1788440574.229,12.8,static_acquire_stac,1,242.0,242.0,0.0,38.8,7732.6,57819.1,0.0,0.02,0.0,2.85,788.96,807.35,0.3,67.78,37.7
1788440574.731,13.3,static_acquire_stac,1,242.0,242.0,0.0,42.7,7792.4,57759.2,0.0,0.02,0.0,2.95,798.27,807.35,0.3,67.78,37.69
1788440575.232,13.8,static_acquire_stac,1,242.0,242.0,0.0,39.4,7775.9,57775.7,0.0,0.02,0.0,2.95,804.66,807.35,0.3,67.79,37.69
1788440575.733,14.3,static_acquire_stac,1,242.0,242.0,4.0,41.0,7908.8,57642.9,0.0,0.02,0.0,2.99,812.85,833.02,0.3,67.79,37.69
1788440576.235,14.8,static_acquire_stac,1,242.0,242.0,0.0,35.7,7729.9,57821.8,0.0,0.02,0.0,3.1,822.44,851.92,0.3,67.79,37.69
1788440576.736,15.3,static_acquire_stac,1,271.0,271.0,35.9,41.0,7850.4,57701.3,0.0,0.02,0.0,3.28,837.47,852.0,0.3,67.79,37.69
1788440577.248,15.82,static_acquire_stac,1,302.6,302.6,60.5,49.8,7888.9,57662.8,0.0,0.02,0.0,3.28,843.35,869.57,0.3,67.79,37.69
1788440577.75,16.32,static_acquire_stac,1,306.7,306.7,8.0,38.8,7954.2,57597.5,0.0,0.02,0.0,3.28,853.43,878.1,0.3,67.79,37.69
1788440578.251,16.82,static_acquire_stac,1,328.4,328.4,14.0,42.3,8084.9,57466.8,0.0,0.02,0.0,3.28,857.02,878.11,0.3,67.79,37.68
1788440578.752,17.32,static_acquire_stac,1,332.7,332.7,4.0,35.1,8148.6,57403.1,0.0,0.02,0.0,3.38,859.08,878.12,0.3,67.8,37.68
1788440579.253,17.82,static_acquire_stac,1,343.6,343.6,10.0,32.1,8229.0,57322.7,0.0,0.02,0.0,3.38,860.28,884.12,0.3,67.8,37.68
1788440579.754,18.32,static_acquire_stac,1,343.6,343.6,0.0,28.1,8240.8,57310.9,0.0,0.02,0.0,3.49,865.94,885.89,0.3,67.8,37.68
1788440580.256,18.82,static_acquire_stac,1,349.5,349.5,16.0,39.0,8381.7,57170.0,0.0,0.02,0.0,3.49,869.56,892.67,0.3,67.8,37.67
1788440580.757,19.33,static_acquire_stac,1,349.6,349.6,0.0,40.9,8406.4,57145.3,0.0,0.02,0.0,3.6,870.57,892.67,0.3,67.81,37.67
1788440581.258,19.83,static_acquire_stac,1,355.4,355.4,6.0,42.5,8289.3,57262.7,0.0,0.02,0.0,3.6,870.7,892.68,0.3,67.81,37.66
1788440581.759,20.33,static_acquire_stac,1,361.2,361.2,4.0,38.0,8443.3,57108.4,0.0,0.02,0.0,3.73,870.96,895.74,0.3,67.81,37.66
1788440582.261,20.83,static_acquire_stac,1,366.6,366.6,6.0,34.5,8457.8,57093.9,0.0,0.02,0.0,3.73,875.39,895.78,0.3,67.81,37.66
1788440582.762,21.33,static_acquire_stac,1,367.9,367.9,4.0,38.7,8488.6,57063.1,0.0,0.02,0.0,3.86,880.43,895.83,0.3,67.81,37.66
1788440583.263,21.83,static_acquire_stac,1,367.9,367.9,2.0,40.6,8437.4,57114.3,0.0,0.02,0.0,3.86,883.54,895.85,0.3,67.81,37.66
1788440583.765,22.33,static_acquire_stac,1,379.7,379.7,37.9,46.8,8537.5,57014.1,0.0,0.02,0.0,4.13,883.56,895.86,0.3,67.82,37.66
1788440584.266,22.83,static_acquire_stac,1,385.1,385.1,12.0,43.8,8601.6,56950.1,0.0,0.02,0.0,4.19,883.57,895.87,0.3,67.82,37.65
1788440584.767,23.34,static_acquire_stac,1,386.0,386.0,4.0,46.9,8730.7,56821.0,0.0,0.02,0.0,4.58,883.8,895.88,0.3,67.83,37.65
1788440585.269,23.84,static_acquire_stac,1,412.0,412.0,29.9,87.4,8755.6,56796.1,0.0,0.02,0.0,4.58,884.15,895.9,0.3,67.83,37.65
1788440585.77,24.34,static_acquire_stac,1,439.4,439.4,12.0,90.4,8799.6,56752.1,0.0,0.02,0.0,4.63,884.61,895.9,0.3,67.83,37.65
1788440586.271,24.84,static_acquire_stac,1,446.3,446.3,8.0,77.8,9318.6,56233.1,0.0,0.02,0.0,4.63,884.67,895.91,0.3,67.83,37.65
1788440586.773,25.34,static_acquire_stac,1,446.3,446.3,2.0,79.9,10077.7,55474.0,0.0,0.02,0.0,4.87,884.67,895.91,0.3,67.83,37.65
1788440587.274,25.84,static_acquire_stac,1,446.6,446.6,17.9,62.5,10248.1,55303.6,0.0,0.02,0.0,4.87,884.68,895.92,0.3,67.83,37.65
1788440587.776,26.34,static_acquire_stac,1,446.6,446.6,4.0,44.6,10337.5,55214.2,0.0,0.02,0.0,4.87,884.71,895.93,0.3,67.83,37.65
1788440588.277,26.85,static_acquire_stac,1,446.7,446.7,8.0,36.9,10310.7,55241.0,0.0,0.02,0.0,4.96,884.82,895.93,0.3,67.83,37.65
1788440588.778,27.35,static_acquire_stac,1,452.5,452.5,14.0,46.6,10408.2,55143.4,0.0,0.02,0.0,5.06,885.03,895.95,0.3,67.83,37.65
1788440589.279,27.85,static_acquire_stac,1,452.5,452.5,2.0,42.6,10446.1,55105.6,0.0,0.02,0.0,5.06,885.1,895.95,0.3,67.83,37.65
1788440589.781,28.35,static_acquire_stac,1,447.8,447.8,10.0,44.7,10568.0,54983.7,0.0,0.02,0.0,5.37,885.17,895.97,0.3,67.83,37.65
1788440590.282,28.85,static_acquire_stac,1,502.6,502.6,4.0,41.7,10593.6,54958.0,0.0,0.02,0.0,5.37,885.19,895.98,0.3,67.83,37.65
