t_epoch,elapsed_s,stage,n_procs,rss_tree_mb,rss_max_proc_mb,cpu_tree_pct,cpu_system_pct,mem_system_used_mb,mem_system_available_mb,tree_read_mb,tree_write_mb,sys_read_mb,sys_write_mb,net_recv_mb,net_sent_mb,outdir_mb,fs_used_gb,fs_free_gb
1788441057.581,0.0,init,1,202.0,202.0,0.0,0.0,7229.6,58322.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.78,37.69
1788441058.088,0.51,ndvi_acquire_stac,1,225.7,225.7,132.4,44.3,7301.8,58249.9,0.0,0.0,0.0,1.97,0.0,0.0,0.0,67.78,37.69
1788441058.824,1.24,ndvi_acquire_stac,1,257.9,257.9,61.1,36.9,7258.3,58293.4,0.0,0.0,0.0,2.26,0.04,0.02,0.0,67.78,37.69
1788441059.328,1.75,ndvi_acquire_stac,1,271.9,271.9,27.8,33.8,7199.3,58352.4,0.0,0.0,0.0,2.26,0.05,0.03,0.0,67.78,37.69
1788441059.829,2.25,ndvi_acquire_stac,1,274.9,274.9,8.0,30.7,7135.7,58416.0,0.0,0.0,0.0,2.35,0.09,0.05,0.0,67.78,37.69
1788441060.33,2.75,ndvi_acquire_stac,1,296.9,296.9,39.9,35.4,7191.8,58359.9,0.0,0.0,0.0,2.36,0.1,0.05,0.0,67.78,37.69
1788441060.917,3.34,ndvi_acquire_stac,1,438.4,438.4,155.0,40.1,7152.2,58399.5,0.0,0.0,0.0,2.47,0.22,0.13,0.0,67.78,37.69
1788441061.665,4.08,ndvi_acquire_stac,1,441.1,441.1,100.3,42.1,7162.0,58389.7,0.0,0.0,0.0,2.6,0.23,0.13,0.0,67.78,37.69
1788441062.199,4.62,ndvi_acquire_stac,1,535.0,535.0,133.0,41.6,7184.2,58367.5,0.0,0.0,0.0,2.72,12.26,0.38,0.0,67.78,37.69
1788441062.703,5.12,ndvi_acquire_stac,1,730.8,730.8,204.4,52.2,7448.0,58103.7,0.0,0.0,0.0,2.72,12.27,0.39,0.0,67.78,37.69
1788441063.235,5.65,ndvi_acquire_stac,1,593.2,593.2,133.3,45.0,7557.0,57994.7,0.0,0.0,0.0,2.79,12.27,0.39,0.0,67.78,37.69
1788441063.757,6.18,ndvi_acquire_stac,1,672.8,672.8,113.2,42.6,7467.7,58084.1,0.0,0.0,0.0,2.79,19.55,0.48,0.0,67.78,37.69
1788441064.258,6.68,ndvi_acquire_stac,1,902.1,902.1,217.5,57.3,7712.7,57839.0,0.0,0.0,0.0,2.88,24.71,0.51,0.0,67.78,37.69
1788441064.774,7.19,ndvi_acquire_stac,1,914.8,914.8,108.5,42.5,7886.4,57665.3,0.0,0.0,0.0,3.07,24.72,0.53,0.0,67.78,37.69
1788441065.306,7.73,ndvi_acquire_stac,1,922.1,922.1,142.7,45.1,7868.2,57683.5,0.0,0.0,0.0,3.07,24.72,0.54,0.0,67.78,37.69
1788441065.818,8.24,ndvi_acquire_stac,1,933.2,933.2,99.7,43.1,7919.3,57632.4,0.0,0.0,0.0,3.43,29.91,0.65,0.0,67.78,37.69
1788441066.319,8.74,ndvi_acquire_stac,1,1166.2,1166.2,273.3,58.4,7861.4,57690.3,0.0,0.0,0.0,3.43,36.97,0.69,0.0,67.78,37.69
1788441066.891,9.31,ndvi_acquire_stac,1,1061.9,1061.9,104.8,44.5,7967.4,57584.3,0.0,0.0,0.0,3.43,36.98,0.7,0.0,67.78,37.69
1788441067.41,9.83,ndvi_acquire_stac,1,1111.2,1111.2,198.6,50.6,8120.8,57430.9,0.0,0.0,0.0,3.56,47.75,0.81,0.0,67.78,37.69
1788441067.956,10.37,ndvi_acquire_stac,1,1144.9,1144.9,164.9,52.5,8367.6,57184.1,0.0,0.0,0.0,3.79,47.87,0.9,0.0,67.78,37.69
1788441068.535,10.95,ndvi_acquire_stac,1,1207.6,1207.6,189.9,41.7,8455.2,57096.5,0.0,0.0,0.0,3.99,47.88,0.93,0.0,67.78,37.69
1788441069.562,11.98,ndvi_acquire_stac,1,1303.8,1303.8,86.6,44.3,8420.9,57130.8,0.0,0.0,0.0,3.99,47.88,0.93,0.0,67.78,37.69
1788441070.21,12.63,ndvi_acquire_stac,1,1306.8,1306.8,168.2,53.3,8552.8,56998.9,0.0,0.0,0.0,3.99,47.89,0.94,0.0,67.78,37.69
1788441070.749,13.17,ndvi_acquire_stac,1,1308.7,1308.7,192.9,47.6,8367.7,57184.0,0.0,0.0,0.0,4.23,47.89,0.94,0.0,67.78,37.69
1788441071.284,13.7,ndvi_acquire_stac,1,1329.9,1329.9,164.6,47.3,8618.7,56933.1,0.0,0.0,0.0,4.28,49.25,1.07,0.0,67.78,37.69
1788441071.939,14.36,ndvi_acquire_stac,1,1584.5,1584.5,279.6,86.6,8623.8,56927.9,0.0,0.0,0.0,4.3,70.22,1.31,0.0,67.78,37.69
1788441072.447,14.87,ndvi_acquire_stac,1,1868.6,1868.6,615.7,66.4,9113.7,56438.0,0.0,0.0,0.0,4.59,74.03,1.43,0.0,67.78,37.69
1788441074.135,16.55,ndvi_acquire_stac,1,1770.1,1770.1,80.0,55.9,9132.1,56419.6,0.0,0.0,0.0,4.77,74.03,1.43,0.0,67.78,37.69
1788441075.148,17.57,ndvi_acquire_stac,1,1770.1,1770.1,107.6,64.9,9175.1,56376.6,0.0,0.0,0.0,4.77,75.13,1.48,0.0,67.78,37.69
1788441075.7,18.12,ndvi_acquire_stac,1,1770.6,1770.6,232.1,72.7,9195.6,56356.2,0.0,0.0,0.0,4.77,80.2,1.52,0.0,67.78,37.69
1788441076.242,18.66,ndvi_acquire_stac,1,1817.4,1817.4,311.9,78.7,9006.2,56545.5,0.0,0.0,0.0,4.78,94.07,1.74,0.0,67.78,37.69
1788441076.749,19.17,ndvi_acquire_stac,1,2045.5,2045.5,358.8,86.1,9259.0,56292.7,0.0,0.0,0.0,4.86,98.75,1.8,0.0,67.78,37.69
1788441077.96,20.38,ndvi_acquire_stac,1,1925.1,1925.1,123.9,58.0,9340.8,56210.9,0.0,0.01,0.0,5.44,103.11,1.88,0.0,67.78,37.69
1788441078.489,20.91,ndvi_acquire_stac,1,1994.8,1994.8,196.6,55.0,9281.6,56270.2,0.0,0.01,0.0,5.69,103.11,1.88,0.0,67.78,37.69
1788441079.662,22.08,ndvi_acquire_stac,1,1950.7,1950.7,95.4,60.5,9302.7,56249.1,0.0,0.01,0.0,7.57,103.18,1.91,0.0,67.78,37.69
1788441080.17,22.59,ndvi_acquire_stac,1,2065.1,2065.1,258.1,60.9,9389.3,56162.4,0.0,0.01,0.0,7.6,110.61,1.99,0.0,67.78,37.69
1788441081.331,23.75,ndvi_acquire_stac,1,2075.7,2075.7,137.8,55.1,9490.6,56061.2,0.0,0.01,0.0,7.83,110.62,2.0,0.0,67.78,37.69
1788441082.361,24.78,ndvi_acquire_stac,1,2053.7,2053.7,97.1,61.4,9380.3,56171.4,0.0,0.01,0.0,7.88,114.01,2.2,0.0,67.78,37.69
1788441082.899,25.32,ndvi_acquire_stac,1,2165.7,2165.7,163.6,49.3,9425.4,56126.3,0.0,0.01,0.0,7.9,114.02,2.48,0.0,67.78,37.69
1788441083.632,26.05,ndvi_acquire_stac,1,2109.1,2109.1,139.0,42.5,9386.4,56165.3,0.0,0.02,0.0,7.95,114.04,2.52,0.0,67.78,37.69
