t_epoch,elapsed_s,stage,n_procs,rss_tree_mb,rss_max_proc_mb,cpu_tree_pct,cpu_system_pct,mem_system_used_mb,mem_system_available_mb,tree_read_mb,tree_write_mb,sys_read_mb,sys_write_mb,net_recv_mb,net_sent_mb,outdir_mb,fs_used_gb,fs_free_gb
1788441159.334,0.0,init,1,203.2,203.2,0.0,0.0,10652.9,54898.8,0.0,0.0,0.0,0.0,0.02,0.0,0.3,67.78,37.69
1788441159.84,0.51,static_acquire_stac,1,224.4,224.4,106.6,70.0,10476.1,55075.6,0.0,0.01,0.0,0.32,6.01,0.02,0.3,67.78,37.69
1788441160.536,1.2,static_acquire_stac,1,251.4,251.4,66.1,56.4,10641.5,54910.2,0.0,0.01,0.0,0.67,6.04,0.04,0.3,67.78,37.69
1788441161.037,1.7,static_acquire_stac,1,372.1,372.1,75.8,53.9,10525.9,55025.8,0.0,0.01,0.0,0.67,6.05,0.04,0.3,67.78,37.69
1788441161.538,2.21,static_acquire_stac,1,375.1,375.1,10.0,51.2,10512.3,55039.4,0.0,0.01,0.0,0.67,6.28,0.11,0.3,67.78,37.69
1788441162.041,2.71,static_acquire_stac,1,431.2,431.2,75.6,54.2,10374.3,55177.4,0.0,0.01,0.0,0.67,9.22,0.18,0.3,67.78,37.69
1788441162.544,3.21,static_acquire_stac,1,522.7,522.7,119.4,60.2,10432.4,55119.3,0.0,0.01,0.0,0.67,9.67,0.27,0.3,67.78,37.69
1788441163.051,3.72,static_acquire_stac,1,560.8,560.8,116.2,69.0,10506.3,55045.4,0.0,0.01,0.0,0.67,15.0,0.45,0.3,67.78,37.69
1788441163.558,4.23,static_acquire_stac,1,647.4,647.4,169.8,92.1,10723.3,54828.4,0.0,0.01,0.0,0.8,47.63,0.63,0.3,67.78,37.69
1788441164.059,4.73,static_acquire_stac,1,649.3,649.3,135.7,67.6,10820.2,54731.6,0.0,0.01,0.0,0.88,56.57,0.84,0.3,67.78,37.69
1788441164.574,5.24,static_acquire_stac,1,670.8,670.8,219.3,65.2,10906.9,54644.8,0.0,0.01,0.0,1.01,61.41,0.88,0.3,67.78,37.69
1788441165.107,5.77,static_acquire_stac,1,674.0,674.0,123.8,59.6,11055.0,54496.7,0.0,0.01,0.0,1.2,67.1,0.98,0.3,67.78,37.69
1788441165.8,6.47,static_acquire_stac,1,676.6,676.6,130.0,58.9,11106.2,54445.5,0.0,0.02,0.0,1.24,67.65,1.01,0.3,67.78,37.69
1788441166.307,6.97,static_acquire_stac,1,750.7,750.7,179.4,68.5,11160.5,54391.6,0.0,0.02,0.0,1.37,79.22,1.09,0.3,67.78,37.69
1788441167.774,8.44,static_acquire_stac,1,757.0,757.0,115.2,75.5,11210.9,54340.8,0.0,13.49,0.0,1.62,113.38,1.47,0.3,67.8,37.68
1788441170.538,11.21,static_acquire_stac,1,868.6,868.6,106.0,60.4,11173.0,54378.7,0.0,40.43,0.0,14.79,119.3,1.59,0.3,67.83,37.65
1788441172.161,12.83,static_acquire_stac,1,889.7,889.7,93.7,74.1,11287.7,54263.9,0.0,53.94,0.0,14.86,152.75,2.0,0.3,67.84,37.64
1788441172.674,13.34,static_classify,6,1102.0,689.2,321.8,79.7,11039.7,54512.0,0.0,54.04,0.0,14.86,152.75,2.0,0.3,67.84,37.64
1788441173.176,13.84,static_classify,6,1415.8,689.2,446.4,95.5,11093.8,54457.9,0.0,54.04,0.0,14.86,152.76,2.0,0.3,67.84,37.64
1788441173.681,14.35,static_classify,6,1575.8,689.2,439.1,93.5,11260.5,54291.2,0.0,54.04,0.0,14.97,152.76,2.03,0.3,67.84,37.64
1788441174.183,14.85,static_classify,6,2512.2,689.2,380.7,90.1,11901.7,53650.0,0.0,54.04,0.0,15.97,152.78,2.14,54.3,67.84,37.64
1788441174.685,15.35,static_classify,6,2920.8,689.2,414.4,88.8,12387.9,53163.7,0.0,54.04,0.0,16.11,152.79,2.14,54.3,67.84,37.64
1788441175.186,15.85,static_classify,6,2951.6,690.5,165.5,64.0,12483.3,53068.4,0.0,54.04,0.0,16.18,154.39,2.16,54.3,67.84,37.64
1788441175.688,16.36,static_classify,6,2951.6,690.5,99.6,53.7,12541.6,53010.1,0.0,54.04,0.0,28.84,154.39,2.16,54.3,67.84,37.64
1788441176.19,16.86,static_classify,6,2951.6,690.5,99.7,68.7,12562.1,52989.6,0.0,54.04,0.0,28.97,160.31,2.25,54.3,67.84,37.64
1788441176.691,17.36,static_classify,6,2951.6,690.5,99.7,70.9,12605.1,52946.6,0.0,54.04,0.0,29.03,167.44,2.38,54.3,67.84,37.64
1788441177.193,17.86,static_classify,6,2951.6,690.5,101.6,81.7,12646.1,52905.5,0.0,54.04,0.0,29.14,181.9,2.49,54.3,67.84,37.64
1788441177.706,18.37,sieve,2,717.5,704.4,17.6,76.3,11203.8,54348.3,0.0,54.12,0.0,29.24,181.9,2.5,54.3,67.78,37.69
1788441178.208,18.87,vector_stage,2,727.0,713.9,99.6,62.1,11326.2,54225.5,0.0,54.2,0.0,29.24,183.1,2.51,54.3,67.78,37.69
