t_epoch,elapsed_s,stage,n_procs,rss_tree_mb,rss_max_proc_mb,cpu_tree_pct,cpu_system_pct,mem_system_used_mb,mem_system_available_mb,tree_read_mb,tree_write_mb,sys_read_mb,sys_write_mb,net_recv_mb,net_sent_mb,outdir_mb,fs_used_gb,fs_free_gb
1788440767.719,0.0,static_acquire_stac,1,202.7,202.7,0.0,0.0,7128.3,58423.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,67.78,37.7
1788440768.227,0.51,static_acquire_stac,1,228.9,228.9,149.5,41.8,7275.5,58276.2,0.0,0.01,0.0,0.3,0.0,0.0,0.5,67.78,37.7
1788440769.022,1.31,static_acquire_stac,1,258.6,258.6,37.7,38.2,7249.9,58301.8,0.0,0.01,0.0,0.39,0.05,0.02,0.5,67.78,37.7
1788440769.526,1.81,static_acquire_stac,1,371.7,371.7,31.7,33.3,7435.7,58116.0,0.0,0.01,0.0,0.41,0.05,0.03,0.5,67.78,37.7
1788440770.028,2.31,static_acquire_stac,1,374.9,374.9,8.0,31.7,7614.1,57937.6,0.0,0.01,0.0,0.41,0.1,0.05,0.5,67.78,37.7
1788440770.535,2.82,static_acquire_stac,1,410.6,410.6,73.0,34.3,7393.2,58158.5,0.0,0.01,0.0,0.41,0.3,0.18,0.5,67.78,37.7
1788440771.083,3.37,static_acquire_stac,1,486.1,486.1,100.3,41.1,7476.5,58075.2,0.0,0.01,0.0,0.41,0.3,0.19,0.5,67.78,37.7
1788440771.633,3.92,static_acquire_stac,1,542.5,542.5,114.6,43.2,7439.0,58112.7,0.0,0.01,0.0,0.41,0.72,0.25,0.5,67.78,37.7
1788440772.176,4.46,static_acquire_stac,1,620.5,620.5,127.1,41.0,7631.8,57919.9,0.0,0.01,0.0,2.26,11.67,0.34,0.5,67.78,37.7
1788440772.678,4.96,static_acquire_stac,1,637.1,637.1,117.6,40.4,7758.0,57793.7,0.0,0.01,0.0,2.26,11.75,0.38,0.5,67.78,37.7
1788440773.283,5.57,static_acquire_stac,1,670.4,670.4,155.2,39.1,7676.4,57875.3,0.0,0.01,0.0,2.51,22.74,0.55,0.5,67.78,37.7
1788440773.885,6.17,static_acquire_stac,1,699.6,699.6,159.5,37.7,7669.4,57882.3,0.0,0.01,0.0,2.58,34.24,0.63,0.5,67.78,37.7
1788440774.411,6.7,static_acquire_stac,1,705.8,705.8,140.7,39.4,7663.3,57888.4,0.0,0.01,0.0,2.58,38.65,0.68,0.5,67.78,37.7
1788440776.18,8.46,static_acquire_stac,1,747.4,747.4,121.0,35.9,7844.8,57706.8,0.0,12.85,0.0,3.02,50.78,0.76,0.5,67.79,37.69
1788440777.682,9.97,static_acquire_stac,1,873.4,873.4,111.2,43.4,7967.4,57584.3,0.0,25.65,0.0,3.1,50.78,0.76,0.5,67.8,37.67
1788440779.11,11.4,static_acquire_stac,1,908.6,908.6,200.2,43.1,8132.2,57419.4,0.0,51.29,0.0,4.24,50.79,0.79,0.5,67.83,37.65
1788440781.022,13.31,static_classify,6,1094.9,743.5,97.3,75.5,8145.9,57405.8,0.0,51.44,0.0,4.24,50.8,0.79,0.5,67.83,37.65
1788440781.543,13.83,static_classify,6,1457.0,743.5,430.0,82.4,8388.7,57163.0,0.0,51.44,0.0,4.24,50.8,0.8,0.5,67.83,37.65
1788440782.044,14.33,static_classify,6,1718.9,743.5,452.6,81.2,8495.6,57056.0,0.0,51.44,0.0,4.4,50.8,0.8,0.5,67.83,37.65
1788440782.547,14.83,static_classify,6,4188.6,894.9,398.0,73.3,10432.0,55119.7,0.0,51.44,0.0,4.4,50.8,0.8,0.5,67.83,37.65
1788440783.051,15.34,static_classify,6,5221.0,1209.3,396.8,75.7,11468.5,54083.2,0.0,51.44,0.0,4.44,50.8,0.8,51.9,67.83,37.65
1788440783.553,15.84,static_classify,6,6276.1,1504.8,396.5,77.7,12447.2,53104.5,0.0,51.44,0.0,4.44,50.81,0.9,51.9,67.83,37.65
1788440784.054,16.34,static_classify,6,7282.0,1759.6,404.9,76.2,13568.5,51983.2,0.0,51.44,0.0,4.44,50.82,0.91,51.9,67.83,37.65
1788440784.556,16.84,static_classify,6,8233.3,2016.0,376.7,78.5,14653.9,50897.8,0.0,51.44,0.0,4.44,50.82,0.91,51.9,67.83,37.65
1788440785.057,17.34,static_classify,6,9230.8,2320.5,398.8,78.3,15583.3,49968.4,0.0,51.44,0.0,4.44,50.82,0.91,51.9,67.83,37.65
1788440785.559,17.84,static_classify,6,10151.6,2572.4,398.5,76.0,16459.7,49092.0,0.0,51.44,0.0,4.44,50.82,0.92,51.9,67.83,37.65
1788440786.06,18.35,static_classify,6,11073.0,2826.1,399.0,78.5,17529.8,48021.9,0.0,51.44,0.0,4.53,50.83,0.92,51.9,67.83,37.65
1788440786.562,18.85,static_classify,6,12163.3,3100.5,398.9,75.8,18471.5,47080.2,0.0,51.44,0.13,5.02,50.83,0.92,51.9,67.83,37.65
1788440787.064,19.35,static_classify,6,13295.5,3410.9,404.6,78.3,19690.3,45861.4,0.0,51.44,0.13,5.21,50.83,0.92,51.9,67.83,37.65
1788440787.569,19.85,static_classify,6,14393.2,3705.2,396.1,77.4,20780.9,44770.8,0.0,51.44,0.13,5.21,50.83,0.92,51.9,67.83,37.65
1788440788.07,20.36,static_classify,6,15464.2,3986.7,398.7,78.3,21736.8,43814.9,0.0,51.44,0.13,5.26,50.83,0.93,51.9,67.83,37.65
1788440788.572,20.86,static_classify,6,16516.9,4287.1,400.6,76.9,22728.0,42823.7,0.0,51.45,0.13,5.28,50.83,0.93,51.9,67.83,37.65
1788440789.074,21.36,static_classify,6,17591.5,4528.9,406.7,76.9,23759.4,41792.2,0.0,51.45,0.13,5.28,50.83,0.93,51.9,67.83,37.65
1788440789.575,21.86,static_classify,6,18666.9,4767.0,394.7,75.7,24941.4,40610.3,0.0,51.45,0.13,5.28,50.84,0.93,51.9,67.83,37.65
1788440790.077,22.36,static_classify,6,19516.4,4970.3,348.8,82.2,25666.6,39885.1,0.0,51.45,0.13,5.37,50.84,0.94,51.9,67.83,37.65
1788440790.578,22.86,static_classify,6,20576.4,5256.8,398.9,77.1,26810.8,38740.8,0.0,51.45,0.13,5.37,50.84,0.94,51.9,67.83,37.65
1788440791.081,23.37,static_classify,6,21672.5,5525.1,397.7,74.5,27965.3,37586.4,0.0,51.45,0.13,5.48,50.84,0.94,51.9,67.83,37.65
1788440791.583,23.87,static_classify,6,22659.1,5744.1,402.7,77.9,28858.0,36693.7,0.0,51.45,0.13,5.48,50.84,0.94,51.9,67.83,37.65
1788440792.104,24.39,static_classify,6,23922.3,6212.5,535.5,93.3,30177.1,35374.6,0.0,51.45,0.13,5.48,50.85,0.94,51.9,67.83,37.65
1788440792.606,24.89,static_classify,6,24639.6,6294.6,462.2,82.4,30819.4,34732.3,0.0,51.45,0.13,5.48,50.85,0.94,51.9,67.83,37.65
1788440793.108,25.39,static_classify,6,25364.2,6294.6,508.2,90.8,31537.9,34013.8,0.0,51.45,0.13,5.48,50.85,0.95,51.9,67.83,37.65
1788440793.61,25.89,static_classify,6,25931.5,6294.6,504.0,91.2,32149.7,33402.0,0.0,51.45,0.13,5.61,50.85,0.95,51.9,67.83,37.65
1788440794.112,26.4,static_classify,6,25935.1,6294.9,400.0,76.8,32231.7,33320.0,0.0,51.45,0.13,5.62,50.86,1.04,51.9,67.83,37.65
1788440794.614,26.9,static_classify,6,25935.1,6294.9,406.5,79.0,32367.6,33184.1,0.0,51.45,0.13,5.62,50.86,1.05,51.9,67.83,37.65
1788440795.116,27.4,static_classify,6,24837.7,6294.9,364.6,75.0,31863.1,33688.6,0.0,51.45,0.13,5.72,50.87,1.07,51.9,67.83,37.65
1788440795.618,27.9,static_classify,6,24292.9,6294.9,306.9,72.6,31397.4,34154.3,0.0,51.45,0.13,5.72,50.87,1.07,51.9,67.83,37.65
1788440796.119,28.4,static_classify,6,23748.8,5755.2,237.4,65.5,31577.9,33973.8,0.0,51.45,0.13,5.87,50.87,1.07,51.9,67.83,37.65
1788440796.621,28.91,static_classify,6,23748.8,5755.2,99.6,43.0,31493.6,34058.1,0.0,51.45,0.13,5.87,50.87,1.07,51.9,67.83,37.65
1788440797.123,29.41,static_classify,6,23748.8,5755.2,99.6,43.8,31514.0,34037.7,0.0,51.45,0.13,5.87,50.87,1.07,51.9,67.83,37.65
