t_epoch,elapsed_s,stage,n_procs,rss_tree_mb,rss_max_proc_mb,cpu_tree_pct,cpu_system_pct,mem_system_used_mb,mem_system_available_mb,tree_read_mb,tree_write_mb,sys_read_mb,sys_write_mb,net_recv_mb,net_sent_mb,outdir_mb,fs_used_gb,fs_free_gb
1788440974.758,0.0,init,1,202.4,202.4,0.0,0.0,7107.4,58444.3,0.0,0.0,0.0,0.0,0.0,0.0,0.5,67.78,37.7
1788440975.264,0.51,static_acquire_stac,1,226.3,226.3,126.5,35.0,7024.4,58527.3,0.0,0.01,0.0,0.0,0.0,0.0,0.5,67.78,37.7
1788440975.986,1.23,static_acquire_stac,1,250.8,250.8,45.7,36.3,7057.6,58494.1,0.0,0.01,0.0,0.0,0.04,0.02,0.5,67.78,37.7
1788440976.488,1.73,static_acquire_stac,1,371.4,371.4,51.9,36.9,7154.9,58396.8,0.0,0.01,0.0,0.0,0.05,0.03,0.5,67.78,37.7
1788440976.989,2.23,static_acquire_stac,1,374.4,374.4,6.0,34.8,7090.5,58461.2,0.0,0.01,0.0,0.19,0.1,0.08,0.5,67.78,37.7
1788440977.491,2.73,static_acquire_stac,1,406.7,406.7,77.6,38.9,7153.6,58398.1,0.0,0.01,0.0,0.51,0.18,0.14,0.5,67.78,37.7
1788440977.995,3.24,static_acquire_stac,1,479.7,479.7,115.1,42.9,7413.4,58138.3,0.0,0.01,0.0,0.51,0.27,0.21,0.5,67.78,37.7
1788440978.496,3.74,static_acquire_stac,1,537.9,537.9,115.7,43.8,7564.0,57987.7,0.0,0.01,0.0,0.76,0.69,0.23,0.5,67.78,37.7
1788440979.003,4.25,static_acquire_stac,1,620.6,620.6,134.2,47.7,7565.2,57986.5,0.0,0.01,0.0,0.76,12.37,0.32,0.5,67.78,37.7
1788440979.535,4.78,static_acquire_stac,1,634.8,634.8,116.5,44.6,7586.5,57965.2,0.0,0.01,0.0,0.78,17.11,0.38,0.5,67.78,37.7
1788440980.038,5.28,static_acquire_stac,1,667.3,667.3,192.8,53.1,7640.2,57911.5,0.0,0.01,0.0,0.78,24.09,0.53,0.5,67.78,37.7
1788440980.55,5.79,static_acquire_stac,1,695.2,695.2,177.6,51.3,7771.8,57779.9,0.0,0.01,0.0,0.93,35.53,0.63,0.5,67.78,37.7
1788440981.052,6.29,static_acquire_stac,1,680.7,680.7,155.5,48.1,7612.5,57939.3,0.0,0.01,0.0,0.93,39.03,0.65,0.5,67.78,37.7
1788440981.558,6.8,static_acquire_stac,1,727.4,727.4,167.9,50.6,7787.3,57764.4,0.0,0.01,0.0,0.93,50.07,0.76,0.5,67.78,37.7
1788440982.823,8.07,static_acquire_stac,1,754.3,754.3,126.5,48.9,8118.8,57432.9,0.0,13.62,0.02,5.54,50.19,1.06,0.5,67.79,37.68
1788440984.138,9.38,static_acquire_stac,1,845.4,845.4,108.7,43.1,7893.1,57658.5,0.0,27.21,0.02,6.08,50.2,1.07,0.5,67.81,37.67
1788440985.382,10.63,static_acquire_stac,1,850.1,850.1,101.3,42.2,7956.4,57595.2,0.0,40.77,0.02,6.08,50.2,1.08,0.5,67.82,37.66
1788440986.624,11.87,static_acquire_stac,1,844.1,844.1,100.7,43.6,7903.9,57647.8,0.0,54.37,0.02,6.15,50.21,1.08,0.5,67.83,37.64
1788440987.128,12.37,static_classify,6,1127.3,726.6,362.4,75.6,7864.8,57686.6,0.0,54.51,0.02,6.21,50.21,1.09,0.5,67.83,37.64
1788440987.634,12.88,static_classify,6,1467.3,726.6,463.0,85.4,8001.4,57550.3,0.0,54.51,0.02,6.21,50.21,1.09,0.5,67.83,37.64
1788440988.142,13.38,static_classify,6,1994.2,726.6,428.9,83.9,8196.7,57355.0,0.0,54.51,0.02,6.22,50.22,1.1,55.0,67.83,37.64
1788440988.644,13.89,static_classify,6,4373.3,940.0,398.4,77.1,10530.2,55021.4,0.0,54.51,0.02,6.94,50.22,1.1,55.0,67.83,37.64
1788440989.146,14.39,static_classify,6,5457.2,1225.0,394.7,76.5,11508.0,54043.6,0.0,54.51,0.02,6.94,50.22,1.1,55.0,67.83,37.64
1788440989.647,14.89,static_classify,6,6553.5,1524.1,386.7,76.2,12615.2,52936.5,0.0,54.51,0.02,6.95,50.22,1.11,55.0,67.83,37.64
1788440990.149,15.39,static_classify,6,7697.2,1841.5,396.7,74.4,13889.1,51662.6,0.0,54.51,0.02,6.95,50.23,1.11,55.0,67.83,37.64
1788440990.651,15.89,static_classify,6,8844.1,2096.7,400.7,71.3,14912.3,50639.4,0.0,54.51,0.02,7.01,50.24,1.22,55.0,67.83,37.64
1788440991.152,16.4,static_classify,6,9874.8,2382.4,394.7,74.1,15781.0,49770.7,0.0,54.51,0.02,7.01,50.24,1.22,55.0,67.83,37.64
1788440991.654,16.9,static_classify,6,10807.4,2659.1,408.5,72.4,16802.9,48748.8,0.0,54.51,0.02,7.01,50.24,1.22,55.0,67.83,37.64
1788440992.156,17.4,static_classify,6,11799.0,2935.1,398.8,77.6,17988.8,47562.9,0.0,54.51,0.02,7.01,50.25,1.22,55.0,67.83,37.64
1788440992.657,17.9,static_classify,6,12835.9,3251.8,396.6,76.5,19201.6,46350.1,0.0,54.51,0.02,7.05,50.25,1.23,55.0,67.83,37.64
1788440993.159,18.4,static_classify,6,13839.5,3505.8,398.6,76.8,20290.6,45261.1,0.0,54.51,0.02,7.11,50.25,1.23,55.0,67.83,37.64
1788440993.661,18.9,static_classify,6,14900.5,3730.9,400.5,77.3,21169.8,44381.9,0.0,54.51,0.02,7.4,50.25,1.23,55.0,67.83,37.64
1788440994.163,19.41,static_classify,6,15939.6,3962.6,396.7,75.8,22251.5,43300.2,0.0,54.51,0.02,8.4,50.25,1.23,55.0,67.83,37.64
1788440994.664,19.91,static_classify,6,16892.5,4176.9,404.7,77.7,23404.5,42147.2,0.0,54.51,0.02,8.4,50.25,1.23,55.0,67.83,37.64
1788440995.166,20.41,static_classify,6,17875.1,4439.4,398.7,74.4,24479.7,41071.9,0.0,54.51,0.02,8.4,50.25,1.23,55.0,67.83,37.64
1788440995.668,20.91,static_classify,6,18853.4,4704.2,398.6,77.1,25419.8,40131.9,0.0,54.51,0.02,8.4,50.25,1.24,55.0,67.83,37.64
1788440996.184,21.43,static_classify,6,19829.0,4924.0,393.3,78.4,26195.5,39356.2,0.0,54.51,0.02,8.42,50.25,1.24,55.0,67.83,37.64
1788440996.685,21.93,static_classify,6,20810.7,5143.0,388.7,73.6,27247.8,38303.9,0.0,54.51,0.02,8.42,50.26,1.24,55.0,67.83,37.64
1788440997.187,22.43,static_classify,6,21803.0,5370.6,382.7,75.6,28270.1,37281.6,0.0,54.51,0.02,8.42,50.26,1.24,55.0,67.83,37.64
1788440997.689,22.93,static_classify,6,22730.2,5609.2,376.8,80.2,29197.8,36353.9,0.0,54.51,0.02,8.42,50.26,1.24,55.0,67.83,37.64
1788440998.194,23.44,static_classify,6,23883.6,6043.5,453.4,80.0,30148.6,35403.1,0.0,54.51,0.02,8.54,50.27,1.26,55.0,67.83,37.64
1788440998.696,23.94,static_classify,6,25232.1,6294.3,615.4,99.5,31353.5,34198.2,0.0,54.51,0.02,8.74,50.27,1.26,55.0,67.83,37.64
1788440999.198,24.44,static_classify,6,25918.5,6295.2,555.9,86.1,31983.5,33568.1,0.0,54.51,0.02,8.8,50.27,1.36,55.0,67.83,37.64
1788440999.7,24.94,static_classify,6,25918.5,6295.2,398.6,69.6,32084.1,33467.6,0.0,54.51,0.02,8.8,50.27,1.37,55.0,67.83,37.64
1788441000.201,25.44,static_classify,6,25918.5,6295.2,398.8,76.2,32180.4,33371.3,0.0,54.51,0.02,8.94,50.28,1.37,55.0,67.83,37.64
1788441000.703,25.95,static_classify,6,25918.5,6295.2,404.5,76.8,32108.5,33443.1,0.0,54.51,0.02,8.94,50.29,1.47,55.0,67.83,37.64
1788441001.205,26.45,static_classify,6,25918.5,6295.2,356.7,87.7,32283.1,33268.6,0.0,54.51,0.02,9.15,50.29,1.47,55.0,67.83,37.64
1788441001.713,26.96,static_classify,6,24263.8,6294.8,381.6,90.7,32236.0,33315.7,0.0,54.51,0.02,9.16,50.29,1.47,55.0,67.83,37.64
1788441002.215,27.46,static_classify,6,23732.8,5756.0,241.1,70.3,32260.8,33290.9,0.0,54.51,0.02,9.16,50.29,1.48,55.0,67.83,37.64
1788441002.717,27.96,static_classify,6,23732.8,5756.0,199.5,65.5,32136.9,33414.8,0.0,54.51,0.02,9.16,50.3,1.48,55.0,67.83,37.64
1788441003.219,28.46,static_classify,6,23732.9,5756.0,173.3,53.4,31973.0,33578.7,0.0,54.51,0.02,9.16,50.31,1.49,55.0,67.83,37.64
1788441003.721,28.96,static_classify,6,23732.9,5756.0,101.6,44.7,31979.0,33572.7,0.0,54.51,0.02,9.29,50.31,1.49,55.0,67.83,37.64
1788441004.222,29.47,static_classify,6,23732.9,5756.0,99.6,44.8,31941.1,33610.6,0.0,54.51,0.02,9.31,50.32,1.5,55.0,67.83,37.64
1788441004.724,29.97,static_classify,6,23732.9,5756.0,101.7,44.1,31981.1,33570.6,0.0,54.51,0.02,9.36,50.34,1.51,55.0,67.83,37.64
1788441005.225,30.47,static_classify,6,23732.9,5756.0,99.7,41.3,31994.1,33557.6,0.0,54.51,0.02,9.36,50.35,1.52,55.0,67.83,37.64
1788441005.728,30.97,static_classify,6,23732.9,5756.0,99.5,42.1,31970.7,33581.0,0.0,54.51,0.02,9.51,50.36,1.52,55.0,67.83,37.64
1788441006.23,31.47,static_classify,6,23732.9,5756.0,101.6,45.1,31831.1,33720.6,0.0,54.51,0.02,9.72,50.41,1.81,55.0,67.83,37.64
1788441006.732,31.97,static_classify,6,23732.9,5756.0,99.6,44.5,31784.3,33767.4,0.0,54.51,0.02,9.72,50.54,1.82,55.0,67.83,37.64
1788441007.234,32.48,static_classify,6,23732.9,5756.0,101.6,41.8,31603.6,33948.1,0.0,54.51,0.02,9.72,50.68,1.82,55.0,67.83,37.64
1788441007.735,32.98,static_classify,6,23732.9,5756.0,99.6,43.7,31378.6,34173.1,0.0,54.51,0.02,9.72,50.9,1.83,55.0,67.83,37.64
1788441008.237,33.48,static_classify,6,23732.9,5756.0,101.6,44.2,31380.6,34171.1,0.0,54.51,0.02,9.85,51.36,1.83,55.0,67.83,37.64
1788441008.739,33.98,static_classify,6,23732.9,5756.0,99.6,44.2,31198.0,34353.7,0.0,54.51,0.02,9.97,51.95,1.84,55.0,67.83,37.64
1788441009.241,34.48,static_classify,6,23732.9,5756.0,99.7,43.0,31134.4,34417.3,0.0,54.51,0.02,9.97,52.6,1.84,55.0,67.83,37.64
1788441009.743,34.99,static_classify,6,23732.9,5756.0,99.6,53.7,31203.2,34348.5,0.0,54.52,0.02,9.97,53.91,1.94,55.0,67.83,37.64
1788441010.245,35.49,static_classify,6,23732.9,5756.0,101.6,44.2,31041.4,34510.2,0.0,54.52,0.02,9.97,55.45,1.94,55.0,67.83,37.64
1788441010.746,35.99,static_classify,6,23732.9,5756.0,97.7,44.8,31025.2,34526.5,0.0,54.52,0.02,9.97,55.73,1.95,55.0,67.83,37.64
1788441011.247,36.49,static_classify,6,23732.9,5756.0,101.7,43.6,30725.2,34826.5,0.0,54.52,0.02,10.02,57.38,2.06,55.0,67.83,37.64
1788441011.749,36.99,static_classify,6,23732.9,5756.0,99.7,44.3,30815.0,34736.7,0.0,54.52,0.02,10.02,58.54,2.06,55.0,67.83,37.64
1788441012.25,37.49,static_classify,6,23732.9,5756.0,99.7,46.1,30852.1,34699.6,0.0,54.52,0.02,14.02,60.2,2.07,55.0,67.83,37.64
1788441012.752,37.99,static_classify,6,23732.9,5756.0,99.7,42.8,30860.9,34690.8,0.0,54.52,0.02,19.41,61.24,2.1,55.0,67.83,37.64
1788441013.253,38.5,static_classify,6,23732.9,5756.0,101.7,46.1,30865.7,34686.0,0.0,54.52,0.02,19.61,64.08,2.11,55.0,67.83,37.64
1788441013.756,39.0,static_classify,6,23732.9,5756.0,99.6,42.5,30726.6,34825.0,0.0,54.52,0.02,19.77,64.12,2.11,55.0,67.83,37.64
1788441014.257,39.5,static_classify,6,23732.9,5756.0,99.7,37.7,30748.9,34802.8,0.0,54.52,0.02,19.82,66.03,2.16,55.0,67.83,37.64
1788441014.759,40.0,static_classify,6,23732.9,5756.0,101.7,43.4,30765.1,34786.6,0.0,54.52,0.02,19.82,66.97,2.17,55.0,67.83,37.64
1788441015.261,40.5,static_classify,6,23732.9,5756.0,99.6,38.7,30616.4,34935.2,0.0,54.52,0.02,19.82,67.99,2.17,55.0,67.83,37.64
1788441015.762,41.0,static_classify,6,23732.9,5756.0,99.7,46.6,30630.2,34921.4,0.0,54.52,0.02,19.82,69.97,2.18,55.0,67.83,37.64
1788441016.264,41.51,static_classify,6,23732.9,5756.0,101.6,44.3,30555.6,34996.1,0.0,54.52,0.02,20.02,70.0,2.2,55.0,67.83,37.64
1788441016.765,42.01,static_classify,6,23732.9,5756.0,99.7,54.4,30695.9,34855.8,0.0,54.52,0.02,20.1,70.12,2.27,55.0,67.83,37.64
1788441017.267,42.51,static_classify,6,23732.9,5756.0,99.7,48.1,30723.8,34827.8,0.0,54.52,0.02,20.13,70.35,2.33,55.0,67.83,37.64
1788441017.769,43.01,static_classify,6,23732.9,5756.0,101.6,55.6,30715.3,34836.4,0.0,54.52,0.02,61.17,72.43,2.4,55.0,67.83,37.64
1788441018.271,43.51,static_classify,6,23732.9,5756.0,99.6,60.4,30789.8,34761.9,0.0,54.52,0.02,61.17,73.2,2.43,55.0,67.83,37.64
1788441018.772,44.02,static_classify,6,23732.9,5756.0,99.6,58.4,30810.4,34741.3,0.0,54.52,0.02,61.59,80.47,2.51,55.0,67.83,37.64
1788441019.274,44.52,static_classify,6,23732.9,5756.0,101.7,62.7,30740.9,34810.8,0.0,54.52,0.02,61.6,87.59,2.57,55.0,67.83,37.64
1788441019.775,45.02,static_classify,6,23732.9,5756.0,99.7,54.8,30801.8,34749.9,0.0,54.52,0.02,61.67,87.72,2.61,55.0,67.83,37.64
1788441020.277,45.52,static_classify,6,23732.9,5756.0,99.7,58.4,30851.5,34700.2,0.0,54.52,0.02,61.67,95.91,2.69,55.0,67.83,37.64
1788441020.778,46.02,static_classify,6,23732.9,5756.0,101.7,56.4,30875.5,34676.2,0.0,54.52,0.02,61.67,97.42,2.73,55.0,67.83,37.64
1788441021.28,46.52,static_classify,6,23732.9,5756.0,99.6,52.2,30666.7,34884.9,0.0,54.52,0.02,61.67,97.43,2.84,55.0,67.83,37.64
1788441021.782,47.02,static_classify,6,23732.9,5756.0,103.6,59.2,30828.0,34723.6,0.0,54.52,0.02,61.67,109.4,2.94,55.0,67.83,37.64
1788441022.284,47.53,static_classify,6,23732.9,5756.0,99.6,62.6,30906.1,34645.5,0.0,54.52,0.02,61.94,109.4,2.94,55.0,67.84,37.64
1788441022.786,48.03,static_classify,6,23732.9,5756.0,99.6,53.6,30926.7,34624.9,0.0,54.52,0.02,61.94,109.4,2.95,55.0,67.84,37.63
1788441023.287,48.53,static_classify,6,22830.8,5530.5,225.4,69.4,30360.2,35191.5,0.0,54.59,0.02,61.94,109.46,2.96,55.1,67.85,37.63
1788441023.863,49.11,sieve,2,750.0,737.0,38.3,75.2,8759.4,56792.6,0.0,54.64,0.02,61.94,109.46,2.97,55.1,67.8,37.68
1788441024.376,49.62,vector_stage,2,751.4,738.4,99.4,52.5,8764.6,56787.1,0.0,54.76,0.02,62.09,109.47,2.97,55.1,67.8,37.67
