t_epoch,elapsed_s,stage,n_procs,rss_tree_mb,rss_max_proc_mb,cpu_tree_pct,cpu_system_pct,mem_system_used_mb,mem_system_available_mb,tree_read_mb,tree_write_mb,sys_read_mb,sys_write_mb,net_recv_mb,net_sent_mb,outdir_mb,fs_used_gb,fs_free_gb
1788440895.308,0.0,static_acquire_stac,1,203.0,203.0,0.0,0.0,9142.1,56409.6,0.0,0.0,0.0,0.0,0.0,0.0,0.5,67.78,37.7
1788440895.817,0.51,static_acquire_stac,1,228.7,228.7,149.5,52.8,8728.8,56822.9,0.0,0.01,0.0,0.09,0.0,0.0,0.5,67.78,37.7
1788440896.614,1.31,static_acquire_stac,1,251.2,251.2,27.6,46.0,8749.8,56801.9,0.0,0.01,0.0,0.15,0.03,0.02,0.5,67.78,37.7
1788440897.116,1.81,static_acquire_stac,1,371.9,371.9,51.9,46.7,8545.9,57005.8,0.0,0.01,0.0,0.15,0.04,0.03,0.5,67.78,37.7
1788440897.617,2.31,static_acquire_stac,1,375.0,375.0,8.0,44.7,8512.5,57039.2,0.0,0.01,0.0,0.33,0.09,0.05,0.5,67.78,37.7
1788440898.128,2.82,static_acquire_stac,1,451.6,451.6,105.7,50.9,8352.5,57199.2,0.0,0.01,0.0,0.33,0.23,0.13,0.5,67.78,37.7
1788440898.633,3.33,static_acquire_stac,1,533.5,533.5,140.6,55.5,8457.0,57094.7,0.0,0.01,0.0,0.35,0.39,0.2,0.5,67.78,37.7
1788440899.326,4.02,static_acquire_stac,1,609.5,609.5,131.3,56.9,8413.8,57137.9,0.0,0.01,0.0,0.68,11.94,0.3,0.5,67.78,37.7
1788440899.827,4.52,static_acquire_stac,1,633.4,633.4,149.6,59.0,8325.8,57225.9,0.0,0.01,0.0,0.68,12.0,0.33,0.5,67.78,37.7
1788440900.427,5.12,static_acquire_stac,1,660.7,660.7,170.2,60.4,8242.0,57309.8,0.0,0.01,0.0,0.75,23.37,0.38,0.5,67.78,37.7
1788440900.941,5.63,static_acquire_stac,1,670.4,670.4,165.1,62.0,8342.4,57209.3,0.0,0.01,0.0,1.06,35.21,0.47,0.5,67.78,37.7
1788440901.462,6.15,static_acquire_stac,1,683.9,683.9,145.9,55.2,8123.2,57428.5,0.0,0.01,0.0,1.11,38.71,0.52,0.5,67.78,37.7
1788440901.963,6.66,static_acquire_stac,1,703.3,703.3,129.7,57.8,8217.9,57333.8,0.0,0.01,0.0,1.14,43.95,0.57,0.5,67.78,37.7
1788440903.455,8.15,static_acquire_stac,1,733.5,733.5,139.4,53.8,7979.5,57572.4,0.0,13.56,0.0,1.29,49.48,0.89,0.5,67.79,37.68
1788440904.791,9.48,static_acquire_stac,1,853.4,853.4,111.6,43.9,8014.1,57537.9,0.0,27.15,0.0,1.37,49.49,0.9,0.5,67.81,37.67
1788440906.105,10.8,static_acquire_stac,1,841.4,841.4,198.7,44.0,8260.0,57291.6,0.0,53.99,0.0,1.58,49.49,0.91,0.5,67.83,37.64
1788440907.864,12.56,static_classify,6,1069.4,670.5,98.9,73.4,8039.7,57512.0,0.0,54.13,0.0,1.62,49.5,0.91,0.5,67.83,37.64
1788440908.371,13.06,static_classify,6,1421.1,670.5,455.4,86.0,8247.9,57303.8,0.0,54.13,0.0,1.62,49.5,0.91,0.5,67.83,37.64
1788440908.873,13.57,static_classify,6,1988.4,670.5,454.6,82.4,8096.9,57454.7,0.0,54.13,0.0,1.67,49.5,0.92,0.5,67.83,37.64
1788440909.375,14.07,static_classify,6,4279.8,919.8,408.6,78.7,10508.6,55043.1,0.0,54.13,0.0,1.67,49.5,0.92,0.5,67.83,37.64
1788440909.876,14.57,static_classify,6,5377.9,1201.4,398.7,79.0,11712.5,53839.2,0.0,54.13,0.0,1.72,49.5,0.92,54.6,67.83,37.64
1788440910.378,15.07,static_classify,6,6523.1,1507.5,396.6,72.9,12741.6,52810.0,0.0,54.13,0.0,1.72,49.51,0.92,54.6,67.83,37.64
