t_epoch,elapsed_s,stage,n_procs,rss_tree_mb,rss_max_proc_mb,cpu_tree_pct,cpu_system_pct,mem_system_used_mb,mem_system_available_mb,tree_read_mb,tree_write_mb,sys_read_mb,sys_write_mb,net_recv_mb,net_sent_mb,outdir_mb,fs_used_gb,fs_free_gb
1788504675.178,0.0,init,1,203.3,203.3,0.0,0.0,5854.6,59759.3,0.11,0.05,0.0,0.0,0.0,0.0,0.5,68.0,37.47
1788504675.684,0.51,static_acquire_stac,1,233.4,233.4,140.3,18.3,5887.0,59726.8,0.12,0.06,0.02,0.0,0.01,0.01,0.5,68.01,37.47
1788504676.504,1.33,static_acquire_stac,1,250.8,250.8,25.6,5.4,5898.6,59715.2,0.12,0.06,0.02,0.0,0.02,0.02,0.5,68.01,37.47
1788504677.005,1.83,static_acquire_stac,1,250.9,250.9,2.0,1.3,5898.6,59715.2,0.12,0.06,0.02,0.17,0.03,0.02,0.5,68.01,37.47
1788504677.506,2.33,static_acquire_stac,1,251.9,251.9,2.0,3.0,5899.7,59714.2,0.12,0.07,0.02,0.17,0.04,0.02,0.5,68.01,37.47
1788504678.007,2.83,static_acquire_stac,1,254.9,254.9,16.0,5.5,5903.0,59710.9,0.12,0.07,0.02,0.18,0.04,0.04,0.5,68.01,37.47
1788504678.51,3.33,static_acquire_stac,1,311.9,311.9,75.7,11.4,5956.2,59657.7,0.12,0.07,0.02,0.18,0.05,0.04,0.5,68.01,37.47
1788504679.011,3.83,static_acquire_stac,1,315.2,315.2,4.0,3.2,5957.2,59656.7,0.12,0.07,0.02,0.25,0.08,0.05,0.5,68.01,37.47
1788504679.512,4.33,static_acquire_stac,1,331.8,331.8,12.0,3.7,5965.1,59648.7,0.12,0.07,0.02,0.25,0.18,0.06,0.5,68.01,37.47
1788504680.013,4.84,static_acquire_stac,1,339.0,339.0,8.0,3.0,5973.6,59640.3,0.12,0.07,0.02,0.26,0.31,0.07,0.5,68.01,37.47
1788504680.514,5.34,static_acquire_stac,1,345.7,345.7,8.0,2.5,5981.6,59632.3,0.12,0.07,0.02,0.41,0.41,0.07,0.5,68.01,37.47
1788504681.015,5.84,static_acquire_stac,1,345.3,345.3,4.0,1.5,5983.6,59630.2,0.12,0.07,0.02,0.43,0.57,0.07,0.5,68.01,37.47
1788504681.516,6.34,static_acquire_stac,1,345.3,345.3,2.0,2.0,5983.6,59630.2,0.12,0.07,0.02,0.43,0.58,0.08,0.5,68.01,37.47
1788504682.021,6.84,static_acquire_stac,1,349.9,349.9,13.9,3.1,5983.6,59630.2,0.12,0.07,0.02,0.56,0.58,0.08,0.5,68.01,37.47
1788504682.583,7.41,static_acquire_stac,1,361.0,361.0,19.6,3.3,5985.2,59628.7,0.12,0.07,0.02,0.56,0.6,0.09,0.5,68.01,37.47
1788504683.084,7.91,static_acquire_stac,1,361.6,361.6,2.0,3.7,5985.7,59628.2,0.12,0.07,0.02,0.57,0.69,0.11,0.5,68.01,37.47
1788504683.585,8.41,static_acquire_stac,1,376.8,376.8,45.9,9.5,5988.1,59625.8,0.12,0.07,0.02,0.57,0.89,0.11,0.5,68.01,37.47
1788504684.086,8.91,static_acquire_stac,1,401.5,401.5,10.0,3.5,5999.7,59614.2,0.12,0.07,0.02,0.57,1.46,0.12,0.5,68.01,37.47
1788504684.587,9.41,static_acquire_stac,1,406.8,406.8,4.0,2.0,6008.4,59605.5,0.12,0.07,0.02,0.63,1.54,0.13,0.5,68.01,37.47
1788504685.089,9.91,static_acquire_stac,1,406.8,406.8,2.0,3.9,6008.4,59605.5,0.12,0.07,0.02,0.63,1.54,0.13,0.5,68.01,37.47
