t_epoch,elapsed_s,stage,n_procs,rss_tree_mb,rss_max_proc_mb,cpu_tree_pct,cpu_system_pct,mem_system_used_mb,mem_system_available_mb,tree_read_mb,tree_write_mb,sys_read_mb,sys_write_mb,net_recv_mb,net_sent_mb,outdir_mb,fs_used_gb,fs_free_gb
1788505280.63,0.0,init,1,202.8,202.8,0.0,0.0,5923.4,59690.2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,68.03,37.45
1788505281.136,0.51,static_acquire_stac,1,234.2,234.2,162.0,16.7,5925.5,59688.2,0.0,0.01,0.0,0.04,0.03,0.11,0.5,68.03,37.45
1788505281.969,1.34,static_acquire_stac,1,250.8,250.8,19.2,4.2,5937.8,59675.8,0.0,0.01,0.0,0.04,0.03,0.12,0.5,68.03,37.45
1788505282.47,1.84,static_acquire_stac,1,250.8,250.8,2.0,6.8,5929.2,59684.5,0.0,0.01,0.0,0.04,0.05,0.27,0.5,68.03,37.45
1788505282.971,2.34,static_acquire_stac,1,251.9,251.9,4.0,2.0,5930.5,59683.2,0.0,0.01,0.0,0.04,0.07,0.28,0.5,68.03,37.45
1788505283.478,2.85,static_acquire_stac,1,284.6,284.6,45.4,10.9,5945.5,59668.2,0.0,0.01,0.0,0.06,0.07,0.28,0.5,68.03,37.45
1788505284.004,3.37,static_acquire_stac,1,318.7,318.7,57.0,9.5,5965.8,59647.9,0.0,0.01,0.0,0.11,0.08,0.3,0.5,68.03,37.45
1788505284.505,3.88,static_acquire_stac,1,320.6,320.6,6.0,1.3,5968.2,59645.5,0.0,0.01,0.0,0.18,0.13,0.31,0.5,68.03,37.45
1788505285.011,4.38,static_acquire_stac,1,344.9,344.9,23.7,5.3,5987.5,59626.2,0.0,0.01,0.0,0.18,0.31,0.32,0.5,68.03,37.45
1788505285.538,4.91,static_acquire_stac,1,354.9,354.9,9.5,1.8,5996.4,59617.3,0.0,0.01,0.0,0.35,0.63,0.33,0.5,68.03,37.45
1788505286.039,5.41,static_acquire_stac,1,366.0,366.0,12.0,3.3,6008.8,59604.9,0.0,0.01,0.0,0.35,0.83,0.34,0.5,68.03,37.45
1788505286.578,5.95,static_acquire_stac,1,464.3,464.3,24.1,7.3,6108.4,59505.2,0.0,0.01,0.0,0.35,0.84,0.35,0.5,68.03,37.45
1788505287.104,6.47,static_acquire_stac,1,538.1,538.1,97.1,13.9,6214.4,59399.3,0.0,0.01,0.0,0.35,1.28,0.47,0.5,68.03,37.45
1788505287.64,7.01,static_acquire_stac,1,629.7,629.7,119.4,19.4,6298.8,59314.9,0.0,0.01,0.0,0.35,14.34,0.54,0.5,68.03,37.45
1788505288.141,7.51,static_acquire_stac,1,669.1,669.1,137.7,22.0,6323.6,59290.1,0.0,0.01,0.0,0.35,29.96,0.62,0.5,68.03,37.45
1788505288.655,8.03,static_acquire_stac,1,689.3,689.3,188.4,25.9,6343.3,59270.4,0.0,0.01,0.0,0.36,38.98,0.69,0.5,68.03,37.45
1788505290.449,9.82,static_acquire_stac,1,750.8,750.8,119.9,19.1,6488.3,59125.3,0.0,12.85,0.0,0.59,50.2,0.75,0.5,68.04,37.44
1788505291.877,11.25,static_acquire_stac,1,825.8,825.8,105.1,16.5,6611.4,59002.1,0.0,25.69,0.0,0.6,50.21,0.86,0.5,68.05,37.42
1788505293.318,12.69,static_acquire_stac,1,864.2,864.2,104.0,14.9,6723.3,58890.4,0.0,38.5,0.0,0.95,50.22,0.86,0.5,68.06,37.41
1788505294.728,14.1,static_acquire_stac,1,855.7,855.7,99.3,17.5,6723.1,58890.6,0.0,51.31,0.0,1.04,50.23,0.87,0.5,68.08,37.4
1788505295.233,14.6,static_classify,6,1209.0,801.8,390.1,54.8,6836.6,58777.1,0.0,51.44,0.23,1.04,50.23,0.92,51.9,68.08,37.4
1788505295.735,15.11,static_classify,6,1604.8,801.8,582.3,76.7,7048.2,58565.5,0.0,51.44,0.23,1.09,50.23,0.92,51.9,68.08,37.4
1788505296.236,15.61,static_classify,6,3820.2,814.9,416.8,55.1,9164.9,56448.7,0.0,51.44,0.23,1.09,50.23,0.92,51.9,68.08,37.4
