t_epoch,elapsed_s,stage,n_procs,rss_tree_mb,rss_max_proc_mb,cpu_tree_pct,cpu_system_pct,mem_system_used_mb,mem_system_available_mb,tree_read_mb,tree_write_mb,sys_read_mb,sys_write_mb,net_recv_mb,net_sent_mb,outdir_mb,fs_used_gb,fs_free_gb
1788441001.599,0.0,init,1,202.5,202.5,0.0,0.0,32234.6,33317.1,0.0,0.0,0.0,0.0,0.0,0.0,0.3,67.83,37.64
1788441002.106,0.51,static_acquire_stac,1,219.2,219.2,155.9,71.1,32167.6,33384.1,0.0,0.01,0.0,0.0,0.0,0.0,0.3,67.83,37.64
1788441003.004,1.41,static_acquire_stac,1,241.0,241.0,50.1,62.5,32136.8,33414.9,0.0,0.01,0.0,0.0,0.02,0.01,0.3,67.83,37.64
1788441003.506,1.91,static_acquire_stac,1,241.0,241.0,0.0,41.4,31965.0,33586.7,0.0,0.01,0.0,0.13,0.02,0.01,0.3,67.83,37.64
1788441004.008,2.41,static_acquire_stac,1,279.4,279.4,57.8,50.4,31932.4,33619.3,0.0,0.01,0.0,0.13,0.03,0.03,0.3,67.83,37.64
1788441004.509,2.91,static_acquire_stac,1,280.4,280.4,2.0,41.8,31981.4,33570.3,0.0,0.01,0.0,0.16,0.05,0.03,0.3,67.83,37.64
1788441005.01,3.41,static_acquire_stac,1,281.3,281.3,2.0,39.5,31928.2,33623.5,0.0,0.01,0.0,0.21,0.06,0.04,0.3,67.83,37.64
1788441005.512,3.91,static_acquire_stac,1,302.1,302.1,29.9,45.3,31992.3,33559.4,0.0,0.01,0.0,0.36,0.07,0.05,0.3,67.83,37.64
1788441006.013,4.41,static_acquire_stac,1,303.1,303.1,2.0,44.0,31830.7,33721.0,0.0,0.01,0.0,0.36,0.09,0.33,0.3,67.83,37.64
1788441006.515,4.92,static_acquire_stac,1,315.9,315.9,4.0,43.3,31798.7,33753.0,0.0,0.01,0.0,0.56,0.19,0.34,0.3,67.83,37.64
1788441007.016,5.42,static_acquire_stac,1,321.9,321.9,8.0,42.9,31603.2,33948.5,0.0,0.01,0.0,0.56,0.35,0.35,0.3,67.83,37.64
1788441007.517,5.92,static_acquire_stac,1,325.0,325.0,4.0,44.1,31588.1,33963.5,0.0,0.01,0.0,0.57,0.53,0.35,0.3,67.83,37.64
1788441008.019,6.42,static_acquire_stac,1,325.6,325.6,2.0,42.6,31379.6,34172.1,0.0,0.01,0.0,0.57,0.76,0.36,0.3,67.83,37.64
1788441008.52,6.92,static_acquire_stac,1,326.2,326.2,0.0,45.6,31396.6,34155.1,0.0,0.01,0.0,0.79,1.34,0.36,0.3,67.83,37.64
1788441009.021,7.42,static_acquire_stac,1,333.4,333.4,16.0,43.3,31238.9,34312.8,0.0,0.01,0.0,0.82,2.07,0.37,0.3,67.83,37.64
1788441009.523,7.92,static_acquire_stac,1,336.4,336.4,2.0,46.7,31174.4,34377.3,0.0,0.01,0.0,0.82,2.9,0.46,0.3,67.83,37.64
1788441010.024,8.43,static_acquire_stac,1,338.6,338.6,0.0,50.9,31023.8,34527.8,0.0,0.01,0.0,0.82,4.2,0.47,0.3,67.83,37.64
1788441010.525,8.93,static_acquire_stac,1,348.1,348.1,35.9,45.1,31025.2,34526.5,0.0,0.01,0.0,0.82,5.2,0.47,0.3,67.83,37.64
1788441011.027,9.43,static_acquire_stac,1,348.1,348.1,4.0,44.0,31025.9,34525.8,0.0,0.01,0.0,0.87,6.67,0.58,0.3,67.83,37.64
1788441011.528,9.93,static_acquire_stac,1,350.6,350.6,12.0,42.8,30783.4,34768.3,0.0,0.01,0.0,0.87,7.82,0.59,0.3,67.83,37.64
1788441012.03,10.43,static_acquire_stac,1,355.2,355.2,25.9,47.4,30841.8,34709.8,0.0,0.01,0.0,0.87,9.5,0.6,0.3,67.83,37.64
1788441012.531,10.93,static_acquire_stac,1,357.2,357.2,12.0,42.0,30827.9,34723.7,0.0,0.01,0.0,10.26,10.36,0.6,0.3,67.83,37.64
1788441013.033,11.43,static_acquire_stac,1,358.0,358.0,2.0,43.1,30861.6,34690.1,0.0,0.01,0.0,10.26,12.4,0.63,0.3,67.83,37.64
1788441013.534,11.94,static_acquire_stac,1,370.5,370.5,35.9,45.3,30711.8,34839.9,0.0,0.01,0.0,10.46,13.79,0.64,0.3,67.83,37.64
1788441014.035,12.44,static_acquire_stac,1,370.5,370.5,2.0,42.5,30756.1,34795.6,0.0,0.01,0.0,10.66,14.78,0.68,0.3,67.83,37.64
1788441014.537,12.94,static_acquire_stac,1,375.1,375.1,21.9,36.5,30740.9,34810.8,0.0,0.01,0.0,10.66,16.68,0.69,0.3,67.83,37.64
1788441015.041,13.44,static_acquire_stac,1,375.1,375.1,2.0,41.7,30801.5,34750.2,0.0,0.01,0.0,10.66,16.71,0.7,0.3,67.83,37.64
1788441015.543,13.94,static_acquire_stac,1,377.5,377.5,0.0,45.1,30602.7,34949.0,0.0,0.01,0.0,10.66,18.69,0.7,0.3,67.83,37.64
1788441016.044,14.45,static_acquire_stac,1,398.4,398.4,33.9,45.7,30537.1,35014.5,0.0,0.01,0.0,10.87,19.71,0.72,0.3,67.83,37.64
1788441016.546,14.95,static_acquire_stac,1,495.8,495.8,37.9,46.0,30617.0,34934.7,0.0,0.01,0.0,10.95,19.73,0.73,0.3,67.83,37.64
1788441017.188,15.59,static_acquire_stac,1,557.4,557.4,102.7,52.4,30719.9,34831.8,0.0,0.01,0.0,10.98,20.06,0.86,0.3,67.83,37.64
1788441017.848,16.25,static_acquire_stac,1,621.0,621.0,118.1,58.5,30727.3,34824.4,0.0,0.01,0.0,52.01,22.86,0.93,0.3,67.83,37.64
1788441018.361,16.76,static_acquire_stac,1,640.0,640.0,119.0,55.0,30813.0,34738.6,0.0,0.01,0.0,52.01,23.0,0.96,0.3,67.83,37.64
1788441018.862,17.26,static_acquire_stac,1,698.9,698.9,135.6,58.5,30646.8,34904.9,0.0,0.01,0.0,52.44,30.79,1.05,0.3,67.83,37.64
1788441019.363,17.77,static_acquire_stac,1,714.5,714.5,183.5,64.2,30768.7,34782.9,0.0,0.01,0.0,52.51,37.3,1.1,0.3,67.83,37.64
1788441019.874,18.28,static_acquire_stac,1,720.7,720.7,84.2,54.7,30810.8,34740.8,0.0,0.01,0.0,52.51,39.81,1.16,0.3,67.83,37.64
1788441020.375,18.78,static_acquire_stac,1,778.0,778.0,169.6,59.5,30860.0,34691.7,0.0,0.01,0.0,52.51,45.67,1.23,0.3,67.83,37.64
1788441020.88,19.28,static_acquire_stac,1,766.4,766.4,118.8,55.9,30891.7,34660.0,0.0,0.01,0.0,52.51,47.13,1.27,0.3,67.83,37.64
1788441021.426,19.83,static_acquire_stac,1,772.8,772.8,104.5,51.4,30700.8,34850.8,0.0,0.01,0.0,52.51,47.24,1.4,0.3,67.83,37.64
1788441023.089,21.49,static_acquire_stac,1,824.5,824.5,134.0,58.5,30900.5,34651.2,0.0,13.41,0.0,52.78,59.11,1.48,0.3,67.85,37.63
1788441024.662,23.06,static_acquire_stac,1,877.8,877.8,104.3,66.4,8738.1,56813.5,0.0,26.71,0.0,53.06,59.18,1.5,27.0,67.81,37.67
1788441025.174,23.58,static_acquire_stac,1,887.5,887.5,109.3,48.7,8130.1,57421.6,0.0,26.71,0.0,53.06,65.81,1.52,27.0,67.81,37.67
1788441025.689,24.09,static_acquire_stac,1,902.2,902.2,104.9,40.9,8090.6,57461.1,0.0,26.71,0.0,53.06,72.75,1.57,27.0,67.81,37.67
1788441026.192,24.59,static_acquire_stac,1,913.4,913.4,109.2,42.5,8088.4,57463.3,0.0,26.71,0.0,53.17,82.95,1.62,27.0,67.81,37.67
1788441027.623,26.02,static_acquire_stac,1,950.9,950.9,114.7,43.7,7936.4,57615.3,0.0,40.08,0.0,53.41,82.96,1.63,27.0,67.82,37.65
1788441028.91,27.31,static_acquire_stac,1,985.7,985.7,100.2,42.6,7749.5,57802.0,0.0,53.58,0.0,53.49,82.96,1.63,27.0,67.84,37.64
1788441029.416,27.82,static_classify,6,1177.1,846.3,350.3,73.7,7818.5,57733.1,0.0,53.67,0.0,53.49,82.97,1.64,27.0,67.84,37.64
1788441029.924,28.33,static_classify,6,1565.3,846.3,452.7,84.5,7893.2,57658.1,0.0,53.67,0.0,53.57,82.97,1.64,27.0,67.84,37.64
1788441030.425,28.83,static_classify,6,1748.1,846.3,508.6,88.5,7965.2,57586.5,0.0,53.67,0.0,53.73,82.97,1.64,27.0,67.84,37.64
1788441030.927,29.33,static_classify,6,2795.6,846.3,410.5,78.8,8903.7,56648.0,0.0,53.67,0.0,53.73,82.97,1.64,27.0,67.84,37.64
1788441031.429,29.83,static_classify,6,3040.3,784.6,430.6,80.0,9334.5,56217.2,0.0,53.67,0.0,53.78,82.98,1.75,53.9,67.84,37.64
