t_epoch,elapsed_s,stage,n_procs,rss_tree_mb,rss_max_proc_mb,cpu_tree_pct,cpu_system_pct,mem_system_used_mb,mem_system_available_mb,tree_read_mb,tree_write_mb,sys_read_mb,sys_write_mb,net_recv_mb,net_sent_mb,outdir_mb,fs_used_gb,fs_free_gb
1788441035.489,0.0,static_acquire_stac,1,202.7,202.7,0.0,0.0,6985.2,58566.5,0.0,0.01,0.0,0.0,0.0,0.0,0.7,67.78,37.69
1788441035.998,0.51,static_acquire_stac,1,219.8,219.8,120.0,43.1,6922.8,58628.9,0.0,0.01,0.0,0.01,0.0,0.0,0.7,67.78,37.69
1788441036.668,1.18,static_acquire_stac,1,241.3,241.3,41.8,39.6,7090.7,58461.0,0.0,0.01,0.0,0.09,0.01,0.01,0.7,67.78,37.69
1788441037.169,1.68,static_acquire_stac,1,241.3,241.3,2.0,28.6,7045.9,58505.8,0.0,0.01,0.0,0.09,0.01,0.01,0.7,67.78,37.69
1788441037.67,2.18,static_acquire_stac,1,242.3,242.3,2.0,34.4,7083.9,58467.8,0.0,0.01,0.0,0.29,0.03,0.02,0.7,67.78,37.69
1788441038.172,2.68,static_acquire_stac,1,242.4,242.4,0.0,32.3,7028.0,58523.7,0.0,0.01,0.0,0.41,0.03,0.02,0.7,67.78,37.69
1788441038.673,3.18,static_acquire_stac,1,294.1,294.1,95.8,42.1,6840.2,58711.5,0.0,0.01,0.0,0.69,0.03,0.02,0.7,67.78,37.69
1788441039.177,3.69,static_acquire_stac,1,306.5,306.5,11.9,31.9,6962.7,58589.0,0.0,0.01,0.0,0.69,0.05,0.03,0.7,67.78,37.69
1788441039.678,4.19,static_acquire_stac,1,307.2,307.2,2.0,28.6,7066.1,58485.6,0.0,0.01,0.0,0.72,0.18,0.04,0.7,67.78,37.69
1788441040.179,4.69,static_acquire_stac,1,328.9,328.9,16.0,34.0,7266.8,58285.0,0.0,0.01,0.0,0.72,0.36,0.05,0.7,67.78,37.69
1788441040.68,5.19,static_acquire_stac,1,344.2,344.2,18.0,29.6,7339.7,58212.0,0.0,0.01,0.0,0.79,0.71,0.07,0.7,67.78,37.69
1788441041.181,5.69,static_acquire_stac,1,369.0,369.0,2.0,29.7,7458.6,58093.1,0.0,0.01,0.0,0.79,0.72,0.08,0.7,67.78,37.69
1788441041.687,6.2,static_acquire_stac,1,463.9,463.9,41.6,30.9,7414.7,58137.0,0.0,0.01,0.0,0.79,0.75,0.18,0.7,67.78,37.69
1788441042.189,6.7,static_acquire_stac,1,537.1,537.1,123.4,42.6,7540.3,58011.4,0.0,0.01,0.0,0.79,0.95,0.31,0.7,67.78,37.69
1788441042.769,7.28,static_acquire_stac,1,579.2,579.2,117.2,40.3,7593.3,57958.4,0.0,0.01,0.0,1.13,1.3,0.37,0.7,67.78,37.69
1788441043.293,7.8,static_acquire_stac,1,637.2,637.2,93.6,40.6,7595.0,57956.7,0.0,0.01,0.0,1.13,10.51,0.45,0.7,67.78,37.69
1788441043.794,8.31,static_acquire_stac,1,678.0,678.0,183.6,52.6,7702.5,57849.2,0.0,0.01,0.0,1.42,17.36,0.52,0.7,67.78,37.69
1788441044.295,8.81,static_acquire_stac,1,706.4,706.4,191.5,51.1,7713.4,57838.3,0.0,0.01,0.0,1.75,26.35,0.59,0.7,67.78,37.69
1788441044.843,9.35,static_acquire_stac,1,704.3,704.3,191.8,53.2,7718.3,57833.4,0.0,0.01,0.0,1.75,36.51,0.65,0.7,67.78,37.69
1788441045.378,9.89,static_acquire_stac,1,724.3,724.3,151.3,42.1,7551.1,58000.7,0.0,0.01,0.0,1.75,41.94,0.72,0.7,67.78,37.69
1788441046.797,11.31,static_acquire_stac,1,731.9,731.9,113.5,42.9,7750.8,57800.8,0.0,13.43,0.0,1.96,41.97,0.74,14.2,67.8,37.68
1788441048.399,12.91,static_acquire_stac,1,870.2,870.2,122.9,44.8,7987.7,57563.9,0.0,26.91,0.0,1.97,49.72,0.79,14.2,67.81,37.67
1788441049.67,14.18,static_acquire_stac,1,891.5,891.5,100.7,41.8,8074.4,57477.2,0.0,40.26,0.0,2.0,49.72,0.79,14.2,67.82,37.65
1788441051.018,15.53,static_acquire_stac,1,885.1,885.1,100.1,40.4,7764.0,57787.7,0.0,53.56,0.0,2.47,49.73,0.8,14.2,67.84,37.64
1788441051.524,16.04,static_classify,6,1192.9,770.6,357.9,74.8,7892.1,57659.6,0.0,53.65,0.0,2.47,49.74,0.8,14.2,67.84,37.64
1788441052.026,16.54,static_classify,6,1524.8,770.6,491.7,88.4,7944.3,57607.4,0.0,53.65,0.0,2.47,49.75,0.9,14.2,67.84,37.64
1788441052.528,17.04,static_classify,6,1957.3,770.6,424.8,79.2,8088.0,57463.7,0.0,53.65,0.0,2.47,49.75,0.91,14.2,67.84,37.64
1788441053.029,17.54,static_classify,6,2879.8,770.6,430.6,81.0,9102.6,56449.0,0.0,53.65,0.0,2.6,49.75,0.91,14.2,67.84,37.64
1788441053.531,18.04,static_classify,6,3029.0,770.6,294.9,63.4,9389.0,56162.7,0.0,53.65,0.0,2.77,49.75,0.91,14.2,67.84,37.64
1788441054.033,18.54,static_classify,6,3030.4,770.6,99.7,43.9,9569.7,55982.0,0.0,53.65,0.0,2.78,49.75,0.91,14.2,67.84,37.64
1788441054.534,19.05,static_classify,6,3030.4,770.6,101.7,40.9,9600.8,55950.9,0.0,53.65,0.0,2.78,49.75,0.91,54.3,67.84,37.64
1788441055.044,19.56,static_classify,6,3030.4,770.6,100.1,46.9,9781.8,55769.9,0.0,53.66,0.0,2.78,49.75,0.92,54.3,67.84,37.64
1788441055.545,20.06,static_classify,6,3030.5,770.6,99.7,41.4,9819.5,55732.1,0.0,53.66,0.0,2.78,49.76,0.92,54.3,67.84,37.64
1788441056.047,20.56,sieve,2,803.1,790.1,51.8,55.0,7997.7,57554.4,0.0,53.74,0.0,3.13,49.76,0.92,54.3,67.78,37.69
1788441056.617,21.13,pipeline,2,804.9,791.9,89.5,41.1,8021.0,57530.6,0.0,55.33,0.0,4.99,49.76,0.92,54.3,67.78,37.69
