t_epoch,elapsed_s,stage,n_procs,rss_tree_mb,rss_max_proc_mb,cpu_tree_pct,cpu_system_pct,mem_system_used_mb,mem_system_available_mb,tree_read_mb,tree_write_mb,sys_read_mb,sys_write_mb,net_recv_mb,net_sent_mb,outdir_mb,fs_used_gb,fs_free_gb
1788427413.81,0.0,init,1,203.2,203.2,0.0,0.0,7170.7,58382.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.81,39.66
1788427414.317,0.51,ndvi_acquire_stac,1,230.7,230.7,167.7,42.7,7011.7,58541.9,0.0,0.0,0.0,0.24,0.0,0.0,0.0,65.81,39.66
1788427415.147,1.34,ndvi_acquire_stac,1,248.5,248.5,13.3,34.0,7022.5,58531.1,0.0,0.0,0.0,0.52,0.01,0.01,0.0,65.81,39.66
1788427415.648,1.84,ndvi_acquire_stac,1,269.9,269.9,47.9,36.2,7087.2,58466.4,0.0,0.0,0.0,0.73,0.01,0.01,0.0,65.81,39.66
1788427416.149,2.34,ndvi_acquire_stac,1,270.6,270.6,2.0,31.6,6998.9,58554.6,0.0,0.0,0.0,0.95,0.03,0.02,0.0,65.81,39.66
1788427416.651,2.84,ndvi_acquire_stac,1,270.6,270.6,0.0,31.9,7056.2,58497.3,0.0,0.0,0.0,0.95,0.03,0.02,0.0,65.81,39.66
1788427417.152,3.34,ndvi_acquire_stac,1,367.5,367.5,73.8,38.6,7044.5,58509.1,0.0,0.0,0.0,1.28,0.07,0.05,0.0,65.81,39.66
1788427417.656,3.85,ndvi_acquire_stac,1,421.2,421.2,43.7,36.0,7138.4,58415.2,0.0,0.0,0.0,1.37,3.95,0.09,0.0,65.81,39.66
1788427418.157,4.35,ndvi_acquire_stac,1,453.7,453.7,55.9,36.1,6972.0,58581.6,0.0,0.0,0.0,1.75,9.46,0.11,0.0,65.81,39.66
1788427418.659,4.85,ndvi_acquire_stac,1,545.7,545.7,133.6,40.8,7493.2,58060.4,0.0,0.0,0.0,1.94,9.46,0.11,0.0,65.81,39.66
1788427419.315,5.51,ndvi_acquire_stac,1,568.0,568.0,28.9,33.5,7451.4,58102.2,0.0,0.0,0.0,2.2,15.38,0.15,0.0,65.81,39.66
1788427419.816,6.01,ndvi_acquire_stac,1,568.0,568.0,65.8,41.6,7548.1,58005.5,0.0,0.0,0.0,2.25,19.28,0.16,0.0,65.81,39.66
1788427420.318,6.51,ndvi_acquire_stac,1,608.0,608.0,89.8,44.2,7992.9,57560.6,0.0,0.0,0.0,2.57,19.28,0.17,0.0,65.81,39.66
1788427420.819,7.01,ndvi_acquire_stac,1,639.6,639.6,45.9,38.4,7860.8,57692.8,0.0,0.0,0.0,2.57,19.48,0.89,0.0,65.81,39.66
1788427421.32,7.51,ndvi_acquire_stac,1,655.2,655.2,39.9,37.2,8070.8,57482.8,0.0,0.0,0.0,3.5,28.8,0.91,0.0,65.81,39.66
1788427421.821,8.01,ndvi_acquire_stac,1,899.1,899.1,101.7,42.2,8085.1,57468.5,0.0,0.0,0.0,3.5,28.81,0.92,0.0,65.81,39.66
1788427422.323,8.51,ndvi_acquire_stac,1,663.5,663.5,105.7,48.2,8074.4,57479.2,0.0,0.0,0.0,3.5,28.81,0.92,0.0,65.81,39.66
1788427422.827,9.02,ndvi_acquire_stac,1,663.5,663.5,23.8,31.6,7880.2,57673.3,0.0,0.0,0.0,3.55,37.53,0.97,0.0,65.81,39.66
1788427423.328,9.52,ndvi_acquire_stac,1,663.5,663.5,87.8,42.2,8119.3,57434.3,0.0,0.0,0.0,3.87,38.51,0.98,0.0,65.81,39.66
1788427423.83,10.02,ndvi_acquire_stac,1,723.3,723.3,87.8,38.6,8032.3,57521.3,0.0,0.0,0.0,3.87,38.51,0.98,0.0,65.81,39.66
1788427424.431,10.62,ndvi_acquire_stac,1,891.1,891.1,128.1,39.8,8289.3,57264.2,0.0,0.0,0.0,4.12,38.57,1.04,0.0,65.81,39.66
1788427425.242,11.43,ndvi_acquire_stac,1,892.9,892.9,92.4,44.6,8167.7,57385.9,0.0,0.0,0.0,4.49,38.58,1.04,0.0,65.81,39.66
1788427425.77,11.96,ndvi_acquire_stac,1,1138.6,1138.6,142.2,48.6,8401.1,57152.5,0.0,0.0,0.0,4.52,51.69,1.23,0.0,65.81,39.66
1788427426.271,12.46,ndvi_acquire_stac,1,1280.5,1280.5,203.4,53.4,8617.4,56936.2,0.0,0.0,0.0,4.74,60.94,1.26,0.0,65.81,39.66
1788427426.773,12.96,ndvi_acquire_stac,1,1632.1,1632.1,105.5,44.5,9095.6,56457.9,0.0,0.0,0.0,6.43,60.94,1.27,0.0,65.81,39.66
1788427427.275,13.47,ndvi_acquire_stac,1,1246.1,1246.1,101.7,41.0,9197.7,56355.9,0.0,0.0,0.0,6.73,60.94,1.27,0.0,65.81,39.66
1788427427.78,13.97,ndvi_acquire_stac,1,1247.2,1247.2,116.7,43.5,9251.2,56302.4,0.0,0.0,0.0,25.09,60.94,1.27,0.0,65.81,39.66
1788427428.342,14.53,ndvi_acquire_stac,1,1247.2,1247.2,137.1,46.2,9163.3,56390.3,0.0,0.01,0.0,26.17,60.95,1.27,0.0,65.81,39.66
1788427428.89,15.08,ndvi_acquire_stac,1,1304.6,1304.6,111.2,45.7,9101.6,56451.9,0.0,0.01,0.0,26.17,78.66,1.44,0.0,65.81,39.66
