t_epoch,elapsed_s,stage,n_procs,rss_tree_mb,rss_max_proc_mb,cpu_tree_pct,cpu_system_pct,mem_system_used_mb,mem_system_available_mb,tree_read_mb,tree_write_mb,sys_read_mb,sys_write_mb,net_recv_mb,net_sent_mb,outdir_mb,fs_used_gb,fs_free_gb
1788426954.011,0.0,ndvi_acquire_stac,1,203.0,203.0,0.0,0.0,6939.3,58614.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.17,40.31
1788426954.518,0.51,ndvi_acquire_stac,1,228.0,228.0,145.9,40.7,6965.5,58588.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,65.17,40.31
1788426955.325,1.32,ndvi_acquire_stac,1,251.5,251.5,28.5,25.7,6889.8,58663.7,0.0,0.0,0.0,0.28,0.04,0.02,0.0,65.17,40.31
1788426955.827,1.82,ndvi_acquire_stac,1,273.1,273.1,49.9,36.6,6997.2,58556.4,0.0,0.0,0.0,0.8,0.04,0.02,0.0,65.17,40.31
1788426956.328,2.32,ndvi_acquire_stac,1,276.2,276.2,8.0,31.7,6986.6,58566.9,0.0,0.0,0.0,0.8,0.09,0.05,0.0,65.17,40.31
1788426956.83,2.82,ndvi_acquire_stac,1,276.2,276.2,0.0,30.6,7070.8,58482.8,0.0,0.0,0.0,1.43,0.1,0.05,0.0,65.17,40.31
1788426957.331,3.32,ndvi_acquire_stac,1,313.0,313.0,105.7,41.3,7024.6,58529.0,0.0,0.0,0.0,1.43,0.23,0.13,0.0,65.17,40.31
1788426957.895,3.89,ndvi_acquire_stac,1,441.3,441.3,106.4,43.7,7150.2,58403.4,0.0,0.0,0.0,3.07,0.23,0.13,0.0,65.17,40.31
1788426958.419,4.41,ndvi_acquire_stac,1,443.2,443.2,146.9,43.1,7058.8,58494.7,0.0,0.0,0.0,3.07,0.24,0.13,0.0,65.17,40.31
1788426958.962,4.95,ndvi_acquire_stac,1,522.8,522.8,86.5,41.3,7107.2,58446.4,0.0,0.0,0.0,3.2,9.95,0.28,0.0,65.17,40.31
1788426959.618,5.61,ndvi_acquire_stac,1,626.6,626.6,237.8,55.0,7486.7,58066.9,0.0,0.0,0.0,3.2,12.26,0.29,0.0,65.17,40.31
1788426960.482,6.47,ndvi_acquire_stac,1,587.3,587.3,136.6,46.9,7393.2,58160.3,0.0,0.0,0.0,3.21,15.32,0.34,0.0,65.17,40.31
1788426961.01,7.0,ndvi_acquire_stac,1,827.8,827.8,219.8,57.5,7475.1,58078.4,0.0,0.0,0.0,4.96,23.14,0.4,0.0,65.17,40.31
1788426961.719,7.71,ndvi_acquire_stac,1,758.9,758.9,121.2,43.0,7563.7,57989.8,0.0,0.0,0.0,4.96,26.17,0.47,0.0,65.17,40.31
1788426962.316,8.31,ndvi_acquire_stac,1,773.6,773.6,110.7,44.9,7653.6,57900.0,0.0,0.0,0.0,5.02,26.17,0.47,0.0,65.17,40.31
1788426962.832,8.82,ndvi_acquire_stac,1,802.9,802.9,133.7,45.3,7628.2,57925.4,0.0,0.0,0.0,5.28,36.68,0.57,0.0,65.17,40.31
1788426963.341,9.33,ndvi_acquire_stac,1,870.8,870.8,391.3,57.1,7908.1,57645.4,0.0,0.0,0.0,5.98,39.64,0.62,0.0,65.17,40.31
1788426964.283,10.27,ndvi_acquire_stac,1,983.9,983.9,116.7,41.1,7901.4,57652.2,0.0,0.0,0.0,6.37,39.66,0.65,0.0,65.17,40.31
1788426965.198,11.19,ndvi_acquire_stac,1,994.3,994.3,100.5,48.9,7941.8,57611.7,0.0,0.0,0.0,6.39,39.69,0.67,0.0,65.17,40.31
1788426965.742,11.73,ndvi_acquire_stac,1,1142.8,1142.8,253.7,60.0,8119.8,57433.7,0.0,0.0,0.0,6.98,45.27,0.83,0.0,65.17,40.31
1788426966.789,12.78,ndvi_acquire_stac,1,1278.5,1278.5,192.0,51.1,8275.9,57277.6,0.0,0.0,0.0,7.37,60.36,1.1,0.0,65.17,40.31
1788426967.536,13.53,ndvi_acquire_stac,1,1364.6,1364.6,231.7,45.6,8342.7,57210.9,0.0,0.0,0.0,8.31,60.37,1.11,0.0,65.17,40.31
1788426968.715,14.71,ndvi_acquire_stac,1,1373.1,1373.1,83.1,63.9,8415.3,57138.3,0.0,0.0,0.0,8.56,60.43,1.13,0.0,65.17,40.31
1788426969.283,15.27,ndvi_acquire_stac,1,1427.7,1427.7,198.9,69.4,8477.3,57075.9,0.0,0.0,0.0,8.58,62.33,1.23,0.0,65.17,40.31
1788426969.867,15.86,ndvi_acquire_stac,1,1522.8,1522.8,272.4,68.3,8639.9,56913.7,0.0,0.0,0.0,9.32,71.3,2.08,0.0,65.17,40.31
1788426970.915,16.9,ndvi_acquire_stac,1,1616.6,1616.6,237.7,53.6,8844.8,56708.8,0.0,0.0,0.0,9.87,87.3,2.17,0.0,65.17,40.31
1788426971.739,17.73,ndvi_acquire_stac,1,1692.9,1692.9,160.1,52.3,8969.7,56583.8,0.0,0.0,0.0,10.83,87.31,2.18,0.0,65.17,40.31
1788426972.362,18.35,ndvi_acquire_stac,1,1704.4,1704.4,118.8,44.3,8999.6,56554.0,0.0,0.0,0.0,10.83,87.34,2.2,0.0,65.17,40.31
1788426972.946,18.94,ndvi_acquire_stac,1,1710.7,1710.7,179.7,50.3,8859.0,56694.5,0.0,0.0,0.0,10.89,91.39,2.26,0.0,65.17,40.31
1788426973.471,19.46,ndvi_acquire_stac,1,1692.7,1692.7,278.4,65.5,8808.1,56745.5,0.0,0.0,0.0,11.01,97.39,2.39,0.0,65.17,40.31
1788426973.977,19.97,ndvi_acquire_stac,1,1967.7,1967.7,337.4,50.0,8833.7,56719.9,0.0,0.0,0.0,11.6,102.4,2.45,0.0,65.17,40.31
1788426975.378,21.37,ndvi_acquire_stac,1,1874.3,1874.3,85.0,44.5,8978.2,56575.4,0.0,0.0,0.0,13.36,102.4,2.46,0.0,65.17,40.31
1788426976.307,22.3,ndvi_acquire_stac,1,1958.0,1958.0,161.4,49.0,8920.9,56632.7,0.0,0.01,0.0,13.45,106.06,2.55,0.0,65.17,40.31
1788426977.119,23.11,ndvi_acquire_stac,1,2037.4,2037.4,221.8,50.3,9118.6,56435.0,0.0,0.01,0.0,13.54,111.75,2.6,0.0,65.17,40.31
1788426978.216,24.21,ndvi_acquire_stac,1,1991.8,1991.8,68.4,44.2,9123.1,56430.5,0.0,0.01,0.0,14.29,111.79,2.64,0.0,65.17,40.31
1788426978.748,24.74,ndvi_acquire_stac,1,1976.3,1976.3,182.5,43.7,9186.0,56367.6,0.0,0.01,0.0,15.65,111.8,2.65,0.0,65.17,40.31
1788426979.667,25.66,ndvi_acquire_stac,1,1976.3,1976.3,92.4,50.6,9158.0,56395.6,0.0,0.01,0.0,16.11,111.8,2.65,0.0,65.17,40.31
1788426980.332,26.32,ndvi_acquire_stac,1,1978.2,1978.2,162.6,47.3,9194.6,56359.0,0.0,0.01,0.0,18.23,113.36,2.73,0.0,65.17,40.31
1788426980.875,26.87,ndvi_acquire_stac,1,2085.9,2085.9,222.5,58.0,9072.0,56481.5,0.0,0.01,0.0,18.23,124.08,2.85,0.0,65.17,40.31
1788426981.387,27.38,ndvi_acquire_stac,1,2031.0,2031.0,269.8,44.6,8968.1,56585.4,0.0,0.01,0.0,18.68,124.12,2.88,0.0,65.17,40.31
