t_epoch,elapsed_s,stage,n_procs,rss_tree_mb,rss_max_proc_mb,cpu_tree_pct,cpu_system_pct,mem_system_used_mb,mem_system_available_mb,tree_read_mb,tree_write_mb,sys_read_mb,sys_write_mb,net_recv_mb,net_sent_mb,outdir_mb,fs_used_gb,fs_free_gb
1788427863.355,0.0,ndvi_acquire_stac,1,202.9,202.9,0.0,0.0,7433.0,58120.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.46,39.02
1788427863.878,0.52,ndvi_acquire_stac,1,227.3,227.3,131.8,43.1,7286.0,58267.1,0.0,0.0,0.0,2.01,0.0,0.0,0.0,66.46,39.02
1788427864.681,1.33,ndvi_acquire_stac,1,249.3,249.3,42.4,37.4,7170.7,58382.4,0.0,0.0,0.0,2.53,0.02,0.02,0.0,66.46,39.02
1788427865.182,1.83,ndvi_acquire_stac,1,270.8,270.8,47.9,36.8,7284.5,58268.6,0.0,0.0,0.0,2.66,0.02,0.02,0.0,66.46,39.02
1788427865.683,2.33,ndvi_acquire_stac,1,271.7,271.7,6.0,29.6,7106.7,58446.4,0.0,0.0,0.0,3.09,0.04,0.03,0.0,66.46,39.02
1788427866.185,2.83,ndvi_acquire_stac,1,272.3,272.3,0.0,33.3,7246.6,58306.6,0.0,0.0,0.0,3.09,0.05,0.03,0.0,66.46,39.02
1788427866.786,3.43,ndvi_acquire_stac,1,302.1,302.1,68.2,40.6,7125.4,58427.7,0.0,0.0,0.0,3.18,0.13,0.08,0.0,66.46,39.02
1788427867.306,3.95,ndvi_acquire_stac,1,373.9,373.9,109.5,42.1,7163.6,58389.5,0.0,0.0,0.0,3.19,0.16,0.1,0.0,66.46,39.02
1788427867.808,4.45,ndvi_acquire_stac,1,492.5,492.5,91.7,43.0,7389.4,58163.7,0.0,0.0,0.0,3.88,5.05,0.16,0.0,66.46,39.02
1788427868.309,4.96,ndvi_acquire_stac,1,454.1,454.1,135.6,37.0,7395.8,58157.4,0.0,0.0,0.0,4.16,5.09,0.18,0.0,66.46,39.02
1788427868.811,5.46,ndvi_acquire_stac,1,607.6,607.6,87.8,41.6,7510.0,58043.1,0.0,0.0,0.0,4.4,10.07,0.21,0.0,66.46,39.02
1788427869.411,6.06,ndvi_acquire_stac,1,575.2,575.2,76.6,40.5,7630.8,57922.3,0.0,0.0,0.0,4.57,10.08,0.23,0.0,66.46,39.02
1788427869.924,6.57,ndvi_acquire_stac,1,584.4,584.4,68.2,37.8,7619.5,57933.6,0.0,0.0,0.0,5.41,13.24,0.29,0.0,66.46,39.02
1788427870.663,7.31,ndvi_acquire_stac,1,658.8,658.8,132.6,48.3,7563.5,57989.6,0.0,0.0,0.0,5.71,15.19,0.55,0.0,66.46,39.02
1788427871.174,7.82,ndvi_acquire_stac,1,701.3,701.3,100.0,41.9,7677.8,57875.4,0.0,0.0,0.0,5.71,20.11,0.6,0.0,66.46,39.02
1788427871.684,8.33,ndvi_acquire_stac,1,750.5,750.5,101.8,45.3,7617.3,57935.8,0.0,0.0,0.0,6.17,20.13,0.64,0.0,66.46,39.02
1788427872.213,8.86,ndvi_acquire_stac,1,811.1,811.1,121.0,45.1,7709.5,57843.7,0.0,0.0,0.0,6.17,20.15,0.65,0.0,66.46,39.02
1788427872.744,9.39,ndvi_acquire_stac,1,814.5,814.5,154.6,48.9,7680.1,57873.0,0.0,0.0,0.0,7.42,20.18,0.67,0.0,66.46,39.02
1788427873.279,9.93,ndvi_acquire_stac,1,902.7,902.7,147.5,69.9,7792.1,57761.0,0.0,0.0,0.0,7.58,28.32,0.82,0.0,66.46,39.02
1788427873.809,10.46,ndvi_acquire_stac,1,918.2,918.2,173.6,53.0,7908.2,57644.9,0.0,0.0,0.0,7.58,30.86,1.51,0.0,66.46,39.02
1788427874.333,10.98,ndvi_acquire_stac,1,960.8,960.8,151.0,48.2,8121.0,57432.2,0.0,0.0,0.0,7.63,30.86,1.52,0.0,66.46,39.02
1788427874.87,11.52,ndvi_acquire_stac,1,966.3,966.3,150.9,53.3,8071.1,57482.1,0.0,0.0,0.0,8.29,35.97,1.61,0.0,66.46,39.02
1788427875.371,12.02,ndvi_acquire_stac,1,1117.6,1117.6,213.4,62.5,8264.5,57288.6,0.0,0.0,0.0,8.84,41.69,1.66,0.0,66.46,39.02
1788427876.146,12.79,ndvi_acquire_stac,1,1076.4,1076.4,76.1,43.0,8257.3,57295.8,0.0,0.0,0.0,10.8,41.7,1.68,0.0,66.46,39.02
1788427876.654,13.3,ndvi_acquire_stac,1,1076.5,1076.5,88.6,40.0,8255.4,57297.8,0.0,0.01,0.0,11.3,43.81,1.74,0.0,66.46,39.02
1788427877.163,13.81,ndvi_acquire_stac,1,1172.5,1172.5,125.7,45.4,8322.7,57230.4,0.0,0.01,0.0,12.09,46.54,1.76,0.0,66.46,39.02
1788427877.815,14.46,ndvi_acquire_stac,1,1181.2,1181.2,115.0,41.2,8156.6,57396.5,0.0,0.01,0.0,12.11,46.54,1.76,0.0,66.46,39.02
1788427878.433,15.08,ndvi_acquire_stac,1,1136.6,1136.6,95.5,43.2,8270.3,57282.8,0.0,0.01,0.0,12.14,46.6,1.79,0.0,66.46,39.02
1788427878.939,15.58,ndvi_acquire_stac,1,1147.6,1147.6,116.7,41.2,8243.9,57309.2,0.0,0.01,0.0,13.49,51.18,1.85,0.0,66.46,39.02
1788427879.669,16.31,ndvi_acquire_stac,1,1167.2,1167.2,91.8,45.7,8255.2,57297.9,0.0,0.01,0.0,13.49,51.19,1.86,0.0,66.46,39.02
1788427880.172,16.82,ndvi_acquire_stac,1,1171.2,1171.2,61.5,37.5,8277.2,57275.9,0.0,0.01,0.0,16.28,54.25,1.92,0.0,66.46,39.02
1788427880.674,17.32,ndvi_acquire_stac,1,1235.4,1235.4,139.6,49.9,8450.2,57102.9,0.0,0.01,0.0,17.06,56.12,1.93,0.0,66.46,39.02
1788427881.179,17.82,ndvi_acquire_stac,1,1205.7,1205.7,95.1,41.2,8380.7,57172.4,0.0,0.01,0.0,18.01,57.33,2.07,0.0,66.46,39.02
1788427881.68,18.33,ndvi_acquire_stac,1,1252.2,1252.2,91.7,42.6,8311.7,57241.4,0.0,0.01,0.0,18.14,61.14,2.09,0.0,66.46,39.02
1788427882.181,18.83,ndvi_acquire_stac,1,1252.0,1252.0,85.8,40.8,8307.0,57246.1,0.0,0.01,0.0,18.14,61.21,2.14,0.0,66.46,39.02
