t_epoch,elapsed_s,stage,n_procs,rss_tree_mb,rss_max_proc_mb,cpu_tree_pct,cpu_system_pct,mem_system_used_mb,mem_system_available_mb,tree_read_mb,tree_write_mb,sys_read_mb,sys_write_mb,net_recv_mb,net_sent_mb,outdir_mb,fs_used_gb,fs_free_gb
1788425031.368,0.0,static_acquire_stac,1,202.6,202.6,0.0,0.0,6673.0,58881.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,65.06,40.42
1788425031.876,0.51,static_acquire_stac,1,222.4,222.4,153.4,40.2,6698.1,58855.9,0.0,0.01,0.0,0.0,0.0,0.0,7.0,65.06,40.42
1788425032.685,1.32,static_acquire_stac,1,241.1,241.1,17.3,35.0,6811.9,58742.0,0.0,0.01,0.0,0.22,0.01,0.01,7.0,65.06,40.42
1788425033.186,1.82,static_acquire_stac,1,264.8,264.8,53.8,36.7,6700.2,58853.7,0.0,0.01,0.0,0.22,0.01,0.01,7.0,65.06,40.42
1788425033.72,2.35,static_acquire_stac,1,279.8,279.8,11.3,30.4,6867.1,58686.8,0.0,0.01,0.0,0.22,0.02,0.02,7.0,65.06,40.42
1788425034.221,2.85,static_acquire_stac,1,281.6,281.6,4.0,30.3,6865.5,58688.5,0.0,0.01,0.0,0.47,0.05,0.03,7.0,65.06,40.42
1788425034.722,3.36,static_acquire_stac,1,299.4,299.4,21.9,33.9,7040.9,58513.1,0.0,0.01,0.0,0.47,0.05,0.03,7.0,65.06,40.42
1788425035.223,3.86,static_acquire_stac,1,303.2,303.2,8.0,30.6,6869.9,58684.1,0.0,0.01,0.0,0.71,0.06,0.04,7.0,65.06,40.42
1788425035.725,4.36,static_acquire_stac,1,303.5,303.5,2.0,30.8,6985.0,58569.0,0.0,0.01,0.0,0.78,0.08,0.04,7.0,65.06,40.42
1788425036.226,4.86,static_acquire_stac,1,319.3,319.3,8.0,33.4,7020.2,58533.7,0.0,0.01,0.0,0.92,0.24,0.05,7.0,65.06,40.42
1788425036.727,5.36,static_acquire_stac,1,325.2,325.2,6.0,32.6,6985.9,58568.1,0.0,0.01,0.0,0.92,0.41,0.06,7.0,65.06,40.42
1788425037.229,5.86,static_acquire_stac,1,325.9,325.9,4.0,33.8,7067.9,58486.0,0.0,0.01,0.0,0.92,0.56,0.18,7.0,65.06,40.42
1788425037.73,6.36,static_acquire_stac,1,325.9,325.9,0.0,24.7,7110.1,58443.8,0.0,0.01,0.0,0.92,1.17,0.19,7.0,65.06,40.42
1788425038.231,6.86,static_acquire_stac,1,329.1,329.1,2.0,21.5,7168.0,58385.9,0.0,0.01,0.0,1.02,2.35,0.2,7.0,65.06,40.42
1788425038.733,7.37,static_acquire_stac,1,334.4,334.4,4.0,31.0,7237.7,58316.2,0.0,0.01,0.0,1.02,3.94,0.21,7.0,65.06,40.42
