t_epoch,elapsed_s,stage,n_procs,rss_tree_mb,rss_max_proc_mb,cpu_tree_pct,cpu_system_pct,mem_system_used_mb,mem_system_available_mb,tree_read_mb,tree_write_mb,sys_read_mb,sys_write_mb,net_recv_mb,net_sent_mb,outdir_mb,fs_used_gb,fs_free_gb
1788425064.286,0.0,init,1,203.0,203.0,0.0,0.0,7231.6,58322.4,0.0,0.0,0.0,0.0,0.0,0.0,61.2,65.11,40.37
1788425064.787,0.5,pipeline,1,255.6,255.6,73.8,40.0,7231.3,58322.6,0.0,0.0,0.0,0.0,0.02,0.01,61.2,65.11,40.37
1788425065.289,1.0,pipeline,1,256.9,256.9,0.0,31.1,6925.7,58628.2,0.0,0.0,0.0,0.02,0.06,0.01,61.2,65.11,40.37
1788425065.79,1.5,pipeline,1,257.5,257.5,2.0,32.9,7044.0,58510.0,0.0,0.0,0.0,0.15,0.1,0.02,61.2,65.11,40.37
1788425066.291,2.01,static_acquire_gee,1,271.9,271.9,19.9,35.0,6897.3,58656.6,0.0,0.01,0.0,0.24,0.43,0.04,61.2,65.11,40.37
1788425066.792,2.51,static_acquire_gee,1,271.9,271.9,0.0,32.1,7036.5,58517.4,0.0,0.01,0.0,0.43,0.43,0.16,61.2,65.11,40.37
1788425067.294,3.01,static_acquire_gee,1,272.0,272.0,2.0,31.4,6791.3,58762.7,0.0,0.01,0.0,0.52,0.43,0.16,61.2,65.11,40.37
1788425067.795,3.51,static_acquire_gee,1,272.0,272.0,0.0,31.5,6891.0,58663.0,0.0,0.01,0.0,0.52,0.43,0.16,61.2,65.11,40.37
1788425068.296,4.01,static_acquire_gee,1,272.0,272.0,0.0,28.7,6999.2,58554.7,0.0,0.01,0.0,0.56,0.43,0.17,61.2,65.11,40.37
1788425068.798,4.51,static_acquire_gee,1,272.0,272.0,0.0,33.3,7108.4,58445.5,0.0,0.01,0.0,0.56,0.44,0.77,61.2,65.11,40.37
1788425069.299,5.01,static_acquire_gee,1,272.0,272.0,0.0,27.8,7155.6,58398.4,0.0,0.01,0.0,0.56,0.44,0.77,61.2,65.11,40.37
1788425069.803,5.52,static_acquire_gee,1,272.0,272.0,0.0,32.6,7295.9,58258.1,0.0,0.01,0.0,0.71,0.44,0.77,61.2,65.11,40.37
1788425070.304,6.02,static_acquire_gee,1,272.0,272.0,0.0,29.7,7155.1,58398.8,0.0,0.01,0.0,0.76,0.45,0.82,61.2,65.11,40.37
1788425070.805,6.52,static_acquire_gee,1,272.0,272.0,2.0,27.4,7235.0,58318.9,0.0,0.01,0.0,0.87,0.45,0.82,61.2,65.11,40.37
1788425071.306,7.02,static_acquire_gee,1,272.0,272.0,0.0,30.3,7321.1,58232.8,0.0,0.01,0.0,0.89,0.45,0.82,61.2,65.11,40.37
1788425071.808,7.52,static_acquire_gee,1,272.0,272.0,0.0,32.2,7178.2,58375.7,0.0,0.01,0.0,0.89,0.45,0.83,61.2,65.11,40.37
1788425072.309,8.02,static_acquire_gee,1,272.0,272.0,0.0,31.2,7272.1,58281.9,0.0,0.01,0.0,0.89,0.45,0.83,61.2,65.11,40.37
1788425072.81,8.53,static_acquire_gee,1,272.0,272.0,0.0,32.2,7215.9,58338.1,0.0,0.01,0.0,0.98,0.45,0.83,61.2,65.11,40.37
1788425073.311,9.03,static_acquire_gee,1,272.0,272.0,0.0,29.7,7239.1,58314.9,0.0,0.01,0.0,0.98,0.45,0.83,61.2,65.11,40.37
1788425073.813,9.53,static_acquire_gee,1,272.0,272.0,0.0,30.0,7191.5,58362.4,0.0,0.01,0.0,1.1,0.45,0.83,61.2,65.11,40.37
1788425074.314,10.03,static_acquire_gee,1,272.0,272.0,0.0,33.0,7278.2,58275.8,0.0,0.01,0.0,1.11,0.45,0.83,61.2,65.11,40.37
1788425074.816,10.53,static_acquire_gee,1,272.0,272.0,2.0,31.6,7387.9,58166.1,0.0,0.01,0.0,1.13,0.46,0.84,61.2,65.11,40.37
1788425075.317,11.03,static_acquire_gee,1,272.0,272.0,0.0,28.9,7336.1,58217.9,0.0,0.01,0.0,1.13,0.46,0.84,61.2,65.11,40.37
1788425075.818,11.53,static_acquire_gee,1,272.0,272.0,0.0,33.3,7391.8,58162.2,0.0,0.01,0.0,1.13,0.46,0.84,61.2,65.11,40.37
1788425076.32,12.03,static_acquire_gee,1,272.0,272.0,0.0,30.5,7360.3,58193.6,0.0,0.01,0.0,1.13,0.46,0.84,61.2,65.11,40.37
1788425076.821,12.54,static_acquire_gee,1,272.0,272.0,0.0,31.5,7163.6,58390.4,0.0,0.01,0.0,1.45,0.46,0.97,61.2,65.11,40.37
1788425077.322,13.04,static_acquire_gee,1,272.0,272.0,0.0,31.2,7247.5,58306.5,0.0,0.01,0.0,1.51,0.47,0.97,61.2,65.11,40.37
1788425077.823,13.54,static_acquire_gee,1,272.0,272.0,0.0,31.0,7088.4,58465.6,0.0,0.01,0.0,1.81,0.47,0.97,61.2,65.11,40.37
1788425078.325,14.04,static_acquire_gee,1,272.0,272.0,0.0,30.6,7276.5,58277.5,0.0,0.01,0.0,1.89,0.47,0.97,61.2,65.11,40.37
1788425078.826,14.54,static_acquire_gee,1,272.0,272.0,2.0,29.9,7175.6,58378.4,0.0,0.01,0.0,1.89,0.47,0.97,61.2,65.11,40.37
1788425079.327,15.04,static_acquire_gee,1,272.0,272.0,0.0,33.5,7423.4,58130.5,0.0,0.01,0.0,1.89,0.47,1.57,61.2,65.11,40.37
1788425079.829,15.54,static_acquire_gee,1,272.0,272.0,0.0,32.0,7505.6,58048.4,0.0,0.01,0.0,1.9,0.48,1.58,61.2,65.11,40.37
1788425080.33,16.05,static_acquire_gee,1,272.0,272.0,0.0,30.4,7628.5,57925.5,0.0,0.01,0.0,1.97,0.48,1.58,61.2,65.11,40.37
1788425080.831,16.55,static_acquire_gee,1,272.0,272.0,0.0,30.8,7733.9,57820.0,0.0,0.01,0.0,1.97,0.48,1.58,61.2,65.11,40.37
1788425081.333,17.05,static_acquire_gee,1,272.0,272.0,0.0,29.6,7591.9,57962.0,0.0,0.01,0.0,1.97,0.48,1.61,61.2,65.11,40.37
1788425081.834,17.55,static_acquire_gee,1,272.0,272.0,0.0,29.8,7590.8,57963.2,0.0,0.01,0.0,2.11,0.48,1.61,61.2,65.11,40.37
1788425082.335,18.05,static_acquire_gee,1,272.0,272.0,0.0,29.5,7591.3,57962.7,0.0,0.01,0.0,29.29,0.48,1.61,61.2,65.11,40.37
1788425082.836,18.55,static_acquire_gee,1,272.0,272.0,2.0,28.6,7595.9,57958.1,0.0,0.01,0.0,29.45,0.49,1.61,61.2,65.11,40.37
1788425083.338,19.05,static_acquire_gee,1,272.0,272.0,0.0,28.3,7627.5,57926.4,0.0,0.01,0.0,29.45,0.49,1.62,61.2,65.11,40.37
1788425083.839,19.55,static_acquire_gee,1,272.0,272.0,0.0,32.5,7579.6,57974.3,0.0,0.01,0.0,29.45,0.49,1.62,61.2,65.11,40.37
1788425084.34,20.06,static_acquire_gee,1,272.0,272.0,0.0,28.5,7605.3,57948.7,0.0,0.01,0.0,29.45,0.49,1.62,61.2,65.11,40.37
1788425084.842,20.56,static_acquire_gee,1,272.0,272.0,0.0,32.6,7627.3,57926.7,0.0,0.01,0.0,29.51,0.49,1.62,61.2,65.11,40.37
1788425085.343,21.06,static_acquire_gee,1,272.0,272.0,0.0,31.9,7613.3,57940.7,0.0,0.01,0.0,29.51,0.49,1.63,61.2,65.11,40.37
1788425085.844,21.56,static_acquire_gee,1,272.0,272.0,0.0,31.0,7571.6,57982.4,0.0,0.01,0.0,29.6,0.49,1.63,61.2,65.11,40.37
1788425086.346,22.06,static_acquire_gee,1,272.0,272.0,0.0,29.4,7590.8,57963.1,0.0,0.01,0.0,29.6,0.49,1.63,61.2,65.11,40.37
1788425086.847,22.56,static_acquire_gee,1,272.0,272.0,2.0,31.3,7553.4,58000.6,0.0,0.01,0.0,29.6,0.5,1.63,61.2,65.11,40.37
1788425087.349,23.06,static_acquire_gee,1,272.0,272.0,0.0,30.2,7554.4,57999.5,0.0,0.01,0.0,56.49,0.5,1.63,61.2,65.11,40.37
1788425087.85,23.57,static_acquire_gee,1,272.0,272.0,0.0,29.3,7489.1,58064.9,0.0,0.01,0.0,56.49,0.5,1.63,61.2,65.11,40.37
1788425088.352,24.07,static_acquire_gee,1,272.0,272.0,0.0,31.9,7416.1,58137.8,0.0,0.01,0.0,56.61,0.5,1.64,61.2,65.11,40.37
1788425088.853,24.57,static_acquire_gee,1,272.0,272.0,0.0,33.0,7408.4,58145.6,0.0,0.01,0.0,56.76,0.5,1.64,61.2,65.11,40.37
1788425089.355,25.07,static_acquire_gee,1,272.0,272.0,0.0,32.9,7408.8,58145.1,0.0,0.01,0.0,56.76,0.5,1.64,61.2,65.11,40.37
1788425089.857,25.57,static_acquire_gee,1,272.0,272.0,0.0,29.5,7401.6,58152.3,0.0,0.01,0.0,56.83,0.5,1.64,61.2,65.11,40.37
1788425090.358,26.07,static_acquire_gee,1,272.0,272.0,0.0,30.8,7183.6,58370.4,0.0,0.01,0.0,58.4,0.5,1.64,61.2,65.11,40.37
1788425090.859,26.57,static_acquire_gee,1,272.0,272.0,0.0,30.3,7128.0,58426.0,0.0,0.01,0.0,58.4,0.5,1.64,61.2,65.11,40.37
1788425091.36,27.08,static_acquire_gee,1,272.0,272.0,0.0,28.9,7060.5,58493.4,0.0,0.01,0.0,58.45,0.5,1.64,61.2,65.11,40.37
1788425091.862,27.58,static_acquire_gee,1,272.0,272.0,0.0,28.6,6865.4,58688.5,0.0,0.01,0.0,58.45,0.51,1.67,61.2,65.11,40.37
