t_epoch,elapsed_s,stage,n_procs,rss_tree_mb,rss_max_proc_mb,cpu_tree_pct,cpu_system_pct,mem_system_used_mb,mem_system_available_mb,tree_read_mb,tree_write_mb,sys_read_mb,sys_write_mb,net_recv_mb,net_sent_mb,outdir_mb,fs_used_gb,fs_free_gb
1788425376.4,0.0,static_acquire_stac,1,203.0,203.0,0.0,0.0,6956.5,58597.4,0.0,0.0,0.0,0.0,0.0,0.0,101.6,65.16,40.32
1788425376.937,0.54,static_acquire_stac,1,227.1,227.1,128.6,43.7,7060.6,58493.4,0.0,0.01,0.0,0.0,0.0,0.0,101.6,65.16,40.32
1788425377.715,1.32,static_acquire_stac,1,251.1,251.1,42.4,33.4,7116.0,58438.0,0.0,0.01,0.0,0.08,0.03,0.02,101.6,65.16,40.32
1788425378.219,1.82,static_acquire_stac,1,269.5,269.5,47.6,35.7,7234.3,58319.7,0.0,0.01,0.0,0.31,0.04,0.02,101.6,65.16,40.32
1788425378.735,2.34,static_acquire_stac,1,461.2,461.2,34.9,35.6,7431.2,58122.7,0.0,0.01,0.0,0.48,0.06,0.03,101.6,65.16,40.32
1788425379.237,2.84,static_acquire_stac,1,488.6,488.6,69.7,38.3,7351.3,58202.6,0.0,0.09,0.0,0.48,0.07,0.04,101.6,65.16,40.32
1788425379.825,3.43,static_acquire_stac,1,519.7,519.7,56.1,38.2,7530.8,58022.8,0.0,0.09,0.0,5.47,0.15,0.08,101.6,65.16,40.32
1788425380.332,3.93,static_acquire_stac,1,587.6,587.6,82.8,38.5,7516.7,58037.2,0.0,0.09,0.0,5.98,0.36,0.13,101.6,65.16,40.32
1788425380.838,4.44,static_acquire_stac,1,633.1,633.1,65.3,40.3,7593.5,57960.5,0.0,0.09,0.0,5.98,3.0,0.17,101.6,65.16,40.32
1788425381.34,4.94,static_acquire_stac,1,641.5,641.5,93.6,38.3,7489.5,58064.4,0.0,0.09,0.0,6.03,5.56,0.2,101.6,65.16,40.32
1788425381.844,5.45,static_acquire_stac,1,660.8,660.8,73.3,34.6,7514.4,58039.6,0.0,0.09,0.0,6.23,8.25,0.25,101.6,65.16,40.32
1788425382.346,5.95,static_acquire_stac,1,656.1,656.1,81.7,39.6,7565.9,57988.0,0.0,0.09,0.0,6.23,9.24,0.28,101.6,65.16,40.32
1788425383.162,6.76,static_acquire_stac,1,736.4,736.4,102.9,42.7,7675.4,57878.6,0.0,4.94,0.0,6.25,11.86,0.3,101.6,65.16,40.32
1788425384.071,7.67,static_acquire_stac,1,754.7,754.7,100.1,42.3,7663.4,57890.5,0.0,13.2,0.0,6.41,11.86,0.34,101.6,65.17,40.31
1788425384.577,8.18,static_classify,6,1053.4,681.5,363.8,77.1,7779.2,57774.7,0.0,13.3,0.0,6.41,11.87,0.48,101.6,65.17,40.31
1788425385.092,8.69,static_classify,6,1410.2,681.5,458.7,85.2,7913.2,57640.7,0.0,13.3,0.0,7.0,11.87,0.48,101.6,65.17,40.31
1788425385.593,9.19,static_classify,6,1623.2,681.5,476.5,87.9,7973.4,57580.6,0.0,13.3,0.0,7.0,11.87,0.48,101.6,65.17,40.31
1788425386.099,9.7,static_classify,6,2540.1,681.5,403.6,79.1,8767.7,56786.2,0.0,13.3,0.0,7.0,11.87,0.48,101.6,65.17,40.31
1788425386.601,10.2,static_classify,6,2874.6,622.3,436.1,80.9,9251.0,56302.9,0.0,13.3,0.0,7.0,11.87,0.48,101.6,65.17,40.31
1788425387.103,10.7,static_classify,6,2932.1,622.3,99.6,47.7,9333.5,56220.4,0.0,13.3,0.0,7.19,11.88,1.12,101.6,65.17,40.31
1788425387.605,11.21,sieve,2,648.6,635.4,8.0,61.9,8093.7,57460.2,0.0,13.35,0.0,7.27,11.88,1.12,101.6,65.16,40.32
1788425388.138,11.74,vector_stage,2,662.2,649.0,99.4,41.6,7934.2,57619.7,0.0,13.41,0.0,7.3,11.88,1.12,101.6,65.16,40.32
