t_epoch,elapsed_s,stage,n_procs,rss_tree_mb,rss_max_proc_mb,cpu_tree_pct,cpu_system_pct,mem_system_used_mb,mem_system_available_mb,tree_read_mb,tree_write_mb,sys_read_mb,sys_write_mb,net_recv_mb,net_sent_mb,outdir_mb,fs_used_gb,fs_free_gb
1788425389.49,0.0,init,1,202.9,202.9,0.0,0.0,7241.4,58312.6,0.0,0.0,0.0,0.0,0.0,0.0,102.0,65.16,40.32
1788425389.997,0.51,static_acquire_stac,1,228.6,228.6,153.8,41.3,6851.9,58702.0,0.0,0.01,0.0,0.08,0.0,0.01,102.0,65.16,40.32
1788425390.824,1.34,static_acquire_stac,1,265.1,265.1,42.3,39.2,7066.9,58487.0,0.0,0.01,0.0,0.21,0.04,0.03,102.0,65.16,40.32
1788425391.333,1.84,static_acquire_stac,1,372.0,372.0,27.5,32.6,7008.7,58545.2,0.0,0.01,0.0,0.21,0.05,0.03,102.0,65.16,40.32
1788425391.834,2.34,static_acquire_stac,1,375.2,375.2,8.0,35.4,7155.0,58399.0,0.0,0.01,0.0,0.33,0.1,0.18,102.0,65.16,40.32
1788425392.336,2.85,static_acquire_stac,1,390.0,390.0,31.9,35.1,7264.5,58289.5,0.0,0.01,0.0,0.33,0.1,0.18,102.0,65.16,40.32
1788425392.851,3.36,static_acquire_stac,1,424.6,424.6,135.8,44.9,7389.3,58164.7,0.0,0.01,0.0,0.45,0.36,0.33,102.0,65.16,40.32
1788425393.356,3.87,static_acquire_stac,1,498.2,498.2,113.1,41.6,7307.3,58246.6,0.0,0.01,0.0,0.45,0.44,0.37,102.0,65.16,40.32
1788425393.858,4.37,static_acquire_stac,1,543.9,543.9,99.6,44.9,7454.1,58099.9,0.0,0.01,0.0,0.5,0.72,1.03,102.0,65.16,40.32
1788425394.364,4.88,static_acquire_stac,1,590.3,590.3,75.0,38.7,7417.1,58136.9,0.0,0.01,0.0,0.5,8.08,1.1,102.0,65.16,40.32
1788425394.866,5.38,static_acquire_stac,1,641.5,641.5,181.4,54.0,7567.3,57986.6,0.0,0.01,0.0,0.64,12.27,1.14,102.0,65.16,40.32
1788425395.516,6.03,static_acquire_stac,1,676.7,676.7,157.0,47.0,7539.7,58014.2,0.0,0.01,0.0,0.65,23.46,1.22,102.0,65.16,40.32
1788425396.219,6.73,static_acquire_stac,1,699.1,699.1,147.8,48.4,7483.6,58070.3,0.0,0.01,0.0,0.7,34.96,1.29,102.0,65.16,40.32
1788425396.765,7.28,static_acquire_stac,1,705.0,705.0,154.0,52.2,7551.9,58002.0,0.0,0.01,0.0,0.7,38.39,1.97,102.0,65.16,40.32
1788425398.451,8.96,static_acquire_stac,1,761.5,761.5,135.8,49.2,7573.6,57980.3,0.0,13.43,0.0,0.79,49.11,2.06,102.0,65.17,40.31
1788425399.851,10.36,static_acquire_stac,1,869.4,869.4,109.3,43.8,7714.0,57839.8,0.0,26.72,0.0,0.84,49.12,2.14,102.0,65.18,40.29
1788425402.39,12.9,static_acquire_stac,1,874.2,874.2,101.6,42.6,7785.3,57768.6,0.0,53.56,0.0,1.26,49.12,2.14,102.0,65.21,40.27
1788425402.897,13.41,static_classify,6,1212.0,754.0,345.4,73.0,7741.2,57812.7,0.0,53.65,0.0,1.32,49.12,2.14,102.0,65.21,40.27
1788425403.401,13.91,static_classify,6,1518.6,754.0,504.4,87.8,7658.7,57895.2,0.0,53.65,0.0,1.32,49.12,2.14,102.0,65.21,40.27
1788425403.902,14.41,static_classify,6,1825.4,754.0,424.5,80.1,8055.7,57498.3,0.0,53.65,0.0,1.32,49.12,2.14,102.0,65.21,40.27
1788425404.404,14.92,static_classify,6,2817.9,754.8,420.4,80.0,8957.7,56596.2,0.0,53.65,0.0,1.37,49.12,2.14,155.6,65.21,40.27
1788425404.907,15.42,static_classify,6,3021.8,754.8,354.3,70.8,9326.5,56227.4,0.0,53.65,0.0,1.37,49.12,2.15,155.6,65.21,40.27
1788425405.409,15.92,static_classify,6,3065.1,755.2,101.6,44.2,9400.0,56153.9,0.0,53.65,0.0,1.73,49.12,2.15,155.6,65.21,40.27
1788425405.911,16.42,static_classify,6,3065.1,755.2,99.6,42.8,9548.8,56005.1,0.0,53.65,0.0,1.98,49.12,2.18,155.6,65.21,40.27
1788425406.413,16.92,static_classify,6,3065.1,755.2,99.6,43.6,9436.9,56117.0,0.0,53.65,0.0,2.25,49.13,2.18,155.6,65.21,40.27
1788425406.914,17.43,static_classify,6,3026.8,767.1,109.6,44.9,9559.8,55994.1,0.0,53.71,0.0,2.25,49.13,2.18,155.6,65.21,40.27
1788425407.462,17.97,sieve,2,787.2,774.3,49.3,55.2,7851.1,57702.9,0.0,53.73,0.0,2.25,49.13,2.18,155.6,65.16,40.32
1788425408.01,18.52,vector_stage,2,788.1,775.2,94.9,43.9,7937.4,57616.5,0.0,53.81,0.0,2.46,49.13,2.18,155.6,65.16,40.32
