t_epoch,elapsed_s,stage,n_procs,rss_tree_mb,rss_max_proc_mb,cpu_tree_pct,cpu_system_pct,mem_system_used_mb,mem_system_available_mb,tree_read_mb,tree_write_mb,sys_read_mb,sys_write_mb,net_recv_mb,net_sent_mb,outdir_mb,fs_used_gb,fs_free_gb
1788505020.681,0.0,init,1,203.2,203.2,0.0,0.0,6684.7,58929.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.03,37.45
1788505021.192,0.51,ndvi_acquire_stac,1,239.1,239.1,144.9,16.8,6652.0,58961.8,0.0,0.0,0.06,0.15,0.01,0.02,0.0,68.03,37.45
1788505022.012,1.33,ndvi_acquire_stac,1,259.1,259.1,47.6,9.9,6630.2,58983.6,0.0,0.0,0.06,0.15,0.02,0.02,0.0,68.03,37.45
1788505022.513,1.83,ndvi_acquire_stac,1,280.5,280.5,31.9,7.6,6640.5,58973.3,0.0,0.0,0.06,0.15,0.03,0.02,0.0,68.03,37.45
1788505023.014,2.33,ndvi_acquire_stac,1,281.2,281.2,4.0,0.8,6623.3,58990.6,0.0,0.0,0.06,0.16,0.05,0.12,0.0,68.03,37.45
1788505023.515,2.83,ndvi_acquire_stac,1,281.2,281.2,0.0,2.3,6605.7,59008.2,0.0,0.0,0.06,0.16,0.05,0.14,0.0,68.03,37.45
1788505024.016,3.34,ndvi_acquire_stac,1,340.7,340.7,45.9,12.3,6587.4,59026.5,0.0,0.0,0.06,0.16,0.16,0.19,0.0,68.03,37.45
1788505024.517,3.84,ndvi_acquire_stac,1,407.3,407.3,81.8,13.3,6611.1,59002.8,0.0,0.0,0.06,0.24,8.86,0.23,0.0,68.03,37.45
1788505025.024,4.34,ndvi_acquire_stac,1,424.2,424.2,82.9,14.3,6467.5,59146.4,0.0,0.0,0.06,0.24,8.88,0.24,0.0,68.03,37.45
1788505025.545,4.86,ndvi_acquire_stac,1,497.0,497.0,46.0,10.3,6513.2,59100.7,0.0,0.0,0.06,0.24,16.23,0.31,0.0,68.03,37.45
1788505026.046,5.37,ndvi_acquire_stac,1,534.6,534.6,97.8,17.1,6602.4,59011.4,0.0,0.0,0.06,0.36,17.71,0.32,0.0,68.03,37.45
