t_epoch,elapsed_s,stage,n_procs,rss_tree_mb,rss_max_proc_mb,cpu_tree_pct,cpu_system_pct,mem_system_used_mb,mem_system_available_mb,tree_read_mb,tree_write_mb,sys_read_mb,sys_write_mb,net_recv_mb,net_sent_mb,outdir_mb,fs_used_gb,fs_free_gb
1788504864.794,0.0,resolve_models,1,202.4,202.4,0.0,0.0,6943.8,58670.0,0.02,0.0,0.0,0.0,0.0,0.0,0.3,68.01,37.46
1788504865.301,0.51,static_acquire_stac,1,237.6,237.6,140.1,18.4,6912.4,58701.4,0.02,0.01,0.0,0.01,0.01,0.01,0.3,68.01,37.46
1788504866.059,1.27,static_acquire_stac,1,261.3,261.3,59.3,10.2,6908.4,58705.5,0.02,0.01,0.0,0.01,0.05,0.03,0.3,68.01,37.46
1788504866.561,1.77,static_acquire_stac,1,382.0,382.0,37.8,7.4,6995.4,58618.5,0.02,0.01,0.0,0.01,0.06,0.03,0.3,68.01,37.46
1788504867.064,2.27,static_acquire_stac,1,385.1,385.1,8.0,2.2,6979.1,58634.7,0.02,0.01,0.0,0.19,0.11,0.05,0.3,68.01,37.46
1788504867.566,2.77,static_acquire_stac,1,417.7,417.7,37.9,10.4,6971.1,58642.8,0.02,0.01,0.0,0.19,0.19,0.12,0.3,68.01,37.46
1788504868.125,3.33,static_acquire_stac,1,535.1,535.1,89.4,15.3,7033.0,58580.9,0.02,0.01,0.0,0.19,6.08,0.29,0.3,68.01,37.46
1788504868.633,3.84,static_acquire_stac,1,595.5,595.5,143.9,22.4,7071.2,58542.7,0.02,0.01,0.0,0.19,16.6,0.37,0.3,68.01,37.46
1788504869.134,4.34,static_acquire_stac,1,631.1,631.1,143.7,21.5,7050.0,58563.9,0.02,0.01,0.0,0.2,31.34,0.45,0.3,68.01,37.46
1788504869.641,4.85,static_acquire_stac,1,648.8,648.8,189.4,26.1,7036.3,58577.5,0.02,0.01,0.0,0.2,38.15,0.5,0.3,68.01,37.46
1788504871.277,6.48,static_acquire_stac,1,708.4,708.4,124.6,19.8,7027.0,58586.8,0.02,13.48,0.0,0.27,50.22,0.68,13.7,68.03,37.45
1788504872.566,7.77,static_acquire_stac,1,836.1,836.1,107.9,16.4,7082.8,58531.0,0.02,26.99,0.0,0.36,50.22,0.69,13.7,68.04,37.43
1788504873.788,9.0,static_acquire_stac,1,848.2,848.2,102.3,17.0,7058.8,58555.1,0.02,40.54,0.0,0.37,50.23,0.69,13.7,68.05,37.42
1788504875.062,10.27,static_acquire_stac,1,833.1,833.1,100.5,16.0,7041.4,58572.4,0.02,53.94,0.0,0.5,50.23,0.7,13.7,68.07,37.41
1788504875.567,10.77,static_classify,6,1240.8,814.7,380.3,54.3,7186.1,58427.8,0.02,54.03,0.0,0.5,50.23,0.7,13.7,68.07,37.41
1788504876.069,11.28,static_classify,6,1599.7,814.7,572.1,74.6,7342.5,58271.4,0.02,54.03,0.0,0.5,50.23,0.7,13.7,68.07,37.41
1788504876.57,11.78,static_classify,6,2366.0,814.7,404.6,53.2,7780.6,57833.3,27.49,54.03,27.47,0.5,50.23,0.7,13.7,68.07,37.41
1788504877.072,12.28,static_classify,6,3045.5,814.7,472.5,61.2,8406.5,57207.4,27.49,54.03,27.47,0.5,50.24,0.7,13.7,68.07,37.41
1788504877.573,12.78,static_classify,6,3124.3,814.7,137.6,23.8,8421.1,57192.8,27.49,54.03,27.47,0.55,50.24,0.71,13.7,68.07,37.41
1788504878.075,13.28,static_classify,6,3124.3,814.7,99.7,14.4,8421.5,57192.3,27.49,54.03,27.47,0.55,50.24,0.71,13.7,68.07,37.41
1788504878.576,13.78,static_classify,6,3124.3,814.7,99.7,15.3,8421.8,57192.1,27.49,54.03,27.47,0.55,50.24,0.71,54.3,68.07,37.41
1788504879.078,14.28,static_classify,6,3124.3,814.7,101.7,14.7,8422.8,57191.1,27.49,54.03,27.47,0.55,50.24,0.71,54.3,68.07,37.41
1788504879.58,14.79,sieve,2,843.3,830.3,47.8,29.5,6777.3,58836.5,54.96,54.12,27.47,0.65,50.24,0.75,54.3,68.01,37.46
1788504880.097,15.3,pipeline,2,846.4,833.4,96.9,18.3,6773.8,58840.1,54.96,55.83,27.47,0.76,50.25,0.75,54.3,68.02,37.46
