t_epoch,elapsed_s,stage,n_procs,rss_tree_mb,rss_max_proc_mb,cpu_tree_pct,cpu_system_pct,mem_system_used_mb,mem_system_available_mb,tree_read_mb,tree_write_mb,sys_read_mb,sys_write_mb,net_recv_mb,net_sent_mb,outdir_mb,fs_used_gb,fs_free_gb
1788504880.991,0.0,static_acquire_stac,1,202.7,202.7,0.0,0.0,6112.2,59501.7,0.0,0.01,0.0,0.0,0.0,0.0,0.3,68.02,37.46
1788504881.499,0.51,static_acquire_stac,1,231.7,231.7,134.0,17.1,6016.2,59597.7,0.0,0.01,0.0,0.01,0.01,0.01,0.3,68.02,37.46
1788504882.278,1.29,static_acquire_stac,1,250.3,250.3,39.8,6.8,6020.4,59593.4,0.0,0.01,0.0,1.81,0.02,0.01,0.3,68.02,37.46
1788504882.78,1.79,static_acquire_stac,1,250.3,250.3,0.0,2.7,6020.4,59593.4,0.0,0.01,0.0,1.81,0.02,0.01,0.3,68.02,37.46
1788504883.283,2.29,static_acquire_stac,1,251.3,251.3,4.0,3.2,6014.1,59599.8,0.0,0.01,0.0,1.93,0.04,0.08,0.3,68.02,37.46
1788504883.784,2.79,static_acquire_stac,1,251.3,251.3,0.0,2.5,6009.4,59604.5,0.0,0.01,0.0,1.93,0.04,0.09,0.3,68.02,37.46
1788504884.285,3.29,static_acquire_stac,1,312.3,312.3,97.8,19.0,5999.1,59614.8,0.0,0.01,0.0,1.94,0.05,0.09,0.3,68.02,37.46
1788504884.786,3.8,static_acquire_stac,1,316.2,316.2,4.0,3.7,6000.1,59613.8,0.0,0.01,0.0,1.97,0.06,0.1,0.3,68.02,37.46
1788504885.287,4.3,static_acquire_stac,1,316.7,316.7,2.0,6.6,6002.5,59611.3,0.0,0.01,0.0,2.01,0.15,0.24,0.3,68.02,37.46
1788504885.788,4.8,static_acquire_stac,1,336.6,336.6,18.0,4.0,6014.7,59599.2,0.0,0.01,0.0,2.08,0.34,0.25,0.3,68.02,37.46
1788504886.289,5.3,static_acquire_stac,1,347.9,347.9,8.0,4.9,6030.9,59583.0,0.0,0.01,0.0,2.08,0.56,0.25,0.3,68.02,37.46
1788504886.79,5.8,static_acquire_stac,1,347.9,347.9,2.0,0.8,6030.8,59583.1,0.0,0.01,0.13,2.08,0.56,0.26,0.3,68.02,37.46
1788504887.292,6.3,static_acquire_stac,1,347.9,347.9,0.0,3.0,6031.2,59582.7,0.0,0.01,0.13,2.08,0.56,0.26,0.3,68.02,37.46
1788504887.793,6.8,static_acquire_stac,1,347.9,347.9,0.0,1.5,6031.2,59582.7,0.0,0.01,0.13,2.08,0.56,0.26,0.3,68.02,37.46
1788504888.294,7.3,static_acquire_stac,1,347.9,347.9,0.0,4.7,6019.6,59594.2,0.0,0.01,0.14,2.08,0.57,0.39,0.3,68.02,37.46
1788504888.795,7.8,static_acquire_stac,1,347.9,347.9,0.0,2.0,6020.0,59593.9,0.0,0.01,0.14,2.16,0.57,0.4,0.3,68.02,37.46
1788504889.296,8.31,static_acquire_stac,1,347.9,347.9,0.0,2.3,6017.0,59596.9,0.0,0.01,0.14,2.16,0.57,0.4,0.3,68.02,37.46
1788504889.797,8.81,static_acquire_stac,1,347.9,347.9,0.0,2.0,6018.0,59595.9,0.0,0.01,0.14,2.2,0.58,0.4,0.3,68.02,37.46
1788504890.298,9.31,static_acquire_stac,1,347.9,347.9,0.0,3.4,6015.3,59598.6,0.0,0.01,0.14,2.46,0.58,0.41,0.3,68.02,37.46
1788504890.799,9.81,static_acquire_stac,1,350.9,350.9,4.0,4.2,6015.2,59598.6,0.0,0.01,0.14,2.46,0.65,0.41,0.3,68.02,37.46
1788504891.3,10.31,static_acquire_stac,1,357.7,357.7,6.0,3.9,6017.0,59596.8,0.0,0.01,0.14,2.46,0.73,0.42,0.3,68.02,37.46
1788504891.801,10.81,static_acquire_stac,1,362.6,362.6,14.0,4.0,6017.0,59596.8,0.0,0.01,0.14,2.54,0.74,0.43,0.3,68.02,37.46
1788504892.302,11.31,static_acquire_stac,1,363.8,363.8,4.0,3.5,6015.7,59598.2,0.0,0.01,0.14,2.55,0.75,0.44,0.3,68.02,37.46
1788504892.803,11.81,static_acquire_stac,1,364.0,364.0,0.0,0.8,6015.4,59598.4,0.0,0.01,0.14,2.55,0.81,0.44,0.3,68.02,37.46
1788504893.304,12.31,static_acquire_stac,1,370.5,370.5,12.0,5.6,6016.3,59597.5,0.0,0.01,0.14,2.58,0.92,0.45,0.3,68.02,37.46
1788504893.805,12.81,static_acquire_stac,1,381.5,381.5,6.0,3.0,6025.0,59588.9,0.0,0.01,0.14,2.58,0.99,0.45,0.3,68.02,37.46
1788504894.306,13.32,static_acquire_stac,1,381.9,381.9,4.0,5.1,6024.0,59589.9,0.0,0.01,0.14,2.59,1.11,0.46,0.3,68.02,37.46
1788504894.807,13.82,static_acquire_stac,1,383.2,383.2,4.0,2.5,6024.2,59589.7,0.0,0.01,0.14,2.59,1.15,0.46,0.3,68.02,37.46
1788504895.308,14.32,static_acquire_stac,1,383.2,383.2,0.0,0.5,6024.5,59589.4,0.0,0.01,0.14,4.18,1.15,0.46,0.3,68.02,37.46
1788504895.809,14.82,static_acquire_stac,1,383.2,383.2,2.0,2.7,6024.5,59589.4,0.0,0.01,0.14,4.18,1.15,0.46,0.3,68.02,37.46
1788504896.31,15.32,static_acquire_stac,1,383.2,383.2,0.0,1.5,6025.1,59588.7,0.0,0.01,0.14,4.18,1.16,0.47,0.3,68.02,37.46
1788504896.829,15.84,static_acquire_stac,1,394.7,394.7,55.9,8.4,6027.1,59586.8,0.0,0.01,0.14,4.18,1.18,0.47,0.3,68.02,37.46
1788504897.349,16.36,static_acquire_stac,1,401.1,401.1,11.5,3.3,6028.8,59585.1,0.0,0.02,0.14,4.21,1.21,0.49,0.3,68.02,37.46
1788504897.85,16.86,static_acquire_stac,1,401.8,401.8,2.0,1.5,6029.1,59584.8,0.0,0.02,0.14,4.21,1.42,0.5,0.3,68.02,37.46
1788504898.352,17.36,static_acquire_stac,1,428.4,428.4,41.9,11.6,6052.2,59561.6,0.0,0.02,0.14,4.21,1.85,0.57,0.3,68.02,37.46
1788504898.853,17.86,static_acquire_stac,1,457.5,457.5,10.0,3.2,6087.6,59526.3,0.0,0.02,0.14,4.21,2.25,0.58,0.3,68.02,37.46
1788504899.354,18.36,static_acquire_stac,1,462.7,462.7,6.0,3.0,6098.9,59515.0,0.0,0.02,0.14,4.26,2.29,0.59,0.3,68.02,37.46
1788504899.855,18.86,static_acquire_stac,1,464.0,464.0,20.0,4.1,6099.2,59514.7,0.0,0.02,0.14,4.33,2.31,0.6,0.3,68.02,37.46
1788504900.356,19.37,static_acquire_stac,1,464.1,464.1,4.0,3.7,6101.0,59512.9,0.0,0.02,0.14,4.33,2.33,0.6,0.3,68.02,37.46
1788504900.86,19.87,static_acquire_stac,1,466.4,466.4,9.9,2.9,6101.0,59512.9,0.0,0.02,0.14,4.33,2.43,0.61,0.3,68.02,37.46
1788504901.385,20.39,static_acquire_stac,1,468.3,468.3,9.5,3.5,6101.2,59512.7,0.0,0.02,0.14,4.52,2.56,0.61,0.3,68.02,37.46
1788504901.886,20.9,static_acquire_stac,1,473.7,473.7,12.0,10.8,6106.7,59507.1,0.0,0.02,0.14,4.52,2.67,0.64,0.3,68.02,37.46
1788504902.387,21.4,static_acquire_stac,1,477.9,477.9,10.0,3.2,6109.3,59504.5,0.0,0.02,0.14,4.53,2.8,0.7,0.3,68.02,37.46
1788504902.888,21.9,static_acquire_stac,1,502.7,502.7,2.0,1.0,6130.2,59483.7,0.0,0.02,0.14,4.53,2.81,0.71,0.3,68.02,37.46
1788504903.389,22.4,static_acquire_stac,1,579.7,579.7,22.0,6.2,6213.2,59400.6,0.0,0.02,0.14,4.53,2.89,0.75,0.3,68.02,37.46
1788504903.892,22.9,static_acquire_stac,1,621.5,621.5,93.5,16.0,6273.7,59340.2,0.0,0.02,0.14,4.53,3.31,0.98,0.3,68.02,37.46
1788504904.42,23.43,static_acquire_stac,1,709.9,709.9,123.2,19.8,6359.3,59254.6,0.0,0.02,0.14,4.53,16.67,1.05,0.3,68.02,37.46
1788504904.921,23.93,static_acquire_stac,1,744.0,744.0,127.7,18.0,6389.8,59224.1,0.0,0.02,0.14,4.55,31.2,1.12,0.3,68.02,37.46
1788504905.422,24.43,static_acquire_stac,1,753.1,753.1,191.6,28.6,6401.4,59212.5,0.0,0.02,0.14,4.58,40.69,1.17,0.3,68.02,37.46
1788504907.127,26.14,static_acquire_stac,1,836.5,836.5,126.7,20.1,6555.9,59058.2,0.0,13.43,0.14,5.4,52.43,1.37,0.3,68.03,37.45
1788504908.428,27.44,static_acquire_stac,1,961.8,961.8,109.2,17.2,6715.5,58898.2,0.0,26.91,0.15,5.49,52.45,1.53,40.5,68.06,37.42
1788504910.998,30.01,static_acquire_stac,1,947.1,947.1,100.8,17.3,6782.8,58831.0,0.0,53.56,0.15,6.92,52.46,1.54,40.5,68.07,37.41
1788504911.502,30.51,static_classify,6,1248.5,818.4,388.6,53.5,6858.4,58755.5,0.0,53.65,0.15,7.03,52.46,1.54,40.5,68.07,37.41
1788504912.004,31.01,static_classify,6,1652.0,818.4,538.1,71.2,7042.1,58571.7,0.0,53.65,0.15,7.04,52.46,1.54,40.5,68.07,37.41
1788504912.506,31.51,static_classify,6,2458.4,818.4,396.7,53.9,7676.4,57937.5,0.0,53.65,0.15,7.04,52.46,1.54,40.5,68.07,37.41
1788504913.01,32.02,static_classify,6,3073.6,818.4,513.9,65.0,8329.3,57284.6,0.0,53.66,0.15,7.05,52.46,1.54,40.5,68.07,37.41
1788504913.514,32.52,static_classify,6,3128.0,818.4,101.0,18.1,8382.4,57231.5,0.0,53.66,0.15,7.05,52.46,1.55,40.5,68.07,37.41
1788504914.016,33.02,static_classify,6,3128.0,818.4,99.7,13.6,8382.9,57231.0,0.0,53.66,0.15,7.05,52.46,1.55,40.5,68.07,37.41
1788504914.517,33.53,static_classify,6,3128.0,818.4,99.7,13.5,8383.4,57230.5,0.0,53.66,0.15,7.05,52.46,1.55,40.5,68.07,37.41
1788504915.019,34.03,static_classify,6,3128.0,818.4,99.7,19.5,8383.0,57230.9,0.0,53.66,0.15,7.05,52.47,1.55,40.5,68.07,37.41
1788504915.52,34.53,sieve,2,837.0,824.1,25.9,30.0,6753.4,58860.8,0.0,53.74,0.15,7.63,52.47,1.56,0.3,68.02,37.46
1788504916.022,35.03,vector_stage,2,853.3,840.5,99.5,15.6,6759.0,58854.7,0.0,53.81,0.15,7.7,52.47,1.56,0.3,68.02,37.46
