t_epoch,elapsed_s,stage,n_procs,rss_tree_mb,rss_max_proc_mb,cpu_tree_pct,cpu_system_pct,mem_system_used_mb,mem_system_available_mb,tree_read_mb,tree_write_mb,sys_read_mb,sys_write_mb,net_recv_mb,net_sent_mb,outdir_mb,fs_used_gb,fs_free_gb
1788504917.086,0.0,init,1,202.5,202.5,0.0,0.0,6089.7,59524.1,0.02,0.0,0.0,0.0,0.0,0.0,0.7,68.02,37.46
1788504917.597,0.51,static_acquire_stac,1,232.5,232.5,148.8,18.8,6095.0,59518.9,0.03,0.01,0.01,0.07,0.01,0.01,0.7,68.02,37.46
1788504918.402,1.32,static_acquire_stac,1,250.4,250.4,36.0,7.3,6079.9,59534.0,0.03,0.01,0.01,0.07,0.02,0.01,0.7,68.02,37.46
1788504918.903,1.82,static_acquire_stac,1,250.4,250.4,0.0,0.5,6080.9,59532.9,0.03,0.01,0.01,0.07,0.03,0.02,0.7,68.02,37.46
1788504919.404,2.32,static_acquire_stac,1,251.5,251.5,2.0,1.5,6048.7,59565.2,0.03,0.01,0.01,0.07,0.04,0.02,0.7,68.02,37.46
1788504919.906,2.82,static_acquire_stac,1,258.0,258.0,25.9,5.9,6054.3,59559.6,0.03,0.01,0.01,0.07,0.04,0.02,0.7,68.02,37.46
1788504920.414,3.33,static_acquire_stac,1,315.2,315.2,78.8,14.3,6080.2,59533.7,0.03,0.01,0.01,0.08,0.06,0.03,0.7,68.02,37.46
1788504920.915,3.83,static_acquire_stac,1,320.0,320.0,10.0,2.7,6080.7,59533.2,0.03,0.01,0.01,0.08,0.1,0.04,0.7,68.02,37.46
1788504921.416,4.33,static_acquire_stac,1,320.4,320.4,0.0,3.9,6077.2,59536.6,0.03,0.01,0.01,0.18,0.22,0.06,0.7,68.02,37.46
1788504921.917,4.83,static_acquire_stac,1,347.1,347.1,27.9,4.8,6091.9,59521.9,0.03,0.01,0.01,0.18,0.56,0.07,0.7,68.02,37.46
1788504922.418,5.33,static_acquire_stac,1,361.3,361.3,12.0,2.5,6095.9,59517.9,0.03,0.01,0.01,0.18,0.99,0.08,0.7,68.02,37.46
1788504922.925,5.84,static_acquire_stac,1,365.2,365.2,3.9,3.2,6100.1,59513.8,0.03,0.01,0.01,0.21,1.13,0.08,0.7,68.02,37.46
1788504923.426,6.34,static_acquire_stac,1,370.2,370.2,4.0,2.3,6093.3,59520.6,0.03,0.01,0.01,0.21,1.17,0.09,0.7,68.02,37.46
1788504923.927,6.84,static_acquire_stac,1,370.2,370.2,2.0,1.5,6094.1,59519.8,0.03,0.01,0.01,0.21,1.18,0.09,0.7,68.02,37.46
1788504924.428,7.34,static_acquire_stac,1,383.8,383.8,53.9,9.0,6085.9,59527.9,0.03,0.01,0.01,0.28,1.2,0.1,0.7,68.02,37.46
1788504924.929,7.84,static_acquire_stac,1,384.9,384.9,4.0,1.7,6087.3,59526.6,0.03,0.01,0.01,0.28,1.24,0.11,0.7,68.02,37.46
1788504925.434,8.35,static_acquire_stac,1,399.0,399.0,25.7,7.2,6090.6,59523.3,0.03,0.01,0.01,0.45,1.46,0.12,0.7,68.02,37.46
