t_epoch,elapsed_s,stage,n_procs,rss_tree_mb,rss_max_proc_mb,cpu_tree_pct,cpu_system_pct,mem_system_used_mb,mem_system_available_mb,tree_read_mb,tree_write_mb,sys_read_mb,sys_write_mb,net_recv_mb,net_sent_mb,outdir_mb,fs_used_gb,fs_free_gb
1788504946.544,0.0,static_acquire_stac,1,202.2,202.2,0.0,0.0,5945.3,59668.6,0.0,0.0,0.0,0.0,0.0,0.0,0.7,68.02,37.45
1788504947.052,0.51,static_acquire_stac,1,234.1,234.1,167.3,17.7,5934.1,59679.8,0.0,0.01,0.0,0.0,0.01,0.01,0.7,68.02,37.45
1788504947.898,1.35,static_acquire_stac,1,250.0,250.0,16.5,4.2,5942.3,59671.5,0.0,0.01,0.0,0.17,0.02,0.01,0.7,68.02,37.45
1788504948.4,1.86,static_acquire_stac,1,250.0,250.0,2.0,3.2,5945.1,59668.8,0.0,0.01,0.0,0.18,0.03,0.02,0.7,68.02,37.45
1788504948.901,2.36,static_acquire_stac,1,251.2,251.2,2.0,2.0,5946.7,59667.2,0.0,0.01,0.0,0.18,0.04,0.02,0.7,68.02,37.45
1788504949.402,2.86,static_acquire_stac,1,279.3,279.3,35.9,7.4,5957.2,59656.7,0.0,0.01,0.0,0.18,0.04,0.02,0.7,68.02,37.45
1788504949.906,3.36,static_acquire_stac,1,317.1,317.1,75.3,12.2,5987.7,59626.2,0.0,0.01,0.0,0.18,0.06,0.03,0.7,68.02,37.45
1788504950.407,3.86,static_acquire_stac,1,322.9,322.9,10.0,5.4,5991.5,59622.4,0.0,0.01,0.0,0.18,0.11,0.05,0.7,68.02,37.45
1788504950.914,4.37,static_acquire_stac,1,341.3,341.3,17.8,5.6,6001.9,59612.0,0.0,0.01,0.0,0.18,0.3,0.06,0.7,68.02,37.45
1788504951.415,4.87,static_acquire_stac,1,360.8,360.8,17.9,3.3,6025.5,59588.4,0.0,0.01,0.0,0.18,0.77,0.07,0.7,68.02,37.45
1788504951.916,5.37,static_acquire_stac,1,374.5,374.5,16.0,4.7,6050.5,59563.3,0.0,0.01,0.0,0.18,1.23,0.18,0.7,68.02,37.45
1788504952.418,5.87,static_acquire_stac,1,373.6,373.6,4.0,3.7,6051.7,59562.2,0.0,0.01,0.0,0.18,1.34,0.19,0.7,68.02,37.45
1788504952.919,6.38,static_acquire_stac,1,373.6,373.6,0.0,2.7,6051.8,59562.0,0.0,0.01,0.0,0.22,1.34,0.19,0.7,68.02,37.45
1788504953.42,6.88,static_acquire_stac,1,373.6,373.6,0.0,5.7,6038.4,59575.5,0.0,0.01,0.0,0.24,1.35,0.2,0.7,68.02,37.45
1788504953.921,7.38,static_acquire_stac,1,381.6,381.6,37.9,7.2,6047.9,59566.0,0.0,0.01,0.0,0.29,1.36,0.21,0.7,68.02,37.45
1788504954.422,7.88,static_acquire_stac,1,381.8,381.8,2.0,3.0,6048.2,59565.7,0.0,0.01,0.0,0.29,1.39,0.22,0.7,68.02,37.45
1788504954.926,8.38,static_acquire_stac,1,389.2,389.2,15.9,4.6,6051.8,59562.1,0.0,0.01,0.0,0.29,1.5,0.23,0.7,68.02,37.45
1788504955.439,8.9,static_acquire_stac,1,391.2,391.2,3.9,4.9,6052.3,59561.6,0.0,0.01,0.0,0.29,1.68,0.23,0.7,68.02,37.45
1788504955.94,9.4,static_acquire_stac,1,407.5,407.5,12.0,4.5,6065.2,59548.7,0.0,0.01,0.0,0.35,1.88,0.24,0.7,68.02,37.45
1788504956.441,9.9,static_acquire_stac,1,407.5,407.5,2.0,2.7,6072.6,59541.3,0.0,0.01,0.0,0.35,1.88,0.25,0.7,68.02,37.45
1788504956.942,10.4,static_acquire_stac,1,407.7,407.7,12.0,4.2,6072.6,59541.3,0.0,0.01,0.0,0.35,1.9,0.25,0.7,68.02,37.45
1788504957.443,10.9,static_acquire_stac,1,408.3,408.3,2.0,2.0,6072.9,59541.0,0.0,0.01,0.0,0.35,1.92,0.26,0.7,68.02,37.45
1788504957.944,11.4,static_acquire_stac,1,412.3,412.3,12.0,3.7,6067.2,59546.7,0.0,0.01,0.0,0.39,1.99,0.27,0.7,68.02,37.45
1788504958.445,11.9,static_acquire_stac,1,416.4,416.4,4.0,3.0,6074.7,59539.2,0.0,0.01,0.0,0.39,2.16,0.27,0.7,68.02,37.45
1788504958.946,12.4,static_acquire_stac,1,422.0,422.0,8.0,3.5,6083.2,59530.7,0.0,0.01,0.0,0.4,2.33,0.29,0.7,68.02,37.45
1788504959.447,12.9,static_acquire_stac,1,516.2,516.2,6.0,5.2,6185.4,59428.5,0.0,0.01,0.0,0.4,2.34,0.29,0.7,68.02,37.45
1788504959.948,13.4,static_acquire_stac,1,560.2,560.2,83.8,14.5,6218.7,59395.2,0.0,0.01,0.0,0.43,2.63,0.46,0.7,68.02,37.45
1788504960.449,13.91,static_acquire_stac,1,601.0,601.0,61.9,12.4,6268.9,59345.0,0.0,0.01,0.13,0.43,5.45,0.51,0.7,68.02,37.45
1788504960.95,14.41,static_acquire_stac,1,669.1,669.1,127.7,19.3,6345.2,59268.6,0.0,0.01,0.13,0.52,16.42,0.58,0.7,68.02,37.45
1788504961.452,14.91,static_acquire_stac,1,703.6,703.6,129.7,19.2,6368.3,59245.6,0.0,0.01,0.13,0.65,35.51,0.66,0.7,68.02,37.45
1788504961.953,15.41,static_acquire_stac,1,690.9,690.9,191.5,26.9,6372.8,59241.1,0.0,0.01,0.13,0.65,42.97,0.82,0.7,68.02,37.45
1788504963.609,17.07,static_acquire_stac,1,791.9,791.9,134.0,20.7,6513.3,59100.6,0.0,13.62,0.13,0.66,54.82,0.9,0.7,68.03,37.44
1788504964.866,18.32,static_acquire_stac,1,883.1,883.1,105.8,16.7,6585.7,59028.1,0.0,27.14,0.13,0.69,54.82,0.9,0.7,68.05,37.43
1788504967.341,20.8,static_acquire_stac,1,891.6,891.6,102.3,16.3,6685.3,58928.9,0.0,54.27,0.13,0.76,54.84,0.91,0.7,68.08,37.4
1788504967.847,21.3,static_classify,6,1315.1,912.3,383.3,53.8,6888.3,58725.6,0.0,54.47,0.13,0.81,54.84,0.91,0.7,68.08,37.4
1788504968.349,21.8,static_classify,6,1731.7,912.3,582.1,76.1,7109.7,58504.1,0.0,54.47,0.13,0.81,54.84,0.92,0.7,68.08,37.4
1788504968.85,22.31,static_classify,6,2111.4,912.3,436.5,57.0,7226.1,58387.8,0.0,54.47,0.13,0.85,54.84,0.92,0.7,68.08,37.4
1788504969.352,22.81,static_classify,6,2284.8,912.3,105.7,17.3,7382.4,58231.4,0.0,54.47,0.13,0.85,54.84,0.92,0.7,68.08,37.4
1788504969.853,23.31,static_classify,6,2284.8,912.3,99.7,19.1,7395.8,58218.0,0.0,54.47,0.13,0.85,54.84,0.92,0.7,68.08,37.4
1788504970.355,23.81,static_classify,6,2284.8,912.3,99.7,17.0,7396.0,58217.8,0.0,54.47,0.13,0.85,54.84,0.93,0.7,68.08,37.4
1788504970.856,24.31,static_classify,6,2284.8,912.3,101.7,17.2,7396.0,58217.8,0.0,54.47,0.13,1.0,54.85,0.93,55.1,68.08,37.4
1788504971.358,24.81,sieve,2,862.9,849.8,51.8,29.9,6526.8,59087.1,0.0,54.73,0.13,1.0,54.85,0.93,55.1,68.02,37.45
1788504971.859,25.32,vector_stage,2,863.7,850.6,99.8,16.1,6526.8,59087.1,0.0,54.84,0.13,1.01,54.85,1.03,55.1,68.02,37.45
