t_epoch,elapsed_s,stage,n_procs,rss_tree_mb,rss_max_proc_mb,cpu_tree_pct,cpu_system_pct,mem_system_used_mb,mem_system_available_mb,tree_read_mb,tree_write_mb,sys_read_mb,sys_write_mb,net_recv_mb,net_sent_mb,outdir_mb,fs_used_gb,fs_free_gb
1788504973.171,0.0,init,1,202.5,202.5,0.0,0.0,5986.1,59627.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.03,37.45
1788504973.686,0.52,ndvi_acquire_stac,1,238.7,238.7,141.8,17.2,6002.8,59611.1,0.0,0.0,0.0,0.0,0.01,0.01,0.0,68.03,37.45
1788504974.52,1.35,ndvi_acquire_stac,1,261.4,261.4,49.2,8.4,6005.3,59608.5,0.0,0.0,0.0,0.27,0.05,0.03,0.0,68.03,37.45
1788504975.021,1.85,ndvi_acquire_stac,1,283.0,283.0,33.9,6.0,6018.8,59595.1,0.0,0.0,0.0,0.27,0.06,0.03,0.0,68.03,37.45
1788504975.522,2.35,ndvi_acquire_stac,1,379.9,379.9,8.0,2.3,6103.8,59510.1,0.0,0.0,0.0,0.27,0.07,0.04,0.0,68.03,37.45
1788504976.023,2.85,ndvi_acquire_stac,1,513.9,513.9,12.0,3.3,6238.5,59375.4,0.0,0.0,0.0,4.02,0.08,0.05,0.0,68.03,37.45
1788504976.524,3.35,ndvi_acquire_stac,1,613.9,613.9,12.0,4.0,6340.3,59273.6,0.0,0.0,0.0,4.02,0.09,0.06,0.0,68.03,37.45
1788504977.025,3.85,ndvi_acquire_stac,1,704.1,704.1,10.0,3.5,6428.4,59185.5,0.0,0.0,0.0,4.06,0.11,0.06,0.0,68.03,37.45
1788504977.526,4.36,ndvi_acquire_stac,1,810.3,810.3,12.0,3.5,6521.2,59092.7,0.0,0.0,0.0,4.06,0.12,0.07,0.0,68.03,37.45
1788504978.027,4.86,ndvi_acquire_stac,1,892.1,892.1,10.0,5.9,6600.7,59013.2,0.0,0.0,0.09,4.06,0.14,0.08,0.0,68.03,37.45
1788504978.528,5.36,ndvi_acquire_stac,1,990.7,990.7,10.0,5.2,6699.2,58914.7,0.0,0.0,0.09,4.06,0.15,0.09,0.0,68.03,37.45
1788504979.03,5.86,ndvi_acquire_stac,1,1069.0,1069.0,10.0,3.5,6780.5,58833.3,0.0,0.0,0.09,4.06,0.16,0.1,0.0,68.03,37.45
1788504979.53,6.36,ndvi_acquire_stac,1,1150.8,1150.8,10.0,5.2,6864.8,58749.1,0.0,0.0,0.22,4.12,0.17,0.11,0.0,68.03,37.45
1788504980.032,6.86,ndvi_acquire_stac,1,1229.1,1229.1,8.0,4.7,6938.5,58675.4,0.0,0.0,0.22,4.19,0.18,0.12,0.0,68.03,37.45
1788504980.533,7.36,ndvi_acquire_stac,1,1329.0,1329.0,10.0,3.0,7031.0,58582.9,0.0,0.0,0.22,4.19,0.2,0.12,0.0,68.03,37.45
1788504981.034,7.86,ndvi_acquire_stac,1,2101.7,2101.7,233.5,32.7,7931.7,57682.2,0.0,0.0,0.22,4.22,0.21,0.13,0.0,68.03,37.45
1788504982.982,9.81,ndvi_acquire_stac,1,1652.4,1652.4,109.8,17.4,7731.1,57882.6,0.0,0.35,0.22,4.22,0.23,0.24,0.0,68.03,37.45
1788504984.913,11.74,ndvi_acquire_stac,1,1435.7,1435.7,103.6,16.8,7590.8,58023.0,0.0,0.7,0.22,4.26,0.24,0.25,0.0,68.03,37.45
1788504986.804,13.63,ndvi_acquire_stac,1,1167.2,1167.2,100.5,16.8,7425.9,58188.0,0.0,1.05,0.35,4.51,0.24,0.4,0.0,68.03,37.45
1788504989.18,16.01,ndvi_stage,1,1093.7,1093.7,100.2,17.0,7272.6,58341.2,0.0,1.4,0.35,4.54,0.26,0.41,0.0,68.03,37.45
1788504989.724,16.55,ndvi_stage,6,1001.2,349.1,501.7,73.7,6701.9,58912.0,0.02,1.4,0.37,4.54,0.26,0.41,1.1,68.03,37.45
1788504990.226,17.06,ndvi_stage,6,1205.1,349.1,576.1,74.9,6720.5,58893.4,0.02,1.4,0.37,4.54,0.26,0.41,1.1,68.03,37.45
1788504990.728,17.56,ndvi_stage,6,2152.7,448.1,360.8,49.4,7622.0,57992.4,91.55,1.42,91.91,4.54,0.26,0.42,1.1,68.03,37.45
1788504991.231,18.06,ndvi_stage,6,2317.3,514.6,405.6,53.6,7903.9,57710.0,91.55,1.44,91.91,4.78,0.26,0.42,1.1,68.03,37.45
1788504991.752,18.58,sieve,2,431.5,418.3,49.9,33.6,6808.4,58805.4,183.11,1.59,91.91,4.78,0.27,0.42,1.1,68.03,37.45
1788504992.262,19.09,static_acquire_stac,2,431.5,418.3,15.7,6.6,6786.7,58827.1,183.11,1.63,91.91,4.79,0.28,0.52,1.1,68.03,37.45
1788504992.763,19.59,static_acquire_stac,2,431.6,418.3,0.0,5.1,6786.7,58827.1,183.11,1.63,91.91,4.79,0.29,0.55,1.1,68.03,37.45
1788504993.264,20.09,static_acquire_stac,2,431.6,418.3,4.0,5.3,6753.4,58860.5,183.11,1.63,91.91,4.8,0.31,0.56,1.1,68.03,37.45
1788504993.765,20.59,static_acquire_stac,2,431.6,418.3,2.0,5.0,6742.5,58871.4,183.11,1.63,91.91,4.8,0.32,0.56,1.1,68.03,37.45
1788504994.266,21.1,static_acquire_stac,2,431.6,418.3,0.0,3.0,6703.7,58910.1,183.11,1.63,91.91,4.8,0.33,0.57,1.1,68.03,37.45
1788504994.767,21.6,static_acquire_stac,2,431.6,418.3,4.0,2.5,6704.0,58909.9,183.11,1.63,91.91,4.8,0.34,0.57,0.1,68.03,37.45
1788504995.269,22.1,static_acquire_stac,2,431.6,418.3,0.0,3.0,6673.2,58940.6,183.11,1.63,91.91,4.8,0.34,0.58,0.1,68.03,37.45
