t_epoch,elapsed_s,stage,n_procs,rss_tree_mb,rss_max_proc_mb,cpu_tree_pct,cpu_system_pct,mem_system_used_mb,mem_system_available_mb,tree_read_mb,tree_write_mb,sys_read_mb,sys_write_mb,net_recv_mb,net_sent_mb,outdir_mb,fs_used_gb,fs_free_gb
1788504998.233,0.0,ndvi_acquire_stac,1,202.9,202.9,0.0,0.0,6412.0,59201.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.03,37.45
1788504998.74,0.51,ndvi_acquire_stac,1,239.2,239.2,141.9,15.4,6406.3,59207.6,0.0,0.0,0.0,0.0,0.02,0.01,0.0,68.03,37.45
1788504999.56,1.33,ndvi_acquire_stac,1,261.7,261.7,48.8,10.5,6400.5,59213.4,0.0,0.0,0.0,0.0,0.05,0.03,0.0,68.03,37.45
1788505000.061,1.83,ndvi_acquire_stac,1,283.2,283.2,33.9,9.2,6400.9,59213.0,0.0,0.0,0.0,0.04,0.06,0.03,0.0,68.03,37.45
1788505000.562,2.33,ndvi_acquire_stac,1,380.4,380.4,8.0,6.9,6456.0,59157.9,0.0,0.0,0.0,0.04,0.07,0.04,0.0,68.03,37.45
1788505001.063,2.83,ndvi_acquire_stac,1,490.7,490.7,10.0,7.3,6473.5,59140.4,0.0,0.0,0.0,0.04,0.09,0.06,0.0,68.03,37.45
1788505001.564,3.33,ndvi_acquire_stac,1,591.3,591.3,12.0,4.2,6580.5,59033.4,0.0,0.0,0.0,0.06,0.1,0.07,0.0,68.03,37.45
1788505002.065,3.83,ndvi_acquire_stac,1,671.7,671.7,10.0,4.7,6649.4,58964.5,0.0,0.0,0.0,0.14,0.11,0.07,0.0,68.03,37.45
1788505002.566,4.33,ndvi_acquire_stac,1,773.8,773.8,12.0,3.3,6739.7,58874.2,0.0,0.0,0.0,0.14,0.14,0.18,0.0,68.03,37.45
1788505003.067,4.83,ndvi_acquire_stac,1,856.3,856.3,10.0,5.6,6813.0,58800.9,0.0,0.0,0.0,0.25,0.15,0.19,0.0,68.03,37.45
1788505003.568,5.34,ndvi_acquire_stac,1,933.9,933.9,10.0,3.7,6889.8,58724.1,0.0,0.0,0.0,0.25,0.16,0.2,0.0,68.03,37.45
1788505004.069,5.84,ndvi_acquire_stac,1,1025.5,1025.5,10.0,4.4,6903.5,58710.4,0.0,0.0,0.0,0.25,0.18,0.21,0.0,68.03,37.45
1788505004.57,6.34,ndvi_acquire_stac,1,1103.1,1103.1,10.0,4.7,6979.7,58634.1,0.0,0.0,0.0,0.25,0.19,0.22,0.0,68.03,37.45
1788505005.071,6.84,ndvi_acquire_stac,1,1209.4,1209.4,12.0,2.8,7080.2,58533.7,0.0,0.0,0.0,0.25,0.2,0.23,0.0,68.03,37.45
1788505005.572,7.34,ndvi_acquire_stac,1,1293.3,1293.3,8.0,3.8,7166.3,58447.5,0.0,0.0,0.0,0.29,0.21,0.23,0.0,68.03,37.45
1788505006.073,7.84,ndvi_acquire_stac,1,1576.5,1576.5,93.8,16.1,7430.0,58183.9,0.0,0.0,0.0,0.33,0.23,0.24,0.0,68.03,37.45
1788505007.991,9.76,ndvi_acquire_stac,1,2353.5,2353.5,111.6,16.6,8188.9,57424.9,0.0,0.34,0.1,0.37,0.23,0.26,0.0,68.03,37.45
1788505012.26,14.03,ndvi_acquire_stac,1,1662.0,1662.0,115.5,18.0,7838.3,57775.5,0.0,1.05,0.1,0.46,0.25,0.27,0.0,68.03,37.45
1788505014.396,16.16,ndvi_stage,1,1129.1,1129.1,100.7,16.9,7429.7,58184.1,0.0,1.4,0.1,0.59,0.27,0.38,0.0,68.03,37.45
1788505014.948,16.72,ndvi_stage,6,1007.8,359.2,494.1,72.4,6958.8,58655.1,0.0,1.4,0.1,0.59,0.27,0.38,0.0,68.03,37.45
1788505015.45,17.22,ndvi_stage,6,1233.0,359.2,572.4,74.8,6955.2,58658.6,0.0,1.4,0.1,0.59,0.28,0.39,1.1,68.03,37.45
1788505015.951,17.72,ndvi_stage,6,2191.2,466.6,398.6,54.5,7835.9,57777.9,0.0,1.42,0.1,0.59,0.28,0.39,1.1,68.03,37.45
1788505016.454,18.22,ndvi_stage,6,2086.8,429.8,342.4,47.3,8037.1,57576.7,0.0,1.5,0.1,1.48,0.28,0.39,1.1,68.03,37.45
1788505016.956,18.72,static_acquire_stac,2,441.1,428.0,67.7,25.6,7068.1,58545.7,0.0,1.7,0.1,2.01,0.28,0.39,1.1,68.03,37.45
1788505017.457,19.22,static_acquire_stac,2,441.1,428.0,0.0,2.5,7051.7,58562.1,0.0,1.7,0.1,2.01,0.29,0.4,1.1,68.03,37.45
1788505017.958,19.73,static_acquire_stac,2,441.1,428.0,2.0,3.4,7043.7,58570.2,0.0,1.7,0.1,2.01,0.3,0.4,1.1,68.03,37.45
1788505018.459,20.23,static_acquire_stac,2,441.1,428.0,0.0,2.5,7028.0,58585.9,0.0,1.7,0.1,2.04,0.3,0.4,1.1,68.03,37.45
1788505018.96,20.73,static_acquire_stac,2,441.1,428.0,4.0,2.7,7020.0,58593.8,0.0,1.7,0.1,2.12,0.31,0.41,1.1,68.03,37.45
1788505019.461,21.23,static_acquire_stac,2,441.1,428.0,0.0,3.2,7003.1,58610.8,0.0,1.7,0.1,2.12,0.32,0.41,1.1,68.03,37.45
