t_epoch,elapsed_s,stage,n_procs,rss_tree_mb,rss_max_proc_mb,cpu_tree_pct,cpu_system_pct,mem_system_used_mb,mem_system_available_mb,tree_read_mb,tree_write_mb,sys_read_mb,sys_write_mb,net_recv_mb,net_sent_mb,outdir_mb,fs_used_gb,fs_free_gb
1788505779.986,0.0,init,1,203.0,203.0,0.0,0.0,5907.6,59706.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.12,37.36
1788505780.492,0.51,ndvi_acquire_stac,1,239.7,239.7,162.0,18.8,5926.4,59687.5,0.0,0.0,0.0,0.11,0.02,0.01,0.0,68.12,37.36
1788505781.35,1.37,ndvi_acquire_stac,1,273.1,273.1,44.3,8.8,5947.2,59666.7,0.0,0.0,0.0,0.11,0.05,0.03,0.0,68.12,37.36
1788505781.854,1.87,ndvi_acquire_stac,1,283.6,283.6,23.8,5.8,5971.7,59642.2,0.0,0.0,0.0,0.11,0.07,0.25,0.0,68.12,37.36
1788505782.355,2.37,ndvi_acquire_stac,1,285.9,285.9,4.0,6.7,5972.2,59641.7,0.0,0.0,0.0,0.11,0.11,0.27,0.0,68.12,37.36
1788505782.863,2.88,ndvi_acquire_stac,1,361.0,361.0,61.0,11.3,6024.3,59589.5,0.0,0.0,0.0,0.11,0.21,0.32,0.0,68.12,37.36
1788505783.371,3.39,ndvi_acquire_stac,1,588.4,588.4,259.7,26.7,6263.6,59350.2,0.0,0.0,0.0,0.11,16.92,0.47,0.0,68.12,37.36
1788505784.095,4.11,ndvi_acquire_stac,1,748.5,748.5,273.6,48.9,6663.0,58950.8,0.0,0.0,0.0,19.64,20.59,0.53,0.0,68.12,37.36
1788505784.603,4.62,ndvi_acquire_stac,1,978.9,978.9,319.0,31.8,6825.5,58788.3,0.0,0.0,0.0,19.71,34.75,0.74,0.0,68.12,37.36
1788505785.319,5.33,ndvi_acquire_stac,1,1246.2,1246.2,247.1,42.8,7235.1,58378.8,0.0,0.0,0.0,19.83,41.34,0.81,0.0,68.12,37.36
1788505785.865,5.88,ndvi_acquire_stac,1,1484.9,1484.9,346.4,31.1,7400.2,58213.7,0.0,0.0,0.11,19.92,59.04,1.07,0.0,68.12,37.36
1788505786.935,6.95,ndvi_acquire_stac,1,1668.7,1668.7,222.3,50.1,7522.8,58091.0,0.0,0.0,0.11,19.92,87.39,1.25,0.0,68.12,37.36
1788505787.437,7.45,ndvi_acquire_stac,1,1807.9,1807.9,452.6,58.5,7966.8,57647.1,0.0,0.0,0.11,19.92,92.81,1.29,0.0,68.12,37.36
1788505787.938,7.95,ndvi_acquire_stac,1,2121.0,2121.0,241.4,32.7,8214.3,57399.6,0.0,0.0,0.11,19.92,95.62,1.41,0.0,68.12,37.36
1788505788.444,8.46,ndvi_acquire_stac,1,2279.0,2279.0,189.9,27.8,8294.5,57319.3,0.0,0.0,0.11,19.92,103.59,1.48,0.0,68.12,37.36
1788505788.961,8.98,ndvi_acquire_stac,1,2643.6,2643.6,417.6,27.2,8524.9,57088.9,0.0,0.0,0.11,19.92,108.94,1.52,0.0,68.12,37.36
1788505790.345,10.36,ndvi_acquire_stac,1,2385.3,2385.3,123.6,17.6,8465.0,57148.8,0.0,0.0,0.11,20.06,108.96,1.55,0.0,68.12,37.36
