t_epoch,elapsed_s,stage,n_procs,rss_tree_mb,rss_max_proc_mb,cpu_tree_pct,cpu_system_pct,mem_system_used_mb,mem_system_available_mb,tree_read_mb,tree_write_mb,sys_read_mb,sys_write_mb,net_recv_mb,net_sent_mb,outdir_mb,fs_used_gb,fs_free_gb
1788505322.724,0.0,resolve_models,1,202.8,202.8,0.0,0.0,7213.8,58399.9,0.02,0.0,0.0,0.0,0.0,0.0,0.0,68.03,37.45
1788505323.234,0.51,ndvi_acquire_stac,1,236.9,236.9,125.5,17.4,7172.8,58440.9,0.02,0.0,0.0,0.0,0.02,0.11,0.0,68.03,37.45
1788505323.889,1.17,ndvi_acquire_stac,1,261.9,261.9,76.4,15.6,7168.8,58444.8,0.02,0.0,0.0,0.15,0.05,0.13,0.0,68.03,37.45
1788505324.39,1.67,ndvi_acquire_stac,1,283.5,283.5,31.9,5.0,7129.6,58484.0,0.02,0.0,0.0,0.15,0.06,0.13,0.0,68.03,37.45
1788505324.891,2.17,ndvi_acquire_stac,1,381.9,381.9,8.0,2.5,7204.5,58409.2,0.02,0.0,0.0,0.15,0.07,0.14,0.0,68.03,37.45
1788505325.392,2.67,ndvi_acquire_stac,1,474.7,474.7,10.0,4.3,7258.5,58355.2,0.02,0.0,0.0,0.15,0.08,0.14,0.0,68.03,37.45
1788505325.894,3.17,ndvi_acquire_stac,1,556.5,556.5,12.0,3.8,7328.6,58285.1,0.02,0.0,0.0,0.16,0.1,0.22,0.0,68.03,37.45
1788505326.395,3.67,ndvi_acquire_stac,1,634.1,634.1,10.0,3.8,7367.7,58245.9,0.02,0.0,0.0,0.16,0.11,0.23,0.0,68.03,37.45
1788505326.896,4.17,ndvi_acquire_stac,1,754.4,754.4,12.0,6.1,7465.5,58148.2,0.02,0.0,0.0,0.16,0.13,0.24,0.0,68.03,37.45
1788505327.397,4.67,ndvi_acquire_stac,1,832.0,832.0,10.0,4.7,7500.6,58113.0,0.02,0.0,0.0,0.16,0.14,0.24,0.0,68.03,37.45
1788505327.898,5.17,ndvi_acquire_stac,1,931.9,931.9,12.0,30.3,7589.1,58024.2,0.02,0.0,12.6,0.16,0.15,0.25,0.0,68.03,37.45
1788505328.401,5.68,ndvi_acquire_stac,1,991.4,991.4,9.9,10.0,7538.0,58075.6,0.02,0.0,33.53,1.16,0.16,0.41,0.0,68.03,37.45
1788505328.902,6.18,ndvi_acquire_stac,1,1073.9,1073.9,8.0,4.0,7609.6,58004.0,0.02,0.0,33.53,1.23,0.17,0.42,0.0,68.03,37.45
1788505329.403,6.68,ndvi_acquire_stac,1,1149.4,1149.4,12.0,3.8,7663.5,57950.1,0.02,0.0,33.53,1.23,0.19,0.48,0.0,68.03,37.45
1788505329.904,7.18,ndvi_acquire_stac,1,1229.8,1229.8,10.0,3.8,7735.7,57877.9,0.02,0.0,33.53,1.23,0.2,0.48,0.0,68.03,37.45
1788505330.405,7.68,ndvi_acquire_stac,1,1309.5,1309.5,10.0,4.2,7776.4,57837.2,0.02,0.0,33.53,1.23,0.21,0.49,0.0,68.03,37.45
1788505330.906,8.18,ndvi_acquire_stac,1,1405.2,1405.2,10.0,2.0,7856.3,57757.4,0.02,0.0,33.53,1.24,0.22,0.5,0.0,68.03,37.45
1788505331.407,8.68,ndvi_acquire_stac,1,1448.6,1448.6,8.0,4.0,7854.0,57759.6,0.02,0.0,33.53,1.35,0.23,0.51,0.0,68.03,37.45
1788505331.908,9.18,ndvi_acquire_stac,1,1526.2,1526.2,10.0,2.0,7914.2,57699.5,0.02,0.0,33.53,1.36,0.24,0.51,0.0,68.03,37.45
1788505332.409,9.69,ndvi_acquire_stac,1,1621.9,1621.9,12.0,3.0,7964.2,57649.5,0.02,0.0,33.53,1.36,0.26,0.52,0.0,68.03,37.45
1788505332.91,10.19,ndvi_acquire_stac,1,1744.3,1744.3,12.0,3.0,8065.0,57548.7,0.02,0.0,33.53,1.36,0.27,0.53,0.0,68.03,37.45
1788505333.411,10.69,ndvi_acquire_stac,1,1821.9,1821.9,12.0,4.0,8093.6,57520.0,0.02,0.0,33.53,1.4,0.29,0.64,0.0,68.03,37.45
1788505333.912,11.19,ndvi_acquire_stac,1,3214.5,3214.5,169.7,26.3,9550.1,56063.5,0.02,0.0,33.53,1.43,0.3,0.64,0.0,68.03,37.45
1788505337.357,14.63,ndvi_acquire_stac,1,2891.7,2891.7,117.0,18.1,9388.6,56225.0,0.02,0.57,33.53,1.5,0.32,0.66,0.0,68.03,37.45
1788505340.536,17.81,ndvi_acquire_stac,1,2839.5,2839.5,105.4,17.0,9270.8,56342.8,0.02,1.13,33.53,1.54,0.33,0.67,0.0,68.03,37.45
1788505341.05,18.33,ndvi_acquire_stac,1,2348.6,2348.6,196.3,27.5,8661.8,56951.9,0.02,1.13,33.53,1.62,0.33,0.67,0.0,68.03,37.45
1788505344.2,21.48,ndvi_acquire_stac,1,1841.9,1841.9,101.3,15.6,8051.0,57562.6,0.02,1.69,33.57,1.71,0.35,0.81,0.0,68.03,37.45
1788505347.387,24.66,ndvi_stage,1,1389.7,1389.7,100.4,16.1,7802.7,57811.0,0.02,2.25,33.65,1.84,0.37,0.89,0.0,68.03,37.45
1788505347.906,25.18,ndvi_stage,6,924.6,330.9,485.2,66.3,6872.2,58741.4,0.04,2.25,33.67,1.84,0.37,0.89,0.0,68.03,37.45
1788505348.408,25.68,ndvi_stage,6,1166.0,330.9,560.1,74.6,6868.1,58745.5,0.04,2.25,33.67,1.84,0.37,0.89,0.0,68.03,37.45
1788505348.909,26.19,ndvi_stage,6,1720.2,344.5,338.9,47.7,7389.1,58224.5,28.15,2.27,61.78,1.85,0.38,0.89,1.7,68.03,37.45
1788505349.414,26.69,ndvi_stage,6,2152.4,472.7,380.4,71.5,7808.6,57805.1,28.15,2.27,61.78,1.91,0.38,0.89,1.7,68.03,37.45
1788505349.916,27.19,ndvi_stage,6,2432.8,554.0,398.8,63.7,8157.5,57455.7,28.15,2.27,61.8,5.69,0.38,0.9,1.7,68.03,37.45
1788505350.418,27.69,ndvi_stage,6,1556.2,330.9,272.9,40.2,7755.5,57858.1,28.15,2.36,61.8,7.93,0.39,1.06,1.7,68.03,37.45
