t_epoch,elapsed_s,stage,n_procs,rss_tree_mb,rss_max_proc_mb,cpu_tree_pct,cpu_system_pct,mem_system_used_mb,mem_system_available_mb,tree_read_mb,tree_write_mb,sys_read_mb,sys_write_mb,net_recv_mb,net_sent_mb,outdir_mb,fs_used_gb,fs_free_gb
1788422922.045,0.0,init,1,188.2,188.2,0.0,0.0,11006.7,54547.2,0.0,6.98,0.0,0.0,0.0,0.0,0.0,64.39,41.09
1788422922.546,0.5,init,1,188.3,188.3,2.0,65.0,11101.4,54452.5,0.0,6.99,0.0,0.79,2.68,0.02,0.0,64.39,41.09
1788422923.047,1.0,sieve,1,188.7,188.7,0.0,41.9,10962.7,54591.2,0.0,6.99,0.0,0.95,2.74,0.05,0.0,64.39,41.09
1788422923.549,1.51,sieve,1,639.5,639.5,97.7,56.5,11420.3,54133.6,0.0,6.99,0.0,1.34,2.76,0.07,0.0,64.39,41.09
1788422927.28,5.24,sieve,1,1169.4,1169.4,100.0,61.2,11913.4,53640.8,0.0,6.99,0.0,3.22,17.73,0.46,0.0,64.39,41.09
1788422927.781,5.74,sieve,1,905.5,905.5,97.7,59.2,11691.0,53862.9,0.0,6.99,0.0,3.98,17.73,0.46,0.0,64.39,41.09
1788422928.283,6.24,sieve,1,1089.7,1089.7,99.7,57.7,11777.5,53776.4,0.0,6.99,0.0,4.17,17.74,0.46,0.0,64.39,41.09
1788422928.787,6.74,sieve,1,1237.8,1237.8,101.2,54.7,12120.0,53433.9,0.0,6.99,0.0,4.89,17.74,0.46,0.0,64.39,41.09
1788422929.288,7.24,sieve,1,1323.8,1323.8,99.7,55.3,12163.1,53390.8,0.0,6.99,0.0,4.89,17.74,0.46,0.0,64.39,41.09
1788422929.79,7.75,sieve,1,1290.6,1290.6,99.7,61.8,11976.6,53577.3,0.0,6.99,0.0,5.21,17.74,0.47,0.0,64.39,41.09
1788422930.291,8.25,sieve,1,2141.8,2141.8,99.7,62.7,12821.4,52732.5,0.0,6.99,0.0,5.34,17.74,0.47,0.0,64.39,41.09
1788422930.793,8.75,sieve,1,685.1,685.1,101.7,63.1,11288.9,54264.7,0.0,8.02,0.0,5.67,25.62,0.64,0.0,64.39,41.09
1788422931.294,9.25,sieve,1,685.1,685.1,99.8,84.1,11412.7,54141.2,0.0,10.77,0.0,5.67,32.92,0.68,0.0,64.39,41.09
1788422931.795,9.75,vectorize,1,448.5,448.5,101.7,58.3,11187.0,54366.9,0.0,11.97,0.0,6.17,32.92,0.68,0.0,64.39,41.09
1788422932.297,10.25,vectorize,1,546.0,546.0,99.7,54.3,11374.0,54179.6,0.0,11.97,0.0,6.29,33.02,0.75,0.0,64.39,41.09
1788422937.521,15.48,vectorize,1,1129.3,1129.3,99.9,58.2,11908.6,53645.3,0.0,11.97,0.0,11.58,47.99,1.09,0.0,64.39,41.09
1788422938.024,15.98,vectorize,1,1130.6,1130.6,101.3,58.4,11872.2,53681.7,0.0,11.97,0.0,11.58,48.0,1.09,0.0,64.39,41.09
1788422938.534,16.49,vectorize,1,1131.9,1131.9,100.0,61.5,11997.4,53556.5,0.0,11.97,0.0,12.09,48.03,1.11,0.0,64.39,41.09
1788422939.039,17.0,vectorize,1,1133.4,1133.4,100.9,63.0,11965.2,53588.8,0.0,11.97,0.0,12.24,61.08,1.26,0.0,64.39,41.09
1788422939.552,17.51,vectorize,1,1134.8,1134.8,99.4,70.6,12088.5,53465.4,0.0,11.97,0.0,12.75,62.38,1.27,0.0,64.39,41.09
1788422940.068,18.02,vectorize,1,1139.0,1139.0,100.8,56.7,12220.6,53333.4,0.0,11.97,0.0,12.88,62.39,1.27,0.0,64.39,41.09
1788422940.581,18.54,vectorize,1,1140.7,1140.7,107.3,57.3,12245.6,53308.3,0.0,11.97,0.0,13.26,62.45,1.31,0.0,64.39,41.09
1788422941.136,19.09,vectorize,1,417.4,417.4,93.6,53.8,11329.9,54224.0,0.0,11.97,0.0,13.39,62.49,1.36,0.0,64.39,41.09
1788422941.638,19.59,vectorize,1,508.6,508.6,99.7,54.4,11453.7,54100.2,0.0,11.97,0.0,13.66,62.5,1.37,0.0,64.39,41.09
1788422942.168,20.12,vectorize,1,427.1,427.1,101.8,52.2,11381.6,54172.3,0.0,11.97,0.0,14.39,62.5,1.37,0.0,64.39,41.09
1788422942.672,20.63,vectorize,1,450.0,450.0,97.2,57.1,11446.5,54107.5,0.0,11.97,0.0,14.95,62.5,1.37,0.0,64.39,41.09
